date,open,high,low,close,klgdkl
2010-01-04,19.5,20.4,19.5,20.4,43120.0
2010-01-05,21.3,21.3,20.4,20.4,19610.0
2010-01-06,19.7,21.0,19.7,20.4,25090.0
2010-01-07,21.0,21.0,20.5,20.6,22780.0
2010-01-08,21.1,21.1,20.5,20.5,14210.0
2010-01-11,20.8,21.2,20.8,21.0,64880.0
2010-01-12,20.7,21.6,20.5,20.5,15830.0
2010-01-13,20.1,20.2,20.0,20.2,20300.0
2010-01-14,20.2,20.7,20.2,20.7,2020.0
2010-01-15,20.1,20.3,20.0,20.0,3020.0
2010-01-18,19.4,19.7,19.4,19.4,44410.0
2010-01-19,19.6,20.1,19.1,20.1,5490.0
2010-01-20,20.9,20.9,19.5,19.5,540.0
2010-01-21,19.7,19.7,19.1,19.1,12460.0
2010-01-22,19.1,20.0,19.1,19.5,10080.0
2010-01-25,19.5,19.8,19.5,19.8,3150.0
2010-01-26,20.0,20.5,19.9,20.5,22570.0
2010-01-27,20.3,20.3,19.8,19.8,6820.0
2010-01-28,19.2,19.5,19.2,19.5,24500.0
2010-01-29,19.8,19.8,19.3,19.7,2230.0
2010-02-01,19.6,19.6,19.6,19.6,2410.0
2010-02-02,19.5,19.7,19.5,19.7,3350.0
2010-02-03,19.7,19.9,19.7,19.9,2200.0
2010-02-04,19.8,20.0,19.8,20.0,11000.0
2010-02-05,19.9,19.9,19.2,19.5,12100.0
2010-02-08,19.8,19.8,19.3,19.5,1500.0
2010-02-09,19.5,19.5,19.3,19.3,3570.0
2010-02-10,19.8,19.8,19.4,19.6,6740.0
2010-02-11,19.5,19.8,19.5,19.8,4020.0
2010-02-12,19.9,20.0,19.8,20.0,4110.0
2010-02-22,20.2,20.2,20.0,20.0,5390.0
2010-02-23,20.0,20.0,19.8,19.8,11000.0
2010-02-24,19.8,20.0,19.8,19.9,1210.0
2010-02-25,19.9,20.0,19.5,19.9,1750.0
2010-02-26,19.9,20.8,19.7,20.5,23320.0
2010-03-01,20.0,20.1,20.0,20.0,4040.0
2010-03-02,20.0,20.0,20.0,20.0,7610.0
2010-03-03,20.5,20.5,20.0,20.2,3830.0
