date,open,high,low,close,klgdkl
2010-01-04,83.0,84.0,82.0,84.0,597820.0
2010-01-05,88.0,88.0,85.0,88.0,1085380.0
2010-01-06,87.0,89.5,85.5,86.5,1340200.0
2010-01-07,86.0,88.0,84.0,84.0,1366130.0
2010-01-08,85.5,86.0,80.0,80.0,1438590.0
2010-01-11,81.5,82.5,77.5,79.5,643940.0
2010-01-12,79.5,81.0,77.0,77.0,876140.0
2010-01-13,77.0,80.0,74.0,80.0,879060.0
2010-01-14,82.0,82.5,79.0,81.5,642630.0
2010-01-15,80.0,81.5,78.5,79.0,473090.0
2010-01-18,77.0,77.5,75.5,75.5,800290.0
2010-01-19,75.5,78.5,75.0,77.5,653260.0
2010-01-20,77.5,77.5,75.0,75.0,657800.0
2010-01-21,74.5,75.0,71.5,72.0,783030.0
2010-01-22,71.5,73.0,70.0,72.5,502310.0
2010-01-25,72.5,74.5,72.0,73.5,341090.0
2010-01-26,76.0,77.0,75.5,77.0,546310.0
2010-01-27,79.0,79.0,76.0,76.5,881260.0
2010-01-28,76.0,76.5,74.5,75.0,342660.0
2010-01-29,74.5,76.0,74.0,75.0,401260.0
2010-02-01,76.0,76.5,75.0,76.5,260470.0
2010-02-02,77.0,77.5,76.0,76.5,363900.0
2010-02-03,77.0,78.0,76.5,78.0,442840.0
2010-02-04,77.5,80.0,77.0,79.5,670090.0
2010-02-05,77.5,79.5,76.5,77.0,561380.0
2010-02-08,76.0,76.5,75.5,76.0,327660.0
2010-02-09,74.5,76.0,74.0,74.5,392990.0
2010-02-10,76.0,76.5,75.5,76.0,124370.0
2010-02-11,76.0,77.0,75.5,77.0,184580.0
2010-02-12,77.5,78.5,77.0,77.5,305740.0
2010-02-22,78.0,78.5,77.0,77.5,256650.0
2010-02-23,76.0,76.0,74.5,75.0,237630.0
2010-02-24,74.0,76.0,74.0,76.0,284120.0
2010-02-25,75.5,76.5,74.5,74.5,424650.0
2010-02-26,74.0,75.5,74.0,74.5,656680.0
2010-03-01,75.5,75.5,74.5,75.0,168040.0
2010-03-02,75.0,75.5,74.5,75.0,206840.0
2010-03-03,75.5,76.0,74.5,76.0,521600.0
2010-03-04,77.5,79.5,77.5,78.0,1570800.0
2010-03-05,78.5,79.0,77.5,78.5,534880.0
2010-03-08,79.0,81.5,78.5,80.5,709060.0
2010-03-09,79.5,80.5,79.0,80.0,776480.0
2010-03-10,80.0,81.0,79.0,79.5,1000970.0
2010-03-11,79.5,83.0,79.5,81.0,1566450.0
2010-03-12,81.5,82.0,80.5,81.5,825870.0
2010-03-15,83.0,83.0,81.5,81.5,705260.0
2010-03-16,80.0,81.5,78.5,78.5,838800.0
2010-03-17,79.5,79.5,77.0,77.5,798600.0
2010-03-18,78.5,79.0,77.0,79.0,495320.0
2010-03-19,79.0,80.0,78.5,80.0,814510.0
2010-03-22,79.0,80.0,78.0,78.0,295130.0
