date,open,high,low,close,klgdkl
2018-08-03,35.0,35.1,32.6,32.8,33790.0
2018-08-06,34.0,34.0,32.9,34.0,37720.0
2018-08-07,34.0,34.4,33.9,34.0,28590.0
2018-08-08,34.0,35.0,33.9,34.4,21240.0
2018-08-09,34.4,34.4,34.0,34.0,20270.0
2018-08-10,33.0,33.0,32.2,32.5,10680.0
2018-08-13,32.5,32.6,32.5,32.6,9960.0
2018-08-14,32.6,32.6,32.2,32.5,7070.0
2018-08-15,32.7,32.7,32.2,32.4,25300.0
2018-08-16,32.5,32.5,32.0,32.4,14090.0
2018-08-17,32.4,32.8,32.4,32.5,2360.0
2018-08-20,32.6,32.6,32.0,32.2,17720.0
2018-08-21,32.2,32.6,32.2,32.6,19980.0
2018-08-22,32.6,32.65,32.4,32.65,9550.0
2018-08-23,33.0,33.0,32.6,32.7,10620.0
2018-08-24,33.0,33.5,33.0,33.3,21670.0
2018-08-27,33.3,33.5,31.0,33.3,16430.0
2018-08-28,33.5,33.9,33.2,33.5,23310.0
2018-08-29,33.5,33.5,33.0,33.5,8910.0
2018-08-30,33.5,33.5,33.1,33.5,6430.0
2018-08-31,33.5,33.5,33.0,33.1,9060.0
2018-09-04,33.1,33.45,33.1,33.1,2330.0
2018-09-05,33.4,33.4,33.0,33.0,20280.0
2018-09-06,33.2,33.2,32.8,33.1,6650.0
2018-09-07,33.0,33.2,32.7,32.9,4750.0
2018-09-10,32.5,33.35,32.5,33.0,12970.0
2018-09-11,33.0,33.0,33.0,33.0,26700.0
2018-09-12,33.3,33.3,33.0,33.0,190.0
2018-09-13,33.3,33.3,33.0,33.0,12240.0
2018-09-14,33.0,33.6,32.9,32.9,20220.0
2018-09-17,33.0,33.0,32.8,33.0,1860.0
2018-09-18,33.2,33.2,32.9,33.0,10670.0
2018-09-19,33.0,33.0,32.9,33.0,21940.0
2018-09-20,33.0,33.0,33.0,33.0,4080.0
2018-09-21,33.0,33.2,33.0,33.0,14840.0
2018-09-24,33.0,33.0,32.8,32.8,23990.0
2018-09-25,32.8,33.0,32.8,33.0,18550.0
2018-09-26,32.95,33.0,32.9,33.0,22330.0
2018-09-27,33.0,33.0,32.9,33.0,5200.0
2018-09-28,33.0,34.8,32.9,34.8,27610.0
2018-10-01,34.8,34.8,33.0,33.2,11720.0
2018-10-02,33.2,33.2,32.9,32.9,6790.0
2018-10-03,32.8,33.5,32.7,33.0,32660.0
2018-10-04,33.0,33.0,32.9,33.0,11700.0
2018-10-05,33.0,33.0,32.6,33.0,17880.0
2018-10-08,32.8,32.8,32.6,32.8,3930.0
2018-10-09,33.0,33.0,33.0,33.0,3100.0
2018-10-10,32.9,32.9,32.9,32.9,13520.0
2018-10-11,32.9,32.9,32.6,32.7,57280.0
2018-10-12,32.6,33.0,32.6,33.0,8970.0
