date,open,high,low,close,klgdkl
2010-01-04,52.5,54.5,52.0,54.5,70340.0
2010-01-05,55.0,55.0,52.0,52.5,113870.0
2010-01-06,54.0,54.0,51.5,52.0,4280.0
2010-01-07,51.0,52.5,50.0,52.5,47010.0
2010-01-08,52.5,52.5,49.9,49.9,241100.0
2010-01-11,48.1,49.6,48.0,48.0,27870.0
2010-01-12,48.5,48.5,48.0,48.5,8370.0
2010-01-13,48.5,49.4,47.5,49.4,7250.0
2010-01-14,49.5,49.5,48.7,49.0,12150.0
2010-01-15,49.5,49.5,47.1,47.1,15970.0
2010-01-18,45.1,47.0,44.8,47.0,52260.0
2010-01-19,47.0,47.0,46.4,47.0,30600.0
2010-01-20,47.0,47.0,45.7,45.7,7100.0
2010-01-21,45.5,45.5,44.7,44.7,13910.0
2010-01-22,44.7,44.7,44.1,44.1,13250.0
2010-01-25,43.2,43.7,43.2,43.5,1240.0
2010-01-26,43.0,45.0,43.0,45.0,29280.0
2010-01-27,45.0,45.0,43.5,44.5,1400.0
2010-01-28,44.0,44.0,43.0,43.0,1800.0
2010-01-29,43.0,43.0,41.0,42.5,23140.0
2010-02-01,44.4,44.4,42.5,42.5,15720.0
2010-02-02,42.5,42.6,41.6,42.5,19380.0
2010-02-03,44.1,44.1,41.0,42.0,62310.0
2010-02-04,42.9,42.9,41.0,42.5,57810.0
2010-02-05,41.3,42.5,41.0,41.0,13530.0
2010-02-08,40.5,41.0,40.0,40.0,17870.0
2010-02-09,39.1,39.5,38.0,38.0,47540.0
2010-02-10,38.0,39.5,37.1,39.5,58340.0
2010-02-11,39.5,39.7,39.5,39.5,54970.0
2010-02-12,41.0,41.0,40.1,41.0,10660.0
2010-02-22,42.0,42.0,41.4,42.0,6780.0
2010-02-23,39.9,40.0,39.9,39.9,52990.0
2010-02-24,39.9,40.0,39.0,39.0,19820.0
2010-02-25,39.9,39.9,39.1,39.8,10390.0
2010-02-26,39.9,39.9,39.5,39.9,5860.0
2010-03-01,39.9,40.0,39.6,40.0,8770.0
