date,open,high,low,close,klgdkl
2010-01-04,87.5,88.5,87.5,88.5,460760.0
2010-01-05,92.5,92.5,92.0,92.5,1914560.0
2010-01-06,92.5,97.0,92.5,95.0,3619690.0
2010-01-07,95.5,96.0,92.5,92.5,3156860.0
2010-01-08,95.0,95.5,91.0,91.0,3232490.0
2010-01-11,92.0,92.0,89.5,90.5,1781590.0
2010-01-12,90.0,91.0,86.0,86.0,2337510.0
2010-01-13,86.0,90.0,82.5,90.0,2511590.0
2010-01-14,92.5,92.5,89.5,90.0,1631360.0
2010-01-15,88.5,90.5,87.0,88.0,1380140.0
2010-01-18,86.5,87.0,84.0,84.0,2603960.0
2010-01-19,84.5,87.0,84.0,86.0,1616640.0
2010-01-20,87.0,87.0,83.5,84.0,1469170.0
2010-01-21,82.5,84.5,80.5,82.0,1999820.0
2010-01-22,81.5,83.0,80.0,83.0,1103440.0
2010-01-25,83.0,83.5,82.0,82.5,1042410.0
2010-01-26,85.0,86.5,84.5,86.5,1644920.0
2010-01-27,85.5,87.0,83.5,83.5,1129600.0
2010-01-28,83.0,83.5,82.0,82.0,911950.0
2010-01-29,82.0,83.0,80.5,82.5,1011600.0
2010-02-01,83.0,83.5,82.0,83.5,613090.0
2010-02-02,84.5,84.5,83.0,83.0,829790.0
2010-02-03,83.5,84.0,83.0,84.0,866360.0
2010-02-04,84.0,88.0,84.0,87.0,1533090.0
2010-02-05,85.0,87.0,84.5,84.5,1631350.0
2010-02-08,84.5,85.0,83.5,85.0,699220.0
2010-02-09,84.0,84.5,83.0,84.0,703140.0
2010-02-10,85.0,85.0,84.0,84.5,808550.0
2010-02-11,85.0,85.5,84.0,85.5,634970.0
2010-02-12,86.0,86.5,85.5,86.0,903460.0
2010-02-22,86.5,87.0,86.0,86.0,519030.0
2010-02-23,84.5,85.0,83.5,83.5,766590.0
2010-02-24,83.5,85.0,83.0,85.0,1198160.0
2010-02-25,85.5,86.5,85.0,85.5,1432010.0
2010-02-26,85.0,86.0,85.0,86.0,840610.0
2010-03-01,86.5,86.5,85.5,85.5,1195710.0
2010-03-02,85.5,87.0,85.0,85.5,2009080.0
2010-03-03,86.0,87.0,85.5,87.0,2502130.0
2010-03-04,88.0,89.5,87.5,88.0,2336870.0
2010-03-05,88.5,89.0,87.5,89.0,1625920.0
2010-03-08,90.5,92.5,90.5,92.0,3012020.0
2010-03-09,92.0,93.0,91.5,92.5,1841030.0
2010-03-10,92.0,92.5,91.5,91.5,1982730.0
2010-03-11,92.0,92.5,90.5,91.0,1901090.0
2010-03-12,91.5,91.5,90.5,91.5,1512500.0
2010-03-15,92.0,92.5,90.5,91.0,1482010.0
2010-03-16,91.5,91.5,88.0,89.0,3235630.0
2010-03-17,90.0,90.0,88.0,88.0,1911440.0
2010-03-18,90.0,91.0,88.5,90.5,3935800.0
2010-03-19,90.5,90.5,89.0,89.0,1838980.0
2010-03-22,89.0,89.0,87.5,87.5,2276240.0
2010-03-23,87.0,88.0,87.0,87.0,1807050.0
2010-03-24,87.5,88.0,87.0,87.5,3590690.0
