date,open,high,low,close,klgdkl
2015-09-30,30.0,30.9,29.5,30.9,397320.0
2015-10-01,31.5,33.0,31.1,33.0,236460.0
2015-10-02,33.0,34.3,33.0,33.5,57350.0
2015-10-05,33.5,35.0,33.5,35.0,275190.0
2015-10-06,37.3,37.3,36.0,36.4,228850.0
2015-10-07,36.4,36.4,35.5,36.0,204010.0
2015-10-08,35.5,36.0,34.6,36.0,163690.0
2015-10-09,36.0,36.0,34.8,35.2,97100.0
2015-10-12,34.2,35.3,34.0,35.0,83520.0
2015-10-13,35.0,35.7,35.0,35.6,96370.0
2015-10-14,35.7,35.8,35.6,35.7,184950.0
2015-10-15,35.5,36.4,35.5,36.4,165540.0
2015-10-16,37.1,37.1,36.3,37.1,374950.0
2015-10-19,37.1,37.7,37.1,37.6,204350.0
2015-10-20,37.6,37.9,37.6,37.7,201770.0
2015-10-21,37.7,37.7,36.7,37.1,429360.0
2015-10-22,37.0,37.3,36.7,37.3,132100.0
2015-10-23,37.3,37.5,37.0,37.0,127720.0
2015-10-26,37.2,37.2,36.5,36.5,143630.0
2015-10-27,35.0,36.5,35.0,36.5,43090.0
2015-10-28,36.3,36.6,36.3,36.3,36220.0
2015-10-29,36.1,36.5,35.8,36.5,40170.0
2015-10-30,36.2,36.5,36.0,36.3,14530.0
2015-11-02,35.8,36.4,35.8,36.4,105520.0
2015-11-03,33.2,33.5,33.0,33.5,42640.0
2015-11-04,33.5,34.2,33.5,34.2,100490.0
2015-11-05,34.2,34.7,34.2,34.7,103970.0
2015-11-06,34.6,34.7,34.5,34.7,12610.0
2015-11-09,34.5,34.7,34.4,34.7,41540.0
2015-11-10,34.3,34.7,34.3,34.7,9650.0
2015-11-11,34.4,34.6,33.7,34.2,23000.0
2015-11-12,34.0,34.5,34.0,34.5,8990.0
2015-11-13,34.4,34.5,34.0,34.2,4490.0
2015-11-16,34.0,34.5,33.2,34.1,6310.0
2015-11-17,32.7,34.1,32.1,33.8,12270.0
2015-11-18,33.0,33.5,32.2,33.0,3540.0
2015-11-19,32.5,32.5,32.5,32.5,520.0
2015-11-20,32.5,34.7,32.0,33.0,38280.0
2015-11-23,31.2,34.0,31.2,33.0,21140.0
2015-11-24,33.0,33.0,31.5,32.8,37450.0
2015-11-25,32.8,32.8,31.7,32.8,34370.0
2015-11-26,32.8,32.8,32.0,32.0,32040.0
2015-11-27,33.0,33.0,31.8,32.0,36590.0
2015-11-30,32.9,32.9,31.8,32.0,32880.0
2015-12-01,32.8,32.8,32.2,32.7,86400.0
2015-12-02,33.8,34.5,32.6,33.8,54980.0
2015-12-03,33.8,34.0,33.5,34.0,64980.0
2015-12-04,34.0,34.0,33.3,33.5,37020.0
