date,open,high,low,close,klgdkl
2011-10-05,17.0,17.0,17.0,17.0,4110.0
2011-10-06,16.2,16.2,16.2,16.2,100.0
2011-10-07,16.2,16.2,15.4,15.4,1070.0
2011-10-10,14.7,14.7,14.7,14.7,170.0
2011-10-11,14.0,14.0,14.0,14.0,350.0
2011-10-12,13.3,13.3,13.3,13.3,510.0
2011-10-13,12.7,12.7,12.7,12.7,30.0
2011-10-14,12.1,12.1,12.1,12.1,150.0
2011-10-17,11.5,11.5,11.5,11.5,20.0
2011-10-18,11.0,11.0,11.0,11.0,20.0
2011-10-19,10.5,10.5,10.5,10.5,20.0
2011-10-20,10.0,10.0,10.0,10.0,10.0
2011-10-21,10.0,10.0,9.5,9.5,40.0
2011-10-24,9.1,9.1,9.1,9.1,300.0
2011-10-25,8.7,8.7,8.7,8.7,2420.0
2011-10-26,8.7,8.7,8.3,8.3,70.0
2011-10-27,7.9,7.9,7.9,7.9,4070.0
2011-10-28,7.9,8.2,7.9,8.2,9540.0
2011-10-31,8.2,8.6,8.2,8.6,8290.0
2011-11-01,9.0,9.0,9.0,9.0,300.0
2011-11-02,9.0,9.4,8.6,9.4,3300.0
2011-11-03,9.0,9.4,9.0,9.0,3540.0
2011-11-04,9.4,9.4,8.8,9.0,2070.0
2011-11-07,9.0,9.0,8.6,9.0,970.0
2011-11-08,9.2,9.2,9.2,9.2,10.0
2011-11-09,9.2,9.3,8.8,9.3,1110.0
2011-11-10,9.2,9.2,8.9,8.9,1110.0
2011-11-11,8.5,8.5,8.5,8.5,310.0
2011-11-14,8.9,8.9,8.1,8.5,30.0
2011-11-15,8.6,8.6,8.1,8.5,40.0
2011-11-16,8.3,8.3,8.1,8.1,1050.0
2011-11-17,7.7,8.1,7.7,7.7,990.0
2011-11-18,7.4,7.4,7.4,7.4,820.0
2011-11-21,7.1,7.1,7.1,7.1,200.0
2011-11-22,6.8,6.8,6.8,6.8,210.0
2011-11-23,6.5,6.5,6.5,6.5,10.0
2011-11-24,6.2,6.8,6.2,6.5,350.0
2011-11-25,6.6,6.6,6.6,6.6,90.0
2011-11-28,6.9,6.9,6.9,6.9,10.0
2011-11-29,7.2,7.2,6.6,7.1,520.0
2011-11-30,7.3,7.3,7.3,7.3,10.0
2011-12-01,7.5,7.5,7.5,7.5,10.0
2011-12-02,7.2,7.5,7.2,7.2,400.0
2011-12-05,7.4,7.4,7.3,7.3,140.0
2011-12-06,7.3,7.5,7.3,7.5,170.0
2011-12-07,7.5,7.5,7.5,7.5,0.0
2011-12-08,7.4,7.4,7.4,7.4,50.0
2011-12-09,7.4,7.4,7.4,7.4,0.0
2011-12-12,7.4,7.4,7.4,7.4,0.0
2011-12-13,7.4,7.4,7.4,7.4,90.0
2011-12-14,7.4,7.4,7.4,7.4,20.0
2011-12-15,7.2,7.2,7.2,7.2,20.0
2011-12-16,7.2,7.2,7.2,7.2,20.0
2011-12-19,7.2,7.2,7.2,7.2,20.0
2011-12-20,7.2,7.2,7.2,7.2,50.0
