date,open,high,low,close,klgdkl
2019-01-15,15.0,15.0,11.0,11.0,109570.0
2019-01-16,11.0,11.75,11.0,11.75,27940.0
2019-01-17,12.55,12.55,12.55,12.55,119080.0
2019-01-18,13.1,13.2,12.55,12.55,50480.0
2019-01-21,12.55,12.55,11.9,11.9,13560.0
2019-01-22,11.6,11.6,11.2,11.2,44240.0
2019-01-23,11.0,11.2,11.0,11.0,32640.0
2019-01-24,11.0,11.5,10.9,10.9,25700.0
2019-01-25,10.8,11.0,10.7,10.9,49630.0
2019-01-28,11.0,11.0,10.5,10.5,14490.0
2019-01-29,10.5,10.5,10.3,10.3,17290.0
2019-01-30,10.5,11.0,10.5,11.0,13100.0
2019-01-31,10.3,11.6,10.3,11.6,13540.0
2019-02-01,11.8,12.2,11.8,12.0,26280.0
2019-02-11,11.9,12.15,11.2,11.9,19240.0
2019-02-12,12.2,12.2,11.6,12.0,6110.0
2019-02-13,11.45,12.0,11.35,11.35,12030.0
2019-02-14,11.4,11.9,11.4,11.9,44960.0
2019-02-15,12.0,12.0,11.75,11.95,710.0
2019-02-18,11.75,11.85,11.55,11.7,8130.0
2019-02-19,11.5,11.75,11.5,11.5,10110.0
2019-02-20,11.5,11.8,11.5,11.7,240.0
2019-02-21,11.4,11.8,11.4,11.7,11650.0
2019-02-22,11.2,11.65,11.2,11.35,4700.0
2019-02-25,11.75,11.75,11.3,11.45,6120.0
2019-02-26,11.35,11.6,11.3,11.4,26740.0
2019-02-27,11.4,11.4,11.35,11.35,9660.0
2019-02-28,11.3,11.3,11.1,11.1,28330.0
2019-03-01,11.4,11.4,11.2,11.35,6140.0
2019-03-04,11.3,11.35,11.2,11.35,34570.0
2019-03-05,11.35,11.5,11.1,11.5,56010.0
2019-03-06,11.3,11.8,11.3,11.6,33470.0
2019-03-07,12.4,12.4,11.35,12.4,267080.0
2019-03-08,12.75,13.1,12.75,12.9,111620.0
2019-03-11,12.9,13.8,12.9,13.8,278650.0
2019-03-12,14.1,14.75,14.0,14.75,641940.0
2019-03-13,15.0,15.0,14.2,14.8,142590.0
2019-03-14,14.6,15.0,14.35,14.9,137890.0
2019-03-15,14.9,15.1,14.5,14.7,267670.0
2019-03-18,14.75,14.8,14.2,14.5,182310.0
2019-03-19,14.3,14.65,14.3,14.6,134560.0
2019-03-20,14.7,15.4,14.4,15.4,220550.0
2019-03-21,15.6,16.45,15.4,16.45,561890.0
2019-03-22,16.4,17.6,16.4,17.5,594160.0
2019-03-25,17.5,17.5,16.3,16.3,305200.0
2019-03-26,15.2,15.9,15.2,15.3,268880.0
2019-03-27,15.05,16.35,15.05,16.35,154760.0
2019-03-28,16.4,16.4,15.7,15.8,146440.0
2019-03-29,15.4,16.4,15.4,16.2,75910.0
2019-04-01,16.2,16.75,15.8,16.7,123850.0
2019-04-02,17.4,17.4,16.3,16.45,93040.0
2019-04-03,16.1,16.65,16.1,16.1,46680.0
2019-04-04,16.4,16.8,16.1,16.4,151510.0
2019-04-05,16.4,16.6,16.2,16.25,81910.0
2019-04-08,16.25,16.8,16.0,16.2,86590.0
2019-04-09,16.1,16.2,15.75,15.75,80070.0
2019-04-10,16.1,16.2,15.35,16.0,55540.0
2019-04-11,15.6,16.0,15.5,15.55,31730.0
2019-04-12,15.35,15.9,15.1,15.6,99700.0
2019-04-16,15.7,15.8,15.0,15.25,20500.0
2019-04-17,15.05,15.4,15.0,15.0,131610.0
2019-04-18,15.0,15.0,14.6,14.6,109570.0
2019-04-19,14.9,15.0,14.5,14.9,42830.0
2019-04-22,14.5,15.0,14.5,14.6,71150.0
2019-04-23,14.55,14.9,14.55,14.6,70640.0
2019-04-24,14.6,15.0,14.6,14.65,74430.0
2019-04-25,14.65,15.65,14.65,15.0,174610.0
2019-04-26,15.4,15.6,15.0,15.15,7330.0
2019-05-02,15.15,15.9,15.0,15.55,109090.0
2019-05-03,15.8,15.8,15.1,15.4,75440.0
2019-05-06,15.4,15.4,14.8,15.2,56300.0
2019-05-07,15.0,15.4,14.95,15.4,84600.0
2019-05-08,15.25,15.4,15.1,15.4,17710.0
2019-05-09,15.4,15.4,15.0,15.0,34800.0
2019-05-10,14.65,15.1,14.65,15.05,121480.0
2019-05-13,15.05,16.0,14.8,15.95,187140.0
2019-05-14,15.95,16.85,15.45,16.75,521800.0
2019-05-15,16.5,16.95,16.3,16.7,193830.0
2019-05-16,16.7,17.5,16.6,16.7,410160.0
2019-05-17,16.5,16.85,16.35,16.45,220960.0
2019-05-20,16.3,17.6,16.3,17.6,883300.0
2019-05-21,17.6,18.4,17.6,17.8,373120.0
2019-05-22,17.9,18.3,17.8,17.9,375670.0
2019-05-23,17.6,17.95,17.55,17.6,395790.0
2019-05-24,17.55,18.7,17.5,18.3,623620.0
2019-05-27,18.3,19.2,18.3,19.2,308580.0
2019-05-28,19.4,20.0,19.2,19.75,504660.0
2019-05-29,19.6,19.6,19.15,19.35,272840.0
2019-05-30,19.1,19.3,18.7,18.8,365660.0
2019-05-31,18.7,19.4,18.2,18.2,369550.0
2019-06-03,18.2,18.9,18.0,18.2,175170.0
2019-06-04,18.65,18.8,18.3,18.8,160300.0
2019-06-05,19.1,19.8,18.85,18.85,293910.0
2019-06-06,18.85,19.5,18.85,19.2,243990.0
2019-06-07,19.25,20.5,19.25,20.5,1007580.0
2019-06-10,20.9,21.4,20.4,20.95,346910.0
2019-06-11,21.2,21.5,20.5,20.8,328710.0
2019-06-12,20.8,20.9,19.8,19.8,356370.0
2019-06-13,19.95,20.7,19.9,20.2,287650.0
2019-06-14,20.55,20.55,19.3,19.3,372210.0
2019-06-17,19.3,19.8,19.15,19.3,197970.0
2019-06-18,19.2,19.9,19.2,19.8,230990.0
2019-06-19,20.3,20.3,19.7,20.3,161740.0
2019-06-20,20.3,20.4,19.8,19.8,255020.0
2019-06-21,19.65,20.1,19.65,19.65,154830.0
2019-06-24,19.5,19.9,19.5,19.6,165280.0
2019-06-25,19.7,19.85,19.0,19.0,245610.0
2019-06-26,18.6,19.0,18.3,18.6,516810.0
2019-06-27,18.6,18.9,18.45,18.6,111790.0
2019-06-28,18.3,18.65,18.1,18.3,182890.0
2019-07-01,19.2,19.4,18.5,19.2,181060.0
2019-07-02,19.15,19.45,18.95,19.15,238240.0
2019-07-03,19.15,19.3,18.95,19.15,127700.0
2019-07-04,19.15,20.45,19.15,20.45,701070.0
2019-07-05,21.0,21.1,20.55,21.0,741210.0
2019-07-08,21.0,21.35,20.8,21.0,390280.0
2019-07-09,20.9,21.1,20.65,21.1,323330.0
2019-07-10,21.3,22.55,21.3,22.55,649580.0
2019-07-11,23.0,23.1,22.1,22.5,382990.0
2019-07-12,22.8,23.55,22.2,22.5,344230.0
2019-07-15,22.8,23.3,22.5,22.5,454610.0
2019-07-16,22.6,22.95,21.7,21.7,378030.0
2019-07-17,21.7,22.1,21.3,21.65,185740.0
2019-07-18,21.25,22.0,21.25,21.9,178530.0
2019-07-19,21.25,22.45,21.4,22.0,279030.0
2019-07-22,22.4,23.0,21.8,22.85,280430.0
2019-07-23,23.0,23.7,22.85,22.9,451420.0
2019-07-24,23.0,23.2,21.9,22.35,486280.0
2019-07-25,22.35,22.5,21.6,22.0,228620.0
2019-07-26,21.95,23.0,21.8,22.45,336050.0
2019-07-29,22.65,23.2,22.55,23.0,583590.0
2019-07-30,23.0,23.3,22.5,22.5,402380.0
2019-07-31,22.7,23.0,22.6,22.8,204960.0
2019-08-01,22.6,24.35,22.6,24.35,1236520.0
2019-08-02,24.8,25.1,24.5,24.9,747950.0
2019-08-05,24.9,25.95,24.35,25.95,705760.0
2019-08-06,25.0,27.7,25.0,26.45,976630.0
2019-08-07,25.0,27.2,25.1,25.5,694890.0
2019-08-08,25.5,25.95,24.9,25.2,632370.0
2019-08-09,25.2,25.6,25.05,25.3,307110.0
2019-08-12,25.3,25.9,25.05,25.3,445620.0
2019-08-13,25.2,25.5,23.55,23.9,1116880.0
2019-08-14,23.9,24.7,23.8,23.9,213010.0
2019-08-15,23.5,24.3,22.8,24.25,473350.0
2019-08-16,23.9,24.1,23.6,23.6,424650.0
2019-08-19,23.6,24.1,23.5,23.8,230620.0
2019-08-20,23.8,25.1,23.7,25.1,1063710.0
2019-08-21,25.15,25.5,24.5,24.5,483160.0
2019-08-22,24.5,24.9,24.45,24.45,270850.0
2019-08-23,24.45,24.8,24.1,24.2,290990.0
2019-08-26,24.6,24.75,24.0,24.0,413740.0
2019-08-27,24.3,24.5,23.3,23.3,561370.0
