date,open,high,low,close,klgdkl
2010-01-04,78.0,78.5,77.5,78.5,113590.0
2010-01-05,82.0,82.0,78.0,81.0,205810.0
2010-01-06,79.0,82.0,79.0,81.5,155470.0
2010-01-07,81.5,85.5,81.0,85.5,289000.0
2010-01-08,89.5,89.5,84.0,84.0,255280.0
2010-01-11,85.0,85.0,82.0,83.0,104690.0
2010-01-12,84.0,84.0,79.0,79.0,84060.0
2010-01-13,78.5,82.5,75.5,82.5,165730.0
2010-01-14,81.5,83.0,80.0,80.5,85830.0
2010-01-15,81.5,82.0,77.5,78.0,67230.0
2010-01-18,75.0,76.0,74.5,74.5,104240.0
2010-01-19,74.0,77.0,73.5,75.5,44390.0
2010-01-20,77.0,77.0,72.5,74.5,48320.0
2010-01-21,74.5,75.0,71.0,71.0,119730.0
2010-01-22,68.5,73.0,67.5,71.0,78740.0
2010-01-25,72.0,72.0,68.5,71.5,24330.0
2010-01-26,75.0,75.0,73.0,75.0,75120.0
2010-01-27,78.5,78.5,78.0,78.5,407890.0
2010-01-28,81.0,81.0,78.5,79.0,198350.0
2010-01-29,80.0,82.5,78.5,82.5,222970.0
2010-02-01,82.5,82.5,81.0,82.0,83550.0
2010-02-02,82.5,83.5,82.0,82.5,220840.0
2010-02-03,83.0,83.0,81.0,82.0,63740.0
2010-02-04,86.0,86.0,85.5,86.0,326530.0
2010-02-05,85.5,89.0,85.5,88.5,254770.0
2010-02-08,85.0,87.0,84.5,84.5,279430.0
2010-02-09,80.5,82.5,80.5,80.5,179540.0
2010-02-10,80.5,80.5,76.5,78.0,251580.0
2010-02-11,80.5,81.5,79.0,81.5,211270.0
2010-02-12,83.0,83.0,81.5,81.5,79950.0
2010-02-22,83.0,83.0,80.0,80.0,73960.0
2010-02-23,78.5,78.5,76.0,76.0,338800.0
2010-02-24,74.0,76.0,73.0,75.0,309140.0
2010-02-25,38.8,38.8,38.8,38.8,400.0
2010-02-26,40.3,40.3,39.0,40.0,278560.0
2010-03-01,39.0,40.0,39.0,39.4,129900.0
2010-03-02,39.0,39.4,38.8,39.0,78120.0
2010-03-03,39.8,39.8,39.1,39.6,67580.0
2010-03-04,39.7,40.3,39.2,39.4,157740.0
2010-03-05,38.8,39.5,38.0,39.3,224650.0
2010-03-08,39.5,40.9,39.3,40.7,278080.0
2010-03-09,40.7,40.7,40.0,40.4,93490.0
2010-03-10,40.0,40.3,39.7,39.7,76060.0
2010-03-11,39.9,40.0,39.1,39.2,108600.0
2010-03-12,39.2,41.1,39.2,41.1,403180.0
2010-03-15,43.1,43.1,43.1,43.1,100060.0
2010-03-16,43.0,43.3,41.2,41.5,402290.0
2010-03-17,41.9,41.9,41.0,41.0,130370.0
2010-03-18,40.3,41.4,39.5,41.0,117570.0
2010-03-19,40.3,41.0,40.1,40.1,96410.0
2010-03-22,40.8,40.8,39.5,39.5,61960.0
2010-03-23,39.5,40.0,38.7,39.0,100930.0
2010-03-24,39.5,40.9,39.3,40.9,154000.0
2010-03-25,40.0,40.5,39.1,39.3,113080.0
2010-03-26,39.3,39.6,38.6,39.6,35980.0
2010-03-29,39.6,40.4,39.1,39.9,23930.0
2010-03-30,39.2,39.5,38.6,38.6,57070.0
2010-03-31,39.2,39.2,37.6,37.6,44900.0
2010-04-01,38.3,38.5,37.5,38.0,79500.0
2010-04-02,38.4,38.4,37.8,37.8,51190.0
2010-04-05,37.8,38.5,37.6,37.6,52280.0
2010-04-06,37.9,39.4,37.8,38.5,102450.0
2010-04-07,38.5,40.3,38.5,39.2,146740.0
2010-04-08,39.5,41.0,39.5,40.6,497910.0
2010-04-09,39.7,40.0,39.0,39.0,261020.0
2010-04-12,39.1,39.6,38.6,38.6,101110.0
2010-04-13,38.6,39.0,38.1,38.1,133770.0
2010-04-14,38.0,38.5,37.9,38.0,120030.0
2010-04-15,38.7,38.7,38.0,38.2,247040.0
2010-04-16,38.2,40.0,38.2,39.7,397470.0
2010-04-19,38.9,39.3,38.6,38.6,72480.0
2010-04-20,38.3,38.5,38.1,38.1,78780.0
2010-04-21,38.5,38.8,38.1,38.1,136050.0
2010-04-22,38.1,39.8,38.1,38.3,349340.0
2010-04-26,38.3,38.6,38.2,38.4,193000.0
2010-04-27,39.0,40.3,38.8,40.3,896980.0
2010-04-28,41.0,42.3,39.5,42.3,1166480.0
2010-04-29,44.4,44.4,44.0,44.4,512150.0
2010-05-04,45.0,46.6,44.7,46.6,513020.0
2010-05-05,46.6,46.7,44.3,44.3,789930.0
2010-05-06,46.0,46.0,43.0,44.0,415390.0
2010-05-07,43.1,43.1,41.8,41.8,539710.0
2010-05-10,41.0,42.2,39.8,41.0,375030.0
2010-05-11,42.0,42.1,40.1,40.1,201250.0
2010-05-12,40.0,40.1,39.0,39.0,293540.0
2010-05-13,39.5,40.0,38.7,39.0,159260.0
2010-05-14,40.1,40.1,39.0,39.3,248680.0
2010-05-17,39.3,39.3,37.9,38.4,172330.0
2010-05-18,38.4,38.4,37.5,37.9,170740.0
2010-05-19,37.3,37.3,36.1,36.1,263870.0
2010-05-20,34.3,36.2,34.3,36.2,303570.0
2010-05-21,34.5,35.5,34.4,34.4,170340.0
2010-05-24,34.4,35.0,32.7,34.0,157080.0
2010-05-25,33.0,34.0,33.0,33.0,68600.0
2010-05-26,34.4,34.6,34.0,34.6,119760.0
2010-05-27,35.6,35.6,34.3,35.5,65840.0
2010-05-28,37.0,37.2,36.5,37.2,209430.0
2010-05-31,37.0,37.0,36.3,36.3,45850.0
2010-06-01,36.0,36.4,35.8,36.2,73220.0
2010-06-02,35.6,36.4,35.6,36.4,84520.0
2010-06-03,36.5,37.0,36.4,36.4,101010.0
2010-06-04,36.4,36.5,35.5,36.1,60400.0
2010-06-07,34.5,36.0,34.4,34.4,77340.0
2010-06-08,35.0,35.0,34.4,34.5,48580.0
2010-06-09,34.8,35.5,34.5,34.5,44210.0
2010-06-10,33.5,34.8,33.5,34.7,28740.0
2010-06-11,35.4,35.4,34.7,34.7,109140.0
2010-06-14,34.7,35.5,34.7,35.3,20430.0
2010-06-15,35.3,35.5,34.7,35.0,15910.0
2010-06-16,35.0,35.8,35.0,35.5,106720.0
2010-06-17,35.0,35.4,35.0,35.2,31250.0
2010-06-18,34.8,35.1,34.8,34.9,55190.0
2010-06-21,35.0,35.4,34.9,34.9,57430.0
2010-06-22,34.9,35.2,34.3,34.3,61020.0
2010-06-23,34.0,34.9,34.0,34.4,39870.0
2010-06-24,34.6,36.1,34.4,36.1,426180.0
2010-06-25,36.0,37.5,35.5,35.5,155570.0
2010-06-28,36.0,36.4,35.1,35.4,130330.0
2010-06-29,35.4,36.3,35.2,35.5,178690.0
2010-06-30,34.4,35.0,34.0,35.0,107640.0
2010-07-01,34.5,35.0,34.0,34.4,94400.0
2010-07-02,34.9,34.9,34.0,34.8,51750.0
2010-07-05,34.6,34.9,34.0,34.3,80260.0
2010-07-06,34.8,35.5,34.0,35.0,188870.0
2010-07-07,36.0,36.0,34.7,34.7,147820.0
2010-07-08,35.5,35.5,34.5,34.5,65280.0
2010-07-09,34.4,35.0,34.4,35.0,54330.0
2010-07-12,35.0,35.2,34.1,35.2,65780.0
2010-07-13,36.0,36.0,35.2,35.5,71560.0
2010-07-14,35.8,35.8,34.9,34.9,77180.0
2010-07-15,35.0,35.0,33.5,34.5,91370.0
2010-07-16,34.1,34.5,34.0,34.0,66620.0
2010-07-19,34.0,34.5,33.9,34.2,37400.0
2010-07-20,34.1,34.4,34.0,34.0,44760.0
2010-07-21,34.5,34.5,33.7,33.7,35250.0
2010-07-22,33.5,33.7,33.3,33.3,48850.0
2010-07-23,33.5,34.0,33.0,34.0,35830.0
2010-07-26,34.0,34.0,33.3,33.3,14800.0
2010-07-27,33.3,33.8,33.0,33.0,26220.0
2010-07-28,33.0,33.0,31.4,31.4,53180.0
2010-07-29,31.0,31.7,30.7,30.7,70290.0
2010-07-30,30.7,31.7,30.6,30.9,74670.0
2010-08-02,30.9,31.0,30.1,30.1,37310.0
2010-08-03,31.2,31.2,29.8,29.8,44910.0
2010-08-04,29.5,29.5,29.1,29.1,50180.0
2010-08-05,28.9,29.9,28.5,28.6,51650.0
2010-08-06,28.0,28.8,28.0,28.7,15110.0
2010-08-09,28.9,28.9,27.4,27.7,21860.0
2010-08-10,27.2,27.2,26.4,26.4,108750.0
2010-08-11,26.4,26.4,25.6,26.2,27070.0
2010-08-12,25.1,25.4,24.9,24.9,78330.0
2010-08-13,23.9,24.5,23.7,24.5,67150.0
2010-08-16,24.5,25.7,24.5,25.7,35260.0
2010-08-17,26.0,26.0,25.0,25.5,54150.0
2010-08-18,25.5,25.5,24.4,24.4,71230.0
2010-08-19,24.0,25.0,24.0,24.5,41920.0
2010-08-20,24.4,24.4,24.1,24.4,32450.0
2010-08-23,24.4,24.7,24.4,24.4,27110.0
2010-08-24,24.4,24.4,23.2,23.2,75720.0
2010-08-25,23.2,23.2,22.1,22.1,86320.0
2010-08-26,22.1,22.1,21.1,22.0,44160.0
2010-08-27,21.0,21.9,21.0,21.7,73490.0
2010-08-30,22.7,22.7,22.7,22.7,76240.0
2010-08-31,22.7,23.8,22.5,23.6,77140.0
2010-09-01,24.0,24.3,23.0,24.3,77880.0
2010-09-06,25.3,25.5,25.3,25.5,107690.0
2010-09-07,25.0,26.0,24.9,25.1,75740.0
2010-09-08,25.0,26.3,24.5,26.3,175650.0
2010-09-09,27.6,27.6,27.6,27.6,9380.0
2010-09-10,28.9,28.9,27.6,27.6,518630.0
2010-09-13,28.2,28.2,26.3,26.5,218970.0
2010-09-14,26.5,27.8,26.3,27.8,209140.0
2010-09-15,28.4,29.1,27.5,28.4,212070.0
2010-09-16,27.3,28.4,27.0,27.1,148290.0
2010-09-17,27.8,28.0,26.8,28.0,84450.0
2010-09-20,28.8,28.8,27.6,27.6,60740.0
2010-09-21,27.0,27.6,27.0,27.1,61010.0
2010-09-22,27.1,27.2,27.0,27.1,54670.0
2010-09-23,27.0,27.0,26.0,26.5,54760.0
2010-09-24,26.8,27.0,26.5,27.0,21240.0
2010-09-27,27.0,27.0,26.3,26.3,46800.0
2010-09-28,26.3,27.5,26.3,26.4,28150.0
2010-09-29,27.0,27.0,26.0,26.1,34990.0
2010-09-30,26.3,26.3,25.6,26.1,46390.0
2010-10-01,25.2,26.5,25.2,25.3,33760.0
2010-10-04,26.2,26.2,24.1,24.1,130540.0
2010-10-05,23.4,24.9,23.3,24.9,61060.0
2010-10-06,25.9,25.9,25.0,25.1,26820.0
2010-10-07,25.1,25.2,24.2,24.3,70690.0
2010-10-08,24.9,24.9,23.9,23.9,22550.0
2010-10-11,23.6,24.0,23.6,23.8,21240.0
2010-10-12,23.7,23.8,23.5,23.7,27460.0
2010-10-13,23.7,23.7,23.0,23.5,17910.0
2010-10-14,23.5,23.6,23.5,23.5,30100.0
2010-10-15,23.5,23.6,23.4,23.4,14100.0
2010-10-18,23.4,24.0,23.4,23.7,25530.0
2010-10-19,23.5,23.7,22.7,23.5,44410.0
2010-10-20,22.7,22.7,22.4,22.4,54490.0
2010-10-21,22.5,23.0,22.5,22.6,17980.0
2010-10-22,22.0,22.8,22.0,22.4,26240.0
2010-10-25,22.0,23.1,22.0,23.1,17670.0
2010-10-26,23.9,24.2,23.8,24.1,24890.0
2010-10-27,24.1,24.1,23.2,23.3,18100.0
2010-10-28,23.0,23.0,22.0,22.5,9560.0
2010-10-29,22.2,22.4,22.0,22.4,19230.0
2010-11-01,22.0,22.0,21.7,21.7,10000.0
2010-11-02,21.5,21.5,20.9,21.2,13380.0
2010-11-03,21.0,21.2,20.8,21.1,22610.0
2010-11-04,21.1,21.3,21.1,21.3,5370.0
2010-11-05,22.0,22.0,21.6,21.8,15460.0
2010-11-08,21.8,21.8,21.2,21.3,18250.0
2010-11-09,21.3,21.3,20.6,20.7,32310.0
2010-11-10,20.5,21.0,20.4,21.0,7690.0
2010-11-11,20.4,21.0,20.0,20.0,58570.0
2010-11-12,20.3,20.3,19.0,19.0,72210.0
2010-11-15,19.0,19.0,18.1,18.1,61810.0
2010-11-16,18.6,18.6,17.2,17.2,70220.0
2010-11-17,17.2,18.0,17.2,17.2,26240.0
2010-11-18,17.9,18.0,17.7,17.9,23280.0
2010-11-19,18.6,18.6,17.8,17.9,47270.0
2010-11-22,17.9,17.9,17.2,17.9,10250.0
2010-11-23,18.2,18.2,18.0,18.0,19250.0
2010-11-24,18.0,18.2,17.8,18.2,20890.0
2010-11-25,18.2,19.0,18.2,18.8,52660.0
2010-11-26,19.2,19.2,18.5,19.1,39340.0
2010-11-29,19.1,19.1,18.5,19.1,16190.0
2010-11-30,19.9,20.0,19.9,20.0,121100.0
2010-12-01,20.5,20.5,19.5,20.1,60570.0
2010-12-02,20.6,21.1,20.0,21.1,78180.0
2010-12-03,22.1,22.1,22.1,22.1,83250.0
2010-12-06,23.1,23.2,22.3,23.2,153460.0
2010-12-07,23.2,23.2,22.4,22.4,103050.0
2010-12-08,21.5,21.8,21.3,21.3,121690.0
2010-12-09,21.2,22.3,20.5,21.5,41490.0
2010-12-10,22.0,22.5,21.9,22.5,101190.0
2010-12-13,23.6,23.6,23.4,23.6,113580.0
2010-12-14,24.2,24.2,22.5,22.5,71660.0
2010-12-15,23.0,23.3,21.4,22.2,63610.0
2010-12-16,22.5,22.5,21.1,21.1,58580.0
2010-12-17,21.6,22.0,21.0,22.0,30460.0
2010-12-20,22.1,22.6,22.0,22.0,32160.0
2010-12-21,21.0,22.2,21.0,21.2,91460.0
2010-12-22,21.3,21.5,21.1,21.1,63780.0
2010-12-23,20.4,21.1,20.4,20.4,18090.0
2010-12-24,20.0,20.8,20.0,20.0,24560.0
2010-12-27,20.0,20.5,20.0,20.5,19350.0
2010-12-28,20.1,21.4,20.1,21.0,26510.0
2010-12-29,21.6,21.6,20.5,21.0,6000.0
2010-12-30,21.1,21.1,20.4,20.4,17540.0
2010-12-31,20.8,20.8,20.0,20.8,32210.0
2011-01-04,21.5,21.5,20.8,20.8,8940.0
2011-01-05,20.4,20.5,20.1,20.1,19010.0
2011-01-06,20.5,20.5,20.1,20.1,10590.0
2011-01-07,20.3,20.3,20.0,20.0,22830.0
2011-01-10,20.0,20.0,19.5,19.9,6760.0
2011-01-11,19.5,20.0,19.4,19.8,6620.0
2011-01-12,19.8,19.8,19.6,19.6,5200.0
2011-01-13,19.8,20.0,19.6,19.8,26810.0
2011-01-14,19.7,20.0,19.6,19.9,21010.0
2011-01-17,20.5,20.8,20.1,20.8,84420.0
2011-01-18,20.9,20.9,20.3,20.3,10230.0
2011-01-19,20.4,20.4,20.0,20.3,9460.0
2011-01-20,20.5,20.5,20.2,20.2,10130.0
2011-01-21,19.8,20.2,19.8,19.8,48440.0
2011-01-24,19.5,19.7,19.1,19.1,18730.0
2011-01-25,19.1,19.9,19.0,19.9,11240.0
2011-01-26,20.5,20.5,19.6,19.6,3910.0
2011-01-27,19.7,19.7,19.6,19.6,2920.0
2011-01-28,19.4,19.9,19.1,19.7,11610.0
2011-02-08,20.3,20.3,19.8,19.8,13060.0
2011-02-09,19.0,20.5,18.9,19.9,17230.0
2011-02-10,19.9,19.9,19.5,19.8,4980.0
2011-02-11,19.9,19.9,19.5,19.5,7600.0
2011-02-14,19.5,20.0,19.5,19.5,7050.0
2011-02-15,19.1,19.4,19.1,19.2,3250.0
2011-02-16,18.9,19.0,18.6,18.8,4790.0
2011-02-17,18.8,18.8,18.4,18.7,9060.0
2011-02-18,18.6,18.7,18.2,18.5,14110.0
2011-02-21,17.6,17.7,17.6,17.6,68740.0
2011-02-22,17.1,17.2,16.8,17.0,22240.0
2011-02-23,17.0,17.3,16.7,17.1,22370.0
2011-02-24,16.7,17.1,16.7,16.8,17850.0
2011-02-25,16.8,17.2,16.8,16.8,7540.0
2011-02-28,17.0,17.0,16.6,16.8,8600.0
2011-03-01,16.8,16.8,16.6,16.7,19110.0
2011-03-02,16.6,16.6,15.9,15.9,60970.0
2011-03-03,16.5,16.5,15.5,15.6,12740.0
2011-03-04,15.8,15.9,15.7,15.9,18410.0
2011-03-07,15.9,15.9,15.6,15.8,34740.0
2011-03-08,15.5,15.9,15.5,15.9,26510.0
2011-03-09,15.5,16.3,15.2,15.7,32560.0
2011-03-10,15.9,16.4,15.8,16.4,21350.0
2011-03-11,17.0,17.0,16.5,16.8,39630.0
2011-03-14,16.7,16.7,16.0,16.0,34760.0
2011-03-15,15.5,16.4,15.5,16.0,18430.0
2011-03-16,16.0,16.0,15.5,15.9,23260.0
2011-03-17,16.0,16.1,15.7,15.9,34910.0
2011-03-18,16.0,16.3,15.8,16.2,43910.0
2011-03-21,16.8,17.0,16.8,17.0,48480.0
2011-03-22,16.7,16.9,16.3,16.5,40130.0
2011-03-23,16.8,16.8,16.5,16.8,13200.0
2011-03-24,16.8,17.1,16.5,17.0,26460.0
2011-03-25,16.8,16.8,16.4,16.6,23880.0
2011-03-28,16.5,16.6,16.4,16.4,22940.0
2011-03-29,16.2,16.3,15.7,15.7,70910.0
2011-03-30,15.6,15.8,15.4,15.4,28500.0
2011-03-31,15.4,16.0,15.4,15.5,24020.0
2011-04-01,15.5,15.9,15.5,15.9,860.0
2011-04-04,15.6,15.9,15.5,15.8,22930.0
2011-04-05,15.9,15.9,15.7,15.7,2010.0
2011-04-06,15.6,16.0,15.6,15.9,51550.0
2011-04-07,16.0,16.0,15.7,15.7,16370.0
2011-04-08,15.7,15.9,15.6,15.8,32340.0
2011-04-13,15.8,15.9,15.5,15.5,12110.0
2011-04-14,15.4,15.9,15.3,15.6,13930.0
2011-04-15,15.6,15.7,15.6,15.6,9280.0
2011-04-18,15.4,15.6,15.3,15.6,23210.0
2011-04-19,15.6,15.8,15.6,15.6,13170.0
2011-04-20,15.7,15.7,15.7,15.7,16800.0
2011-04-21,15.5,15.6,15.5,15.6,12210.0
2011-04-22,16.2,16.2,15.1,15.4,28680.0
2011-04-25,15.0,15.8,15.0,15.8,9390.0
2011-04-26,15.8,15.8,15.3,15.3,49760.0
2011-04-27,15.3,15.4,15.3,15.4,24890.0
2011-04-28,15.4,15.5,15.2,15.4,20630.0
2011-04-29,15.4,15.5,15.0,15.5,42630.0
2011-05-04,15.5,15.6,15.5,15.5,49600.0
2011-05-05,15.5,15.7,15.5,15.7,55980.0
2011-05-06,15.9,15.9,15.7,15.9,39500.0
2011-05-09,16.2,16.2,15.7,15.9,13920.0
2011-05-10,16.1,16.1,15.9,15.9,2000.0
2011-05-11,15.9,15.9,15.5,15.7,23550.0
2011-05-12,15.7,15.7,15.7,15.7,1620.0
2011-05-13,15.3,15.7,15.3,15.3,20980.0
2011-05-16,15.2,15.2,14.6,14.6,32140.0
2011-05-17,14.0,14.6,14.0,14.5,10810.0
2011-05-18,14.0,14.0,13.8,13.9,24340.0
2011-05-19,13.7,14.3,13.7,13.8,8130.0
2011-05-20,14.3,14.4,13.7,13.7,11060.0
2011-05-23,13.7,13.7,13.1,13.5,15370.0
2011-05-24,13.0,13.1,12.9,12.9,17210.0
2011-05-25,12.4,12.4,12.3,12.3,13380.0
2011-05-26,11.7,12.8,11.7,12.8,38950.0
2011-05-27,12.8,13.0,12.4,12.7,24770.0
2011-05-30,13.2,13.2,12.2,12.2,34010.0
2011-05-31,11.8,12.2,11.8,12.1,29380.0
2011-06-01,12.5,12.7,12.5,12.7,34160.0
2011-06-02,13.1,13.3,13.1,13.3,28010.0
2011-06-03,12.7,13.0,12.7,12.8,30940.0
2011-06-06,12.2,12.2,11.5,11.5,21270.0
2011-06-07,11.9,12.0,11.9,12.0,32860.0
2011-06-08,12.4,12.4,12.0,12.0,25250.0
2011-06-09,11.9,12.1,11.9,12.1,7260.0
2011-06-10,12.6,12.7,12.5,12.7,45250.0
2011-06-13,13.0,13.0,12.7,12.8,11400.0
2011-06-14,12.6,13.2,12.6,13.0,31870.0
2011-06-15,12.5,12.6,12.4,12.4,22340.0
2011-06-16,12.1,12.7,12.1,12.5,31150.0
2011-06-17,12.1,12.5,12.1,12.1,21480.0
2011-06-20,11.9,11.9,11.6,11.9,19110.0
2011-06-21,12.0,12.2,11.8,12.2,5020.0
2011-06-22,11.9,11.9,11.8,11.9,6050.0
