date,open,high,low,close,klgdkl
2010-01-04,25.6,25.6,25.6,25.6,33830.0
2010-01-05,26.8,26.8,26.8,26.8,82090.0
2010-01-06,27.0,28.1,26.8,28.1,742670.0
2010-01-07,29.5,29.5,28.5,29.5,422330.0
2010-01-08,30.9,30.9,28.1,28.1,496680.0
2010-01-11,29.3,29.5,27.5,29.5,564470.0
2010-01-12,29.9,30.9,28.1,28.1,639990.0
2010-01-13,28.4,29.5,26.8,29.5,447480.0
2010-01-14,30.8,30.9,29.6,30.9,414220.0
2010-01-15,31.5,32.2,30.0,31.5,408290.0
2010-01-18,30.5,30.6,30.0,30.0,153220.0
2010-01-19,28.7,29.5,28.5,28.5,581310.0
2010-01-20,28.1,28.5,27.1,27.1,289020.0
2010-01-21,26.0,27.7,25.8,25.8,398520.0
2010-01-22,26.5,26.7,25.3,25.6,379080.0
2010-01-25,26.0,26.8,25.7,26.8,144580.0
2010-01-26,28.1,28.1,28.0,28.1,117470.0
2010-01-27,28.1,28.9,26.7,26.7,300890.0
2010-01-28,25.6,26.9,25.4,26.0,85570.0
2010-01-29,26.0,26.5,25.5,26.0,111100.0
2010-02-01,26.0,26.9,25.9,26.4,111790.0
2010-02-02,26.5,26.6,26.1,26.1,63290.0
2010-02-03,25.1,26.6,25.1,26.2,103090.0
2010-02-04,26.5,27.5,26.3,27.3,226690.0
2010-02-05,27.0,27.3,26.0,26.2,92210.0
2010-02-08,26.0,26.8,26.0,26.2,96250.0
2010-02-09,26.1,26.5,26.1,26.5,169290.0
2010-02-10,26.9,26.9,26.2,26.5,97910.0
2010-02-11,26.5,27.0,26.5,26.9,85370.0
2010-02-12,27.2,27.5,26.9,27.3,68850.0
2010-02-22,27.5,28.2,27.3,28.1,166030.0
2010-02-23,27.6,28.0,27.3,27.7,221860.0
2010-02-24,27.5,28.6,27.4,28.6,188390.0
2010-02-25,28.9,30.0,28.9,29.8,935450.0
2010-02-26,29.9,31.2,29.0,31.2,519940.0
2010-03-01,32.7,32.7,32.0,32.7,338900.0
2010-03-02,33.0,34.3,32.7,33.0,662400.0
2010-03-03,33.0,33.0,31.5,33.0,320410.0
2010-03-04,33.7,33.8,32.2,32.5,249760.0
2010-03-05,32.1,34.1,32.1,34.1,246810.0
2010-03-08,35.8,35.8,35.8,35.8,200580.0
2010-03-09,36.0,37.5,36.0,37.0,328990.0
2010-03-10,36.5,37.0,36.2,36.3,294570.0
2010-03-11,37.0,38.1,37.0,38.1,526190.0
2010-03-12,38.3,38.3,37.5,37.6,183780.0
2010-03-15,37.6,37.9,36.6,37.0,283290.0
2010-03-16,36.8,37.0,35.2,35.2,663350.0
2010-03-17,36.9,36.9,35.2,36.5,341320.0
2010-03-18,36.3,36.3,34.6,35.7,131090.0
2010-03-19,35.8,36.0,35.0,35.1,235290.0
2010-03-22,35.1,36.3,34.8,36.3,241320.0
2010-03-23,36.2,38.1,36.0,37.0,310270.0
2010-03-24,37.8,38.8,37.7,38.8,270670.0
2010-03-25,38.8,40.7,38.0,40.5,752810.0
2010-03-26,40.5,40.6,38.5,39.0,213740.0
2010-03-29,38.8,40.0,38.6,39.0,269130.0
2010-03-30,38.9,39.5,37.2,37.6,201420.0
2010-03-31,37.3,38.0,36.3,36.3,313240.0
2010-04-01,36.0,37.3,35.6,36.2,126570.0
2010-04-02,37.0,38.0,36.2,38.0,306070.0
2010-04-05,39.3,39.3,38.0,38.4,243450.0
2010-04-06,38.0,40.3,38.0,39.7,707050.0
2010-04-07,40.0,41.3,39.5,40.0,230980.0
2010-04-08,40.0,40.5,39.0,39.1,176300.0
2010-04-09,39.6,39.6,38.3,38.3,121260.0
2010-04-12,38.4,38.5,37.6,37.9,197120.0
2010-04-13,37.9,38.5,37.3,37.3,162420.0
2010-04-14,37.2,38.2,37.2,37.3,201700.0
2010-04-15,38.1,39.1,37.5,39.1,214490.0
2010-04-16,39.5,40.0,39.0,39.0,229110.0
2010-04-19,38.9,38.9,38.0,38.3,98280.0
2010-04-20,38.3,38.6,37.5,37.5,122030.0
2010-04-21,37.5,38.8,37.5,38.0,90970.0
2010-04-22,38.9,38.9,37.8,38.0,199810.0
2010-04-26,37.3,37.8,36.5,36.7,235180.0
2010-04-27,36.7,37.5,36.7,37.0,135890.0
2010-04-28,37.0,37.1,36.6,37.0,51180.0
2010-04-29,36.8,36.9,36.5,36.5,208440.0
2010-05-04,37.0,37.0,36.6,37.0,138480.0
2010-05-05,37.0,37.3,36.8,36.8,193020.0
2010-05-06,37.4,37.4,36.8,37.3,240880.0
2010-05-07,36.5,36.5,35.7,36.2,124300.0
2010-05-10,36.6,36.6,35.5,35.6,86670.0
2010-05-11,36.5,36.5,35.6,36.0,135140.0
2010-05-12,35.2,36.0,34.2,34.6,132950.0
2010-05-13,35.6,35.6,33.5,34.6,76380.0
2010-05-14,34.0,35.0,34.0,34.3,50610.0
2010-05-17,35.0,35.0,33.1,33.5,102980.0
2010-05-18,32.8,33.5,32.7,33.5,77900.0
2010-05-19,33.0,33.0,31.9,31.9,107710.0
2010-05-20,30.5,32.1,30.4,32.1,121620.0
2010-05-21,30.5,30.5,30.5,30.5,58570.0
2010-05-24,29.8,31.0,29.0,30.0,149330.0
2010-05-25,30.0,30.0,29.0,29.0,100420.0
2010-05-26,30.0,30.4,29.7,30.4,201780.0
2010-05-27,31.0,31.5,30.1,31.5,112050.0
2010-05-28,32.5,33.0,32.3,33.0,119200.0
2010-05-31,33.0,33.0,32.0,32.5,70070.0
2010-06-01,32.5,33.0,31.2,32.8,87590.0
2010-06-02,32.0,33.6,31.8,33.1,111070.0
2010-06-03,34.5,34.7,33.5,34.7,442610.0
2010-06-04,34.7,34.7,33.2,33.5,69610.0
2010-06-07,32.1,32.5,31.9,31.9,127000.0
2010-06-08,31.9,32.0,31.2,31.4,55250.0
2010-06-09,31.8,31.8,30.1,30.5,155380.0
2010-06-10,30.5,31.5,30.2,30.8,82640.0
2010-06-11,31.8,31.9,31.2,31.5,56180.0
2010-06-14,31.5,32.1,31.3,31.5,31600.0
2010-06-15,31.5,31.5,30.7,31.0,110730.0
2010-06-16,31.4,32.5,31.4,32.5,219310.0
2010-06-17,32.0,33.5,32.0,32.6,101360.0
2010-06-18,32.4,33.0,32.4,32.7,114770.0
2010-06-21,32.7,33.5,32.7,33.5,80430.0
2010-06-22,33.1,33.4,32.5,32.5,160820.0
2010-06-23,31.7,33.0,31.7,31.8,53060.0
2010-06-24,32.0,32.6,32.0,32.2,67590.0
2010-06-25,31.8,32.1,31.5,31.5,66770.0
2010-06-28,32.0,32.0,30.1,31.9,97170.0
2010-06-29,31.6,32.2,31.5,31.5,45530.0
2010-06-30,30.7,31.4,30.7,31.0,63490.0
2010-07-01,30.6,31.2,30.6,31.1,62350.0
2010-07-02,31.0,31.8,31.0,31.2,32160.0
2010-07-05,31.4,31.4,31.0,31.0,25270.0
2010-07-06,30.6,31.5,30.6,30.7,85390.0
2010-07-07,30.9,31.0,30.0,30.0,39540.0
2010-07-08,31.0,31.0,30.0,30.3,54570.0
2010-07-09,30.1,30.4,30.1,30.1,66180.0
2010-07-12,30.2,30.3,30.2,30.3,36330.0
2010-07-13,31.5,31.7,31.0,31.2,56400.0
