date,open,high,low,close,klgdkl
2017-05-26,12.8,16.9,12.8,15.5,4343680.0
2017-05-29,16.0,16.0,14.5,14.5,207850.0
2017-05-30,14.2,15.5,14.2,15.5,431520.0
2017-05-31,15.5,16.0,15.5,15.8,217970.0
2017-06-01,15.85,16.3,15.8,15.8,145790.0
2017-06-02,15.3,15.7,15.1,15.3,106380.0
2017-06-05,15.0,15.8,14.5,15.1,323430.0
2017-06-06,15.1,15.35,15.0,15.1,185100.0
2017-06-07,15.5,15.5,15.1,15.1,131010.0
2017-06-08,15.2,15.4,15.0,15.2,202290.0
2017-06-09,15.6,16.25,15.15,16.25,442270.0
2017-06-12,17.1,17.1,16.25,16.8,247680.0
2017-06-13,17.7,17.7,16.6,16.8,165320.0
2017-06-14,16.5,16.9,16.5,16.8,275460.0
2017-06-15,16.8,17.1,16.0,16.8,503990.0
2017-06-16,16.6,17.2,16.55,17.2,194300.0
2017-06-19,16.8,17.0,16.7,16.7,62890.0
2017-06-20,16.6,16.8,16.5,16.7,124660.0
2017-06-21,16.8,17.0,16.7,16.8,79650.0
2017-06-22,17.1,17.95,17.1,17.8,237730.0
2017-06-23,17.65,17.9,17.65,17.8,144270.0
2017-06-26,17.05,18.0,17.05,17.7,212320.0
2017-06-27,17.6,18.2,17.5,17.7,251940.0
2017-06-28,17.7,18.2,17.5,18.0,244480.0
2017-06-29,18.0,18.1,17.6,17.95,145810.0
2017-06-30,17.95,17.95,17.6,17.95,70220.0
2017-07-03,17.75,18.2,17.7,17.95,191870.0
2017-07-04,17.7,18.0,17.65,17.65,140600.0
2017-07-05,17.5,17.8,16.4,17.65,238610.0
2017-07-06,17.4,18.5,17.4,17.8,184470.0
2017-07-07,17.6,18.0,17.5,17.7,56910.0
2017-07-10,17.7,17.7,16.95,17.5,143180.0
2017-07-11,17.2,17.4,16.9,17.3,115030.0
2017-07-12,17.2,17.5,16.8,17.4,344820.0
2017-07-13,17.4,17.5,16.95,17.4,235920.0
2017-07-14,17.4,17.4,16.85,16.85,183620.0
2017-07-17,16.85,16.9,16.5,16.8,243970.0
2017-07-18,16.8,16.85,16.4,16.7,129150.0
2017-07-19,16.7,16.9,16.4,16.8,153530.0
2017-07-20,16.5,16.95,16.4,16.8,124950.0
2017-07-21,16.5,16.85,16.1,16.65,65060.0
2017-07-24,16.2,16.65,15.6,16.65,130450.0
2017-07-25,16.65,16.65,16.05,16.4,77200.0
2017-07-26,16.4,16.7,16.0,16.5,139690.0
2017-07-27,16.5,16.7,16.0,16.5,124780.0
2017-07-28,16.5,16.5,15.9,16.3,70250.0
2017-07-31,16.0,16.35,15.8,16.35,159740.0
2017-08-01,16.5,16.8,16.35,16.45,187260.0
2017-08-02,16.3,16.45,16.0,16.3,115820.0
2017-08-03,16.3,16.4,16.2,16.3,205020.0
2017-08-04,16.3,16.75,16.2,16.35,156120.0
2017-08-07,16.1,16.4,15.9,15.9,136710.0
2017-08-08,16.0,16.0,15.6,15.7,116440.0
2017-08-09,15.6,15.8,15.5,15.7,78190.0
2017-08-10,15.5,15.75,15.5,15.7,67230.0
2017-08-11,15.5,16.0,15.3,15.7,269580.0
2017-08-14,15.7,15.7,15.5,15.6,133400.0
2017-08-15,15.6,15.6,15.3,15.6,113600.0
2017-08-16,15.5,15.6,15.4,15.6,111600.0
2017-08-17,15.6,15.6,15.4,15.5,165200.0
2017-08-18,15.5,15.5,15.3,15.5,33300.0
2017-08-21,15.5,16.0,15.4,15.9,210820.0
2017-08-22,15.5,15.9,15.5,15.9,52600.0
2017-08-23,15.9,16.0,15.8,15.95,59110.0
2017-08-24,15.9,16.0,15.6,16.0,45270.0
2017-08-25,15.7,16.2,15.7,16.0,53920.0
2017-08-28,15.8,16.2,15.8,16.1,159220.0
2017-08-29,15.75,16.2,15.75,16.2,200860.0
2017-08-30,16.5,16.5,15.9,16.0,66470.0
2017-08-31,16.0,16.5,15.95,16.5,540540.0
2017-09-01,16.1,17.65,16.1,17.65,326400.0
2017-09-05,18.0,18.8,17.8,18.7,331550.0
2017-09-06,18.65,18.7,18.0,18.25,221100.0
2017-09-07,17.7,18.6,17.7,18.6,303450.0
2017-09-08,18.6,18.6,18.0,18.6,160350.0
2017-09-11,18.3,18.6,18.1,18.3,140070.0
2017-09-12,17.95,18.5,17.9,18.5,201290.0
2017-09-13,18.3,18.85,18.3,18.85,244930.0
2017-09-14,18.85,19.0,18.75,19.0,151930.0
2017-09-15,18.9,19.0,18.7,19.0,103200.0
2017-09-18,19.0,19.7,18.9,19.6,195420.0
2017-09-19,19.6,19.6,19.0,19.4,140570.0
2017-09-20,19.4,19.5,19.0,19.15,178270.0
2017-09-21,19.1,19.25,18.75,18.8,168340.0
2017-09-22,18.6,19.1,18.6,18.95,188530.0
2017-09-25,19.0,19.4,18.8,19.1,173910.0
2017-09-26,19.1,19.4,18.7,19.2,171250.0
2017-09-27,19.1,19.25,18.8,19.25,130720.0
2017-09-28,19.25,19.4,18.95,19.0,124140.0
2017-09-29,18.9,19.2,18.8,19.05,191910.0
2017-10-02,19.05,19.1,18.2,18.2,109090.0
2017-10-03,18.15,18.5,17.95,18.45,122690.0
2017-10-04,18.4,18.7,18.4,18.6,102630.0
2017-10-05,18.6,19.0,18.6,18.8,112380.0
2017-10-06,18.7,19.0,18.7,18.9,105100.0
2017-10-09,18.8,19.1,18.8,18.95,141260.0
2017-10-10,19.0,19.0,18.5,18.7,149310.0
2017-10-11,18.6,18.9,18.6,18.6,124800.0
2017-10-12,18.5,18.7,18.4,18.5,107470.0
2017-10-13,18.4,18.6,18.35,18.45,90880.0
2017-10-16,18.45,18.5,18.3,18.45,52260.0
2017-10-17,18.45,18.45,18.0,18.2,64310.0
2017-10-18,18.2,18.2,17.8,18.0,48320.0
2017-10-19,18.0,18.1,17.5,18.0,45410.0
2017-10-20,18.0,18.4,17.9,18.0,45890.0
2017-10-23,17.9,18.3,17.2,17.9,217740.0
2017-10-24,17.9,18.0,17.5,17.7,41020.0
2017-10-25,17.7,17.8,17.5,17.5,39250.0
2017-10-26,17.5,17.65,17.3,17.4,35960.0
2017-10-27,17.4,17.45,16.7,17.1,27720.0
2017-10-30,17.1,17.3,16.8,16.8,65450.0
2017-10-31,16.8,16.9,16.5,16.8,10960.0
2017-11-01,16.8,16.9,16.8,16.8,2670.0
2017-11-02,16.7,16.9,16.4,16.9,6730.0
2017-11-03,16.9,18.0,16.9,18.0,48560.0
2017-11-06,18.0,18.1,17.7,17.8,14310.0
2017-11-07,17.7,17.9,17.4,17.8,106540.0
2017-11-08,17.8,18.0,17.6,17.9,100730.0
2017-11-09,17.8,17.9,17.6,17.6,103280.0
2017-11-10,17.5,17.6,16.9,17.6,100030.0
2017-11-13,17.5,17.5,16.5,17.0,112400.0
2017-11-14,17.0,17.4,17.0,17.4,2350.0
2017-11-15,17.2,17.6,17.1,17.2,11690.0
2017-11-16,17.2,17.4,16.9,17.3,4400.0
2017-11-17,17.2,17.4,17.2,17.4,24060.0
2017-11-20,17.4,17.6,17.0,17.5,198630.0
2017-11-21,17.4,17.6,17.1,17.5,61210.0
2017-11-22,17.5,17.5,17.3,17.4,26240.0
2017-11-23,17.4,17.5,17.2,17.4,19490.0
2017-11-24,17.4,17.4,17.0,17.0,73070.0
2017-11-27,17.0,17.4,17.0,17.4,25850.0
2017-11-28,17.4,17.6,17.2,17.5,26560.0
2017-11-29,17.5,17.5,17.2,17.4,42440.0
2017-11-30,17.4,17.4,17.0,17.35,36180.0
2017-12-01,17.35,17.4,17.2,17.3,36750.0
2017-12-04,17.3,17.4,16.7,17.2,45230.0
2017-12-05,17.2,17.25,17.0,17.2,35220.0
2017-12-06,17.2,17.3,17.0,17.2,34780.0
2017-12-07,17.2,17.2,17.0,17.2,59630.0
2017-12-08,17.2,17.2,16.5,17.1,38710.0
2017-12-11,17.1,17.2,16.95,17.0,61100.0
2017-12-12,17.0,17.1,16.8,17.0,35590.0
2017-12-13,17.0,17.3,16.9,17.1,55320.0
2017-12-14,17.1,17.4,17.1,17.4,46310.0
2017-12-15,17.5,17.7,17.25,17.45,35750.0
2017-12-18,17.45,18.3,17.3,18.3,106960.0
2017-12-19,18.3,18.7,18.0,18.3,70070.0
2017-12-20,18.3,18.4,17.9,18.1,53620.0
2017-12-21,18.1,18.3,17.6,18.0,42170.0
2017-12-22,18.0,18.3,18.0,18.0,42350.0
2017-12-25,18.0,18.3,17.8,18.0,38630.0
2017-12-26,18.0,18.1,17.7,17.7,39620.0
2017-12-27,17.7,17.9,17.6,17.7,49370.0
2017-12-28,17.7,17.8,17.4,17.7,40850.0
2017-12-29,17.7,17.8,17.6,17.7,35250.0
2018-01-02,17.7,17.7,17.3,17.5,44560.0
2018-01-03,17.5,17.7,17.5,17.7,31650.0
2018-01-04,17.7,18.0,17.5,17.7,31650.0
2018-01-05,17.7,17.7,17.1,17.7,38860.0
2018-01-08,17.7,17.8,17.5,17.8,63570.0
2018-01-09,17.8,17.8,17.6,17.75,38760.0
2018-01-10,17.75,17.75,17.5,17.7,51940.0
2018-01-11,17.7,17.9,17.5,17.75,53260.0
2018-01-12,17.75,17.8,17.3,17.4,41080.0
2018-01-15,17.3,17.4,17.2,17.4,41260.0
2018-01-16,17.4,17.5,17.1,17.4,41930.0
2018-01-17,17.4,17.4,17.1,17.35,39240.0
2018-01-18,17.35,17.35,17.1,17.35,50070.0
2018-01-19,17.35,17.5,16.9,17.35,77950.0
2018-01-22,17.35,17.35,17.0,17.1,46690.0
2018-01-25,17.1,17.3,16.3,17.0,72030.0
2018-01-26,16.9,17.0,16.0,17.0,30670.0
2018-01-29,16.7,16.85,16.0,16.85,72860.0
2018-01-30,16.6,16.6,16.2,16.5,20740.0
2018-01-31,16.5,16.7,16.5,16.6,14620.0
2018-02-01,16.0,16.6,16.0,16.5,5060.0
2018-02-02,16.5,16.6,16.4,16.5,10630.0
2018-02-05,17.0,17.0,15.95,16.5,5830.0
2018-02-06,16.5,17.0,15.35,16.5,166270.0
2018-02-07,17.0,17.0,16.0,16.55,134190.0
2018-02-08,16.9,16.9,16.2,16.7,8670.0
2018-02-09,16.7,17.0,15.55,17.0,21110.0
2018-02-12,17.1,17.1,16.9,17.1,6280.0
2018-02-13,17.5,17.5,16.5,17.2,41650.0
2018-02-21,17.5,17.5,16.5,17.2,105880.0
2018-02-22,17.4,17.4,17.3,17.3,2730.0
2018-02-23,17.3,17.3,16.6,17.0,29790.0
2018-02-26,17.0,17.0,16.8,17.0,8280.0
2018-02-27,16.8,16.8,16.0,16.8,46230.0
