date,open,high,low,close,klgdkl
2016-10-05,18.0,18.0,18.0,18.0,205890.0
2016-10-06,19.25,19.25,19.25,19.25,14250.0
2016-10-07,20.55,20.55,20.55,20.55,30910.0
2016-10-10,21.95,21.95,21.95,21.95,450360.0
2016-10-11,23.45,23.45,23.45,23.45,799790.0
2016-10-12,25.05,25.05,25.05,25.05,1130610.0
2016-10-13,26.8,26.8,26.75,26.8,3145880.0
2016-10-14,28.5,28.65,28.0,28.65,2242380.0
2016-10-17,30.6,30.65,30.4,30.65,1428260.0
2016-10-18,32.75,32.75,32.7,32.75,1439460.0
2016-10-19,34.95,34.95,30.5,30.5,1389260.0
2016-10-20,28.4,28.4,28.4,28.4,805310.0
2016-10-21,26.45,29.55,26.45,29.0,3892820.0
2016-10-24,29.1,29.85,29.05,29.65,1239320.0
2016-10-25,29.75,30.6,27.9,28.45,1387380.0
2016-10-26,27.0,28.5,26.55,28.5,2192960.0
2016-10-27,28.65,29.85,28.65,29.8,1137290.0
2016-10-28,28.1,30.4,28.1,30.2,1771130.0
2016-10-31,28.3,29.85,28.1,28.3,557560.0
2016-11-01,26.7,28.8,26.35,28.3,941280.0
2016-11-02,28.35,28.35,26.35,26.35,733570.0
2016-11-03,24.55,25.4,24.55,24.55,280160.0
2016-11-04,22.85,23.95,22.85,23.7,1020320.0
2016-11-07,23.0,24.0,22.05,22.05,179850.0
2016-11-08,20.55,23.55,20.55,23.55,1175430.0
2016-11-09,23.65,24.55,22.5,23.85,1376620.0
2016-11-10,23.95,25.5,23.9,23.9,617110.0
2016-11-11,22.5,23.9,22.25,22.25,610960.0
2016-11-14,22.0,22.1,21.0,21.85,910960.0
2016-11-15,21.9,22.35,21.9,22.3,717210.0
2016-11-16,22.4,22.95,22.4,22.6,1183670.0
2016-11-17,22.0,22.6,22.0,22.3,775880.0
2016-11-18,22.4,23.45,22.4,23.3,1545900.0
2016-11-21,23.5,24.8,23.35,23.35,265960.0
