date,open,high,low,close,klgdkl
2010-01-04,18.6,18.9,18.4,18.9,784710.0
2010-01-05,19.6,19.8,18.9,19.1,1402810.0
2010-01-06,18.7,19.5,18.5,18.7,893380.0
2010-01-07,18.5,19.6,18.5,19.5,1672960.0
2010-01-08,20.0,20.0,18.6,18.6,927090.0
2010-01-11,18.7,18.9,18.0,18.4,465800.0
2010-01-12,18.3,18.6,17.5,17.5,626530.0
2010-01-13,17.1,18.3,16.7,18.3,1291580.0
2010-01-14,18.3,18.6,17.7,17.7,320940.0
2010-01-15,17.5,17.7,17.0,17.2,383900.0
2010-01-18,16.7,17.1,16.4,16.4,506450.0
2010-01-19,16.4,16.8,16.2,16.5,364090.0
2010-01-20,17.0,17.0,16.3,16.6,522110.0
2010-01-21,16.3,16.7,15.8,15.8,461160.0
2010-01-22,15.6,16.0,15.5,15.8,372350.0
2010-01-25,15.8,16.1,15.7,15.9,150480.0
2010-01-26,16.3,16.6,16.3,16.6,368550.0
2010-01-27,16.0,16.6,15.9,15.9,264060.0
2010-01-28,16.0,16.2,15.5,15.6,214400.0
2010-01-29,15.7,16.0,15.4,15.6,201350.0
2010-02-01,15.6,16.0,15.6,15.9,139940.0
2010-02-02,16.0,16.1,15.6,15.7,106830.0
2010-02-03,15.6,15.8,15.5,15.5,221610.0
2010-02-04,15.3,16.0,15.3,15.7,334160.0
2010-02-05,15.5,15.7,15.3,15.6,303890.0
2010-02-08,15.3,15.6,15.3,15.5,89680.0
2010-02-09,15.9,15.9,15.3,15.4,174680.0
2010-02-10,15.4,15.7,15.4,15.5,91060.0
2010-02-11,15.5,15.6,15.4,15.6,185500.0
2010-02-12,15.8,16.2,15.7,16.2,152960.0
2010-02-22,16.2,16.2,16.0,16.1,172980.0
2010-02-23,15.7,15.8,15.4,15.4,105750.0
2010-02-24,15.2,15.5,15.2,15.4,97510.0
2010-02-25,15.5,15.7,15.4,15.4,244360.0
2010-02-26,15.4,15.5,15.2,15.4,125220.0
2010-03-01,15.7,15.8,15.5,15.8,269780.0
2010-03-02,15.8,16.2,15.6,15.9,368660.0
2010-03-03,16.0,16.3,15.9,16.3,481730.0
2010-03-04,16.7,17.0,16.4,16.4,484070.0
2010-03-05,16.4,16.7,16.3,16.6,318540.0
2010-03-08,16.9,17.4,16.8,17.4,1111350.0
2010-03-09,17.3,18.0,17.2,17.5,415640.0
2010-03-10,17.0,17.5,17.0,17.0,396140.0
2010-03-11,17.1,17.1,16.7,16.9,383290.0
2010-03-12,16.9,17.0,16.6,16.9,426930.0
2010-03-15,17.2,17.2,16.9,17.0,557190.0
2010-03-16,17.0,17.0,16.3,16.3,577700.0
2010-03-17,16.3,16.6,16.0,16.0,301800.0
2010-03-18,16.0,16.4,16.0,16.3,303730.0
2010-03-19,16.3,16.5,16.2,16.2,243970.0
2010-03-22,16.1,16.2,15.9,16.0,199340.0
2010-03-23,16.0,16.4,15.7,15.7,380470.0
2010-03-24,15.9,16.2,15.7,16.2,395240.0
2010-03-25,16.2,16.2,15.6,15.9,336330.0
2010-03-26,15.7,15.9,15.5,15.9,343360.0
2010-03-29,15.7,15.9,15.7,15.7,270240.0
2010-03-30,15.6,16.4,15.4,16.3,877480.0
2010-03-31,16.2,16.3,15.8,15.8,297150.0
2010-04-01,15.8,16.2,15.7,16.2,187680.0
2010-04-02,16.2,16.2,15.8,16.1,212530.0
2010-04-05,16.2,16.3,15.8,16.0,386410.0
2010-04-06,16.3,16.5,16.1,16.1,647180.0
2010-04-07,16.2,16.5,16.0,16.4,483240.0
2010-04-08,16.6,17.1,16.5,17.1,1182080.0
2010-04-09,17.2,17.2,16.7,16.7,383020.0
2010-04-12,16.7,16.9,16.4,16.4,238540.0
2010-04-13,16.4,16.5,16.0,16.1,476690.0
