date,open,high,low,close,klgdkl
2010-01-04,8.9,9.1,8.7,9.1,37320.0
2010-01-05,9.5,9.5,9.1,9.2,21820.0
2010-01-06,9.2,9.3,8.9,8.9,9390.0
2010-01-07,9.0,9.0,8.9,9.0,26600.0
2010-01-08,9.0,9.3,8.8,8.8,32730.0
2010-01-11,8.7,9.0,8.7,8.8,33030.0
2010-01-12,8.8,8.9,8.8,8.8,14390.0
2010-01-13,8.8,8.8,8.6,8.7,11530.0
2010-01-14,8.7,8.8,8.7,8.8,24160.0
2010-01-15,8.8,8.8,8.7,8.7,4460.0
2010-01-18,8.9,8.9,8.3,8.3,23720.0
2010-01-19,8.3,8.7,8.3,8.7,6470.0
2010-01-20,8.7,9.0,8.3,8.4,23030.0
2010-01-21,8.4,8.4,8.1,8.2,5380.0
2010-01-22,8.1,8.2,8.1,8.2,13740.0
2010-01-25,8.2,8.3,8.2,8.3,17200.0
2010-01-26,8.2,8.7,8.2,8.6,8390.0
2010-01-27,8.4,8.6,8.2,8.3,26750.0
2010-01-28,8.3,8.5,8.0,8.3,24560.0
2010-01-29,8.6,8.6,8.2,8.2,9440.0
2010-02-01,8.2,8.3,8.1,8.3,3430.0
2010-02-02,8.4,8.4,8.2,8.3,7060.0
2010-02-03,8.3,8.4,8.2,8.4,8080.0
2010-02-04,8.2,8.5,8.2,8.5,13390.0
2010-02-05,8.3,8.5,8.2,8.3,7020.0
2010-02-08,8.2,8.3,8.2,8.2,3740.0
2010-02-09,8.2,8.3,8.2,8.2,17770.0
2010-02-10,8.2,8.4,8.2,8.3,3920.0
2010-02-11,8.3,8.6,8.3,8.6,9120.0
2010-02-12,8.5,8.6,8.5,8.5,8430.0
2010-02-22,8.7,8.7,8.5,8.6,2410.0
2010-02-23,8.3,8.3,8.2,8.2,6480.0
2010-02-24,8.2,8.4,8.1,8.3,1520.0
2010-02-25,8.4,8.4,8.2,8.3,670.0
2010-02-26,8.4,8.4,8.2,8.3,2830.0
2010-03-01,8.3,8.4,8.2,8.3,21500.0
2010-03-02,8.3,8.3,8.1,8.3,32520.0
2010-03-03,8.3,8.3,8.2,8.3,15920.0
2010-03-04,8.4,8.5,8.3,8.4,10840.0
2010-03-05,8.3,8.6,8.3,8.4,25090.0
2010-03-08,8.6,8.8,8.5,8.8,57160.0
2010-03-09,8.9,9.1,8.8,8.8,44660.0
2010-03-10,9.0,9.0,8.7,8.8,11280.0
2010-03-11,9.0,9.0,8.9,8.9,9780.0
2010-03-12,9.1,9.3,9.0,9.3,82900.0
2010-03-15,9.5,9.7,9.4,9.5,60060.0
2010-03-16,9.5,9.5,9.1,9.2,47460.0
2010-03-17,9.1,9.2,8.9,9.2,19960.0
2010-03-18,9.0,9.2,8.8,9.2,12490.0
2010-03-19,9.0,9.2,8.9,8.9,39060.0
2010-03-22,8.7,9.0,8.7,8.8,7980.0
2010-03-23,8.7,9.0,8.7,8.7,16720.0
2010-03-24,8.7,9.0,8.7,9.0,6070.0
2010-03-25,9.4,9.4,9.1,9.1,107800.0
2010-03-26,9.1,9.3,9.0,9.2,58990.0
2010-03-29,9.1,9.2,9.0,9.0,27640.0
2010-03-30,9.0,9.2,9.0,9.0,14590.0
2010-03-31,9.0,9.2,9.0,9.0,18040.0
2010-04-01,9.0,9.1,8.9,9.1,20150.0
2010-04-02,9.0,9.2,9.0,9.1,8120.0
2010-04-05,9.1,9.2,9.0,9.0,13560.0
2010-04-06,9.2,9.2,9.0,9.0,38890.0
2010-04-07,9.2,9.2,9.1,9.2,28960.0
2010-04-08,9.4,9.4,9.3,9.4,49190.0
2010-04-09,9.7,9.7,9.5,9.6,26070.0
2010-04-12,9.6,9.6,9.6,9.6,30420.0
2010-04-13,9.5,9.5,9.4,9.5,25910.0
2010-04-14,9.4,9.5,9.4,9.4,9800.0
2010-04-15,9.4,9.5,9.3,9.3,29100.0
2010-04-16,9.3,9.5,9.3,9.4,18050.0
2010-04-19,9.4,9.4,9.3,9.4,16860.0
2010-04-20,9.3,9.5,9.3,9.3,34520.0
2010-04-21,9.7,9.7,9.6,9.7,103430.0
2010-04-22,10.1,10.1,9.9,9.9,97580.0
2010-04-26,9.8,10.0,9.8,9.9,33940.0
2010-04-27,9.6,9.9,9.5,9.6,31450.0
2010-04-28,9.6,9.6,9.3,9.4,44700.0
2010-04-29,9.4,9.8,9.4,9.8,37720.0
2010-05-04,10.0,10.2,10.0,10.2,126760.0
2010-05-05,10.4,10.7,10.2,10.6,149130.0
2010-05-06,11.1,11.1,11.0,11.1,105410.0
2010-05-07,11.0,11.0,10.6,10.8,83390.0
2010-05-10,10.6,10.7,10.3,10.4,70770.0
2010-05-11,10.7,10.8,10.3,10.3,61590.0
2010-05-12,10.2,10.2,9.8,9.8,64290.0
2010-05-13,9.8,10.0,9.7,10.0,48830.0
2010-05-14,9.7,10.0,9.7,9.8,8660.0
2010-05-17,9.7,9.7,9.5,9.5,28580.0
2010-05-18,9.5,9.7,9.5,9.6,19730.0
2010-05-19,9.7,9.7,9.2,9.2,23080.0
2010-05-20,8.8,9.2,8.8,9.0,21370.0
2010-05-21,8.6,8.8,8.6,8.6,39250.0
2010-05-24,8.6,8.8,8.5,8.6,23050.0
2010-05-25,8.8,9.0,8.6,9.0,19090.0
2010-05-26,8.9,9.2,8.9,9.1,18640.0
2010-05-27,9.1,9.2,8.9,9.0,22290.0
2010-05-28,9.2,9.4,9.0,9.4,29840.0
2010-05-31,9.0,9.1,9.0,9.0,94300.0
2010-06-01,8.8,9.0,8.7,8.9,15970.0
2010-06-02,8.8,9.1,8.6,9.1,12290.0
2010-06-03,9.1,9.3,8.8,9.0,4540.0
2010-06-04,9.1,9.1,8.9,9.0,22970.0
2010-06-07,8.9,9.0,8.9,9.0,48330.0
2010-06-08,9.0,9.3,9.0,9.1,26120.0
2010-06-09,9.5,9.5,9.5,9.5,112150.0
2010-06-10,9.7,9.9,9.6,9.7,87810.0
2010-06-11,9.7,9.7,9.5,9.7,65020.0
2010-06-14,9.7,9.9,9.4,9.9,116010.0
2010-06-15,9.9,9.9,9.6,9.7,30790.0
2010-06-16,9.2,9.2,8.9,9.0,48590.0
2010-06-17,9.0,9.2,9.0,9.0,12690.0
2010-06-18,9.0,9.0,8.9,9.0,11210.0
2010-06-21,9.1,9.1,8.8,9.1,18400.0
2010-06-22,9.0,9.1,8.9,8.9,19610.0
2010-06-23,8.9,9.0,8.9,8.9,13560.0
2010-06-24,8.9,9.0,8.9,8.9,38310.0
2010-06-25,9.0,9.0,8.8,8.8,12420.0
2010-06-28,8.8,9.0,8.8,9.0,17190.0
2010-06-29,9.1,9.2,9.0,9.1,50970.0
2010-06-30,8.9,9.2,8.9,9.2,29040.0
2010-07-01,9.0,9.2,9.0,9.1,16660.0
2010-07-02,9.2,9.2,9.1,9.2,42820.0
2010-07-05,9.2,9.3,9.1,9.2,39930.0
2010-07-06,9.2,9.2,9.1,9.1,48660.0
2010-07-07,9.2,9.3,9.2,9.3,47500.0
2010-07-08,9.4,9.5,9.4,9.4,50910.0
2010-07-09,9.4,9.4,9.2,9.3,22960.0
2010-07-12,9.2,9.3,9.1,9.1,14840.0
2010-07-13,9.1,9.3,9.1,9.1,11590.0
2010-07-14,9.3,9.3,9.1,9.2,38990.0
2010-07-15,9.2,9.3,9.0,9.0,20080.0
2010-07-16,9.1,9.3,9.0,9.0,49660.0
2010-07-19,9.0,9.1,8.9,9.0,6440.0
2010-07-20,9.0,9.1,9.0,9.0,12420.0
2010-07-21,9.0,9.4,9.0,9.3,47500.0
2010-07-22,9.3,9.3,9.0,9.1,21830.0
2010-07-23,9.2,9.2,9.1,9.1,11820.0
2010-07-26,9.1,9.1,9.0,9.0,9470.0
2010-07-27,9.0,9.0,8.9,8.9,11240.0
2010-07-28,8.9,8.9,8.7,8.8,12610.0
2010-07-29,8.8,8.8,8.7,8.8,32730.0
2010-07-30,9.2,9.2,9.2,9.2,157910.0
2010-08-02,9.4,9.5,9.1,9.1,87310.0
2010-08-03,9.1,9.2,9.1,9.2,16600.0
2010-08-04,9.0,9.1,8.9,9.1,17280.0
2010-08-05,9.1,9.1,8.8,8.9,52200.0
2010-08-06,9.0,9.0,8.8,8.8,28970.0
2010-08-09,8.8,8.8,8.5,8.7,31080.0
2010-08-10,8.7,8.7,8.3,8.3,46830.0
2010-08-11,8.3,8.7,8.3,8.5,11910.0
2010-08-12,8.5,8.5,8.1,8.1,38450.0
2010-08-13,8.1,8.5,8.1,8.5,24410.0
2010-08-16,8.7,8.8,8.6,8.8,36290.0
2010-08-17,8.5,8.8,8.5,8.6,4140.0
2010-08-18,8.6,8.6,8.4,8.4,6150.0
2010-08-19,8.5,8.5,8.3,8.4,20650.0
2010-08-20,8.5,8.5,8.1,8.3,17410.0
2010-08-23,8.3,8.6,8.3,8.4,15450.0
2010-08-24,8.1,8.2,8.0,8.0,45590.0
2010-08-25,8.0,8.0,7.6,7.7,28110.0
2010-08-26,8.0,8.0,7.9,8.0,31990.0
2010-08-27,8.2,8.2,7.9,8.0,12860.0
2010-08-30,8.4,8.4,8.2,8.4,26490.0
