date,open,high,low,close,klgdkl
2017-06-15,14.4,14.4,14.4,14.4,1541000.0
2017-06-16,15.4,15.4,15.4,15.4,708060.0
2017-06-19,16.0,16.0,14.35,14.35,335190.0
2017-06-20,13.35,13.35,13.35,13.35,35140.0
2017-06-21,12.45,12.45,12.45,12.45,2000.0
2017-06-22,11.6,11.6,11.6,11.6,6040.0
2017-06-23,10.8,10.8,10.8,10.8,1424080.0
2017-06-26,10.05,11.45,10.05,11.45,1471710.0
2017-06-27,11.45,11.7,10.65,10.65,1287780.0
2017-06-28,9.92,10.45,9.91,10.4,1799430.0
2017-06-29,10.4,11.0,10.35,10.95,677090.0
2017-06-30,10.7,10.8,10.45,10.55,635570.0
2017-07-03,10.5,10.5,10.25,10.3,432240.0
2017-07-04,10.3,10.6,10.0,10.3,695380.0
2017-07-05,10.3,10.5,10.0,10.25,801770.0
2017-07-06,10.25,10.3,10.0,10.05,510330.0
2017-07-07,10.05,10.25,9.95,10.05,459380.0
2017-07-10,10.05,10.1,10.0,10.1,404120.0
2017-07-11,10.1,10.2,10.0,10.15,345780.0
2017-07-12,10.1,10.15,10.05,10.05,407930.0
2017-07-13,10.0,10.6,10.0,10.5,1246500.0
2017-07-14,9.77,11.0,9.77,10.2,909290.0
2017-07-17,10.2,10.25,10.15,10.2,308780.0
2017-07-18,10.2,10.75,10.05,10.7,1787570.0
2017-07-19,10.7,10.75,10.6,10.65,161780.0
2017-07-20,10.65,10.65,10.6,10.6,202500.0
2017-07-21,10.55,10.65,10.55,10.6,384580.0
2017-07-24,10.6,10.6,10.5,10.55,142820.0
2017-07-25,10.55,10.6,10.5,10.55,130640.0
2017-07-26,10.55,10.55,10.2,10.25,160350.0
2017-07-27,10.25,10.25,9.6,9.6,109940.0
2017-07-28,9.0,10.25,8.93,8.94,119550.0
2017-07-31,9.55,9.56,9.0,9.3,237500.0
2017-08-01,9.95,9.95,9.0,9.95,247910.0
2017-08-02,10.5,10.5,9.4,10.25,140720.0
2017-08-03,9.56,10.4,9.56,10.2,185750.0
2017-08-04,10.2,10.2,9.6,10.2,200640.0
2017-08-07,9.9,10.85,9.5,10.85,830710.0
2017-08-08,10.2,11.6,10.2,11.6,386310.0
2017-08-09,12.35,12.4,12.0,12.4,1180170.0
2017-08-10,12.55,12.55,12.5,12.55,207280.0
2017-08-11,12.55,12.6,12.35,12.4,175140.0
2017-08-14,12.4,12.55,12.4,12.5,292320.0
2017-08-15,12.5,12.55,12.45,12.5,162550.0
2017-08-16,12.45,12.65,12.4,12.55,303860.0
2017-08-17,12.5,12.6,12.5,12.55,204010.0
2017-08-18,12.6,12.95,12.45,12.6,1083010.0
2017-08-21,12.6,13.45,12.5,13.45,1427730.0
2017-08-22,13.5,14.3,13.5,14.3,793050.0
2017-08-23,14.25,14.3,13.9,14.0,336920.0
2017-08-24,13.95,14.55,13.6,14.5,922330.0
2017-08-25,14.5,14.5,14.25,14.3,218600.0
2017-08-28,14.3,14.55,14.2,14.4,617310.0
2017-08-29,14.4,14.5,14.3,14.35,291750.0
2017-08-30,14.35,14.5,14.25,14.35,261630.0
2017-08-31,14.25,14.5,14.1,14.35,474620.0
2017-09-01,14.3,14.45,14.25,14.4,180660.0
2017-09-05,14.35,14.6,14.2,14.45,354950.0
2017-09-06,14.5,14.55,14.35,14.4,182380.0
2017-09-07,14.35,14.55,14.3,14.55,332190.0
2017-09-08,14.6,14.65,14.4,14.45,152440.0
2017-09-11,14.45,14.5,14.3,14.4,243550.0
2017-09-12,14.4,14.6,14.3,14.45,359300.0
2017-09-13,14.45,14.45,14.3,14.35,230380.0
2017-09-14,14.35,14.5,14.25,14.4,224570.0
2017-09-15,14.4,14.4,14.3,14.3,118950.0
2017-09-18,14.3,14.35,14.1,14.2,181630.0
2017-09-19,14.2,14.25,14.1,14.25,168630.0
2017-09-20,14.25,14.45,14.15,14.35,292770.0
2017-09-21,14.3,14.6,14.25,14.4,689240.0
2017-09-22,14.4,14.55,14.3,14.35,379600.0
2017-09-25,14.35,14.6,14.25,14.45,566450.0
2017-09-26,14.4,14.6,14.3,14.45,540360.0
2017-09-27,14.35,15.35,14.3,15.35,1108740.0
2017-09-28,15.4,15.55,14.75,14.9,848120.0
2017-09-29,14.9,14.95,14.45,14.5,232950.0
2017-10-02,14.4,14.75,14.35,14.6,686620.0
2017-10-03,14.6,14.65,14.4,14.5,318420.0
2017-10-04,14.45,14.5,14.1,14.45,640220.0
2017-10-05,14.45,14.6,14.25,14.5,465740.0
2017-10-06,14.5,14.6,14.3,14.45,433670.0
2017-10-09,14.45,14.55,14.35,14.4,381670.0
2017-10-10,14.4,14.6,14.2,14.5,529870.0
2017-10-11,14.5,14.55,14.35,14.5,322250.0
2017-10-12,14.5,14.65,14.35,14.5,343070.0
2017-10-13,14.5,14.6,14.4,14.5,305490.0
2017-10-16,14.5,14.65,14.35,14.55,291300.0
2017-10-17,14.55,14.6,14.4,14.5,292740.0
2017-10-18,14.45,14.55,14.35,14.45,132340.0
2017-10-19,14.45,14.7,14.35,14.65,432600.0
2017-10-20,14.65,14.7,14.4,14.55,300990.0
2017-10-23,14.45,14.6,14.35,14.45,330710.0
2017-10-24,14.45,14.5,14.4,14.5,223000.0
2017-10-25,14.5,14.55,14.4,14.5,175100.0
2017-10-26,14.5,14.55,14.4,14.45,217330.0
2017-10-27,14.45,14.5,14.4,14.45,164040.0
2017-10-30,14.45,14.5,14.4,14.45,198500.0
2017-10-31,14.45,14.5,14.2,14.4,312290.0
2017-11-01,14.4,14.45,14.35,14.35,350410.0
2017-11-02,14.35,14.4,13.5,14.4,535590.0
2017-11-03,14.4,14.45,14.25,14.4,280660.0
2017-11-06,14.4,14.4,13.5,13.5,318620.0
2017-11-07,13.0,13.2,12.6,12.6,408440.0
2017-11-08,11.75,11.8,11.75,11.75,164030.0
2017-11-09,11.35,12.55,10.95,12.55,1422710.0
2017-11-10,12.7,13.4,12.55,13.4,410590.0
2017-11-13,13.45,14.3,13.35,14.3,400790.0
2017-11-14,14.35,14.35,13.3,13.3,300530.0
2017-11-15,14.2,14.2,12.4,14.2,664190.0
2017-11-16,14.25,14.3,14.0,14.25,217210.0
2017-11-17,14.25,14.4,13.9,13.95,262590.0
2017-11-20,13.85,13.95,13.05,13.95,302400.0
2017-11-21,13.95,14.0,13.4,13.6,402550.0
2017-11-22,13.6,13.75,13.55,13.7,267580.0
