date,open,high,low,close,klgdkl
2018-10-24,22.5,22.5,19.8,21.0,20030.0
2018-10-25,19.6,20.2,19.6,20.0,3400.0
2018-10-26,20.1,20.1,20.1,20.1,10.0
2018-10-29,20.1,20.1,19.7,19.7,1960.0
2018-10-30,19.7,19.7,18.6,18.7,360.0
2018-10-31,19.6,19.6,18.7,18.7,2100.0
2018-11-01,18.9,19.4,18.9,19.3,4050.0
2018-11-02,19.3,19.3,19.25,19.25,1800.0
2018-11-05,19.3,19.3,19.0,19.0,12400.0
2018-11-06,19.3,19.4,19.0,19.05,46470.0
2018-11-07,19.1,19.5,19.1,19.5,600.0
2018-11-08,19.1,19.7,19.1,19.5,22460.0
2018-11-09,19.1,19.1,19.1,19.1,1500.0
2018-11-12,19.1,19.4,19.1,19.35,3430.0
2018-11-13,19.1,19.15,19.1,19.1,14840.0
2018-11-14,19.1,19.5,19.1,19.35,5190.0
2018-11-15,19.3,19.3,19.2,19.25,8140.0
2018-11-16,19.4,19.4,19.1,19.1,3970.0
2018-11-19,19.1,19.1,19.0,19.0,11800.0
2018-11-20,18.6,19.3,18.6,19.3,3100.0
2018-11-21,19.3,19.3,19.1,19.1,10330.0
2018-11-22,19.3,19.5,19.2,19.2,41420.0
2018-11-23,19.45,19.45,19.1,19.1,9540.0
2018-11-26,19.6,19.6,19.1,19.4,13120.0
2018-11-27,19.2,19.3,19.0,19.0,19590.0
2018-11-28,19.0,19.1,18.9,19.1,9610.0
2018-11-29,19.6,19.6,18.1,18.6,8950.0
2018-11-30,19.9,19.9,18.1,18.3,13390.0
2018-12-03,19.0,19.5,18.5,19.5,2860.0
2018-12-04,18.7,19.5,18.7,19.3,34230.0
2018-12-05,19.3,19.5,19.3,19.3,2440.0
2018-12-06,19.0,19.3,19.0,19.1,19630.0
2018-12-07,19.1,19.2,19.1,19.1,10190.0
2018-12-10,19.2,19.2,19.2,19.2,20080.0
2018-12-11,19.3,19.3,19.3,19.3,720.0
2018-12-12,19.3,19.3,19.2,19.2,1430.0
2018-12-13,19.5,19.5,19.2,19.4,21250.0
2018-12-14,19.3,19.3,19.2,19.2,11480.0
2018-12-17,19.3,19.3,19.2,19.2,870.0
2018-12-18,19.5,19.5,19.2,19.2,710.0
2018-12-19,19.2,19.2,19.0,19.0,4780.0
2018-12-20,19.3,19.3,19.1,19.1,3320.0
2018-12-21,19.4,19.4,19.4,19.4,10.0
2018-12-24,19.05,19.45,19.05,19.05,21660.0
2018-12-25,19.4,19.4,19.4,19.4,1500.0
2018-12-26,19.2,20.6,19.2,20.6,15100.0
2018-12-27,19.9,21.0,19.5,21.0,59440.0
2018-12-28,20.5,20.5,19.6,20.1,15560.0
2019-01-02,19.9,20.0,19.1,19.9,1060.0
2019-01-03,19.9,19.9,19.9,19.9,0.0
2019-01-04,19.0,19.0,19.0,19.0,1000.0
2019-01-07,19.0,19.8,19.0,19.8,1010.0
2019-01-08,19.1,19.7,19.05,19.7,15290.0
2019-01-09,19.7,19.7,19.15,19.5,2060.0
2019-01-10,19.6,19.6,19.2,19.2,1030.0
2019-01-11,19.2,19.2,19.2,19.2,4230.0
2019-01-14,19.2,19.2,19.2,19.2,10.0
2019-01-15,19.1,19.15,18.9,19.15,12610.0
2019-01-16,19.15,19.15,19.15,19.15,10.0
2019-01-17,19.15,19.25,19.15,19.25,9590.0
2019-01-18,19.3,19.3,19.1,19.1,2810.0
2019-01-21,19.1,19.1,19.1,19.1,810.0
2019-01-22,19.1,19.1,18.5,19.1,2810.0
2019-01-23,19.0,19.0,19.0,19.0,10.0
2019-01-24,19.5,19.7,18.9,18.9,9630.0
2019-01-25,19.0,19.0,18.8,18.8,6320.0
2019-01-28,19.1,19.5,19.1,19.5,48200.0
2019-01-29,19.4,19.5,19.3,19.5,57850.0
2019-01-30,19.5,19.6,19.5,19.5,37520.0
2019-01-31,19.5,19.7,19.5,19.6,13110.0
2019-02-01,19.6,19.6,19.6,19.6,3000.0
2019-02-11,19.6,19.8,19.6,19.6,28250.0
2019-02-12,19.6,19.7,19.6,19.6,12790.0
2019-02-13,19.85,20.9,19.85,20.8,241730.0
2019-02-14,20.9,21.45,20.9,21.4,473140.0
2019-02-15,21.8,22.0,21.5,21.8,182490.0
2019-02-18,21.8,21.8,21.5,21.55,233000.0
2019-02-19,21.6,23.05,21.5,22.75,1154360.0
2019-02-20,23.0,23.95,22.9,23.25,280530.0
2019-02-21,23.4,23.5,22.8,23.0,302790.0
2019-02-22,23.0,23.8,22.7,23.5,554260.0
2019-02-25,23.5,23.95,23.5,23.95,322870.0
2019-02-26,24.0,24.35,23.7,24.3,343280.0
2019-02-27,24.3,25.75,24.1,25.5,1008260.0
2019-02-28,26.0,26.3,25.1,25.35,425230.0
2019-03-01,25.35,25.8,25.0,25.5,551910.0
2019-03-04,25.95,25.95,25.0,25.15,421780.0
2019-03-05,25.2,26.3,25.15,25.9,437420.0
2019-03-06,26.0,26.25,25.8,26.0,244820.0
2019-03-07,26.0,26.6,25.7,26.0,342560.0
2019-03-08,25.5,26.1,25.3,26.1,179650.0
2019-03-11,26.5,26.5,26.0,26.1,282200.0
2019-03-12,26.1,26.15,26.0,26.0,249190.0
2019-03-13,26.0,26.2,26.0,26.0,577960.0
2019-03-14,26.0,27.8,25.7,27.3,526650.0
2019-03-15,27.5,28.3,27.25,28.0,754640.0
2019-03-18,28.0,28.4,28.0,28.3,673870.0
2019-03-19,28.3,28.8,28.0,28.6,640310.0
2019-03-20,28.5,28.7,28.0,28.6,505790.0
2019-03-21,28.6,29.2,28.6,28.6,370520.0
2019-03-22,28.6,29.0,28.0,28.8,204210.0
2019-03-25,28.6,28.6,27.5,28.2,626490.0
2019-03-26,28.0,28.5,28.0,28.5,475210.0
2019-03-27,28.55,28.6,28.4,28.5,682630.0
2019-03-28,28.2,30.45,28.1,30.0,631340.0
2019-03-29,30.0,30.1,29.3,29.9,403230.0
2019-04-01,29.95,29.95,29.3,29.5,170760.0
2019-04-02,29.15,30.0,29.15,29.8,302760.0
2019-04-03,29.9,30.25,29.6,30.2,479270.0
2019-04-04,30.6,30.7,30.0,30.6,295930.0
2019-04-05,30.6,30.6,29.4,29.5,533010.0
2019-04-08,29.5,30.0,29.0,29.85,394410.0
2019-04-09,30.3,30.3,28.1,28.7,166550.0
2019-04-10,28.1,29.0,28.1,28.9,354640.0
2019-04-11,28.9,29.2,28.1,28.8,283920.0
2019-04-12,28.7,28.8,26.8,28.5,395870.0
2019-04-16,27.8,28.6,27.6,28.6,84130.0
2019-04-17,28.6,28.8,28.2,28.2,87470.0
2019-04-18,28.2,28.4,28.1,28.1,202350.0
2019-04-19,28.1,28.5,28.0,28.4,40060.0
2019-04-22,28.4,28.4,28.0,28.35,32530.0
2019-04-23,28.4,28.4,27.8,28.3,43910.0
2019-04-24,28.3,29.5,28.1,28.8,234570.0
2019-04-25,29.1,29.1,28.6,28.8,23420.0
2019-04-26,29.0,29.8,28.8,29.6,192940.0
2019-05-02,29.6,30.2,29.6,29.95,87180.0
2019-05-03,30.0,30.0,28.9,29.0,26860.0
2019-05-06,29.0,29.5,28.7,29.3,28750.0
2019-05-07,29.5,29.5,28.5,28.65,48140.0
2019-05-08,28.5,28.95,28.5,28.65,34790.0
2019-05-09,28.65,28.9,28.55,28.7,15960.0
2019-05-10,28.7,29.0,28.5,28.75,11010.0
2019-05-13,29.2,29.2,28.5,28.55,48920.0
2019-05-14,28.5,28.75,28.05,28.55,220300.0
2019-05-15,29.0,29.0,28.4,28.5,100450.0
2019-05-16,28.5,28.55,27.8,27.8,251220.0
2019-05-17,28.2,28.2,27.2,27.25,198650.0
2019-05-20,27.25,28.0,27.15,27.7,39140.0
2019-05-21,27.7,27.7,27.1,27.3,27350.0
2019-05-22,27.55,28.0,27.15,27.55,167050.0
2019-05-23,27.6,27.7,27.5,27.6,13600.0
2019-05-24,27.5,27.7,27.45,27.55,113950.0
2019-05-27,27.55,27.95,27.45,27.6,21680.0
2019-05-28,27.6,28.1,27.5,27.9,250340.0
2019-05-29,28.2,29.5,27.9,29.0,388580.0
2019-05-30,29.5,29.5,29.0,29.2,148610.0
2019-05-31,29.0,29.2,28.6,28.6,83970.0
2019-06-03,28.5,28.5,27.8,28.0,143130.0
2019-06-04,28.0,29.0,28.0,28.4,41550.0
2019-06-05,28.4,28.5,28.0,28.2,65520.0
2019-06-06,28.5,28.7,28.15,28.7,65040.0
2019-06-07,28.7,30.7,28.7,30.7,926500.0
2019-06-10,31.2,31.3,30.7,31.0,349600.0
2019-06-11,31.0,32.35,30.8,32.0,387290.0
2019-06-12,32.0,32.0,31.5,32.0,229490.0
2019-06-13,32.0,32.0,31.6,31.6,185920.0
2019-06-14,31.6,31.95,31.1,31.1,189820.0
2019-06-17,31.1,31.6,31.0,31.55,185180.0
2019-06-18,32.0,32.0,31.2,31.7,89610.0
2019-06-19,31.9,33.0,31.9,31.9,466570.0
2019-06-20,31.9,32.2,31.2,31.85,180790.0
2019-06-21,31.7,31.9,31.4,31.7,83450.0
2019-06-24,31.7,32.8,31.5,32.5,255010.0
2019-06-25,32.5,33.0,31.8,31.95,184790.0
2019-06-26,32.1,32.4,31.8,32.1,99870.0
2019-06-27,32.2,32.95,31.7,32.2,187010.0
2019-06-28,31.95,32.3,31.7,31.95,169830.0
2019-07-01,32.3,32.5,32.0,32.3,83060.0
2019-07-02,33.3,33.85,32.4,33.3,379610.0
2019-07-03,33.5,33.5,33.0,33.1,139490.0
2019-07-04,33.5,33.5,33.1,33.45,155710.0
2019-07-05,33.4,33.45,31.5,31.5,650590.0
2019-07-08,31.2,31.9,30.5,31.9,301910.0
2019-07-09,31.5,31.8,31.05,31.2,100330.0
2019-07-10,31.2,31.75,30.7,31.2,136900.0
2019-07-11,31.7,31.7,31.0,31.0,176430.0
2019-07-12,31.0,31.3,30.9,30.9,116670.0
2019-07-15,31.0,31.2,30.8,30.9,97160.0
2019-07-16,30.9,31.65,30.9,31.5,120290.0
2019-07-17,31.6,31.6,31.0,31.0,107680.0
2019-07-18,31.6,31.5,30.9,31.5,105330.0
2019-07-19,31.6,32.85,31.5,32.6,528640.0
2019-07-22,32.9,33.0,32.25,32.6,107330.0
2019-07-23,32.7,32.7,32.2,32.6,101130.0
2019-07-24,32.6,32.6,32.3,32.45,112520.0
2019-07-25,32.5,33.4,32.5,32.5,255990.0
2019-07-26,32.05,32.35,30.9,31.9,137820.0
