date,open,high,low,close,klgdkl
2011-07-28,20.0,20.0,20.0,20.0,30.0
2011-07-29,19.0,19.0,19.0,19.0,10.0
2011-08-01,18.1,18.1,18.1,18.1,10.0
2011-08-02,17.2,17.2,17.2,17.2,10.0
2011-08-03,16.4,16.4,16.4,16.4,10.0
2011-08-04,15.6,15.6,15.6,15.6,2990.0
2011-08-05,14.9,14.9,14.9,14.9,10.0
2011-08-08,14.9,14.2,14.2,14.2,1200.0
2011-08-09,13.5,13.5,13.5,13.5,60.0
2011-08-10,12.9,12.9,12.9,12.9,50.0
2011-08-11,12.3,12.3,12.3,12.3,110.0
2011-08-12,11.8,11.8,11.7,11.7,820.0
2011-08-15,11.2,12.2,11.2,11.2,3550.0
2011-08-16,10.7,11.2,10.7,10.7,14710.0
2011-08-17,10.2,10.2,10.2,10.2,15970.0
2011-08-18,9.2,9.2,9.2,9.2,6930.0
2011-08-19,9.6,9.6,8.8,8.8,35040.0
2011-08-22,8.7,9.2,8.7,9.0,55030.0
2011-08-23,9.4,9.4,9.0,9.0,33840.0
2011-08-24,8.6,9.4,8.6,9.0,1680.0
2011-08-25,9.4,9.4,9.0,9.0,10040.0
2011-08-26,9.4,9.4,9.1,9.2,12660.0
2011-08-29,9.6,9.6,9.6,9.6,10500.0
2011-08-30,10.0,10.0,10.0,10.0,10.0
2011-08-31,10.5,10.5,10.5,10.5,2020.0
2011-09-01,11.0,11.0,11.0,11.0,130.0
2011-09-05,11.5,11.5,11.0,11.4,870.0
2011-09-06,11.0,11.0,10.9,10.9,870.0
2011-09-07,10.4,11.4,10.4,10.5,7270.0
2011-09-08,11.0,11.0,11.0,11.0,12020.0
2011-09-09,11.4,11.5,11.0,11.0,5590.0
2011-09-12,11.0,11.0,11.0,11.0,10670.0
2011-09-13,11.1,11.1,10.8,10.8,8860.0
2011-09-14,10.8,11.2,10.4,11.2,20410.0
2011-09-15,10.7,11.0,10.7,11.0,7670.0
2011-09-16,11.0,11.0,10.5,10.5,19040.0
2011-09-19,10.5,10.5,10.5,10.5,8630.0
2011-09-20,10.5,10.5,10.1,10.1,10760.0
2011-09-21,10.5,10.6,10.3,10.3,6510.0
2011-09-22,10.3,10.6,10.3,10.6,2310.0
2011-09-23,10.5,10.9,10.2,10.2,13020.0
2011-09-26,10.2,10.6,10.2,10.6,840.0
2011-09-27,10.5,10.5,10.5,10.5,50.0
2011-09-28,10.1,10.1,10.1,10.1,1010.0
2011-09-29,9.8,10.6,9.6,9.6,1870.0
2011-09-30,9.6,10.0,9.2,9.2,1130.0
