date,open,high,low,close,klgdkl
2017-06-15,49.9,49.9,49.0,49.9,144330.0
2017-06-16,52.9,53.3,50.0,53.3,98120.0
2017-06-19,54.0,54.0,53.3,53.4,66750.0
2017-06-20,53.3,53.4,53.0,53.3,77430.0
2017-06-21,50.0,53.2,50.0,51.8,37260.0
2017-06-22,50.5,51.0,50.0,50.2,8850.0
2017-06-23,49.5,49.5,46.7,46.7,34380.0
2017-06-26,48.0,48.0,45.0,46.2,14080.0
2017-06-27,47.5,47.8,44.7,47.8,12220.0
2017-06-28,45.5,47.7,44.6,46.0,17080.0
2017-06-29,49.2,49.2,45.0,48.2,140.0
2017-06-30,45.0,51.0,44.85,49.5,1340.0
2017-07-03,51.9,51.9,46.05,47.5,1140.0
2017-07-04,45.0,45.2,44.2,44.2,23210.0
2017-07-05,44.2,45.0,41.15,41.15,6850.0
2017-07-06,40.0,43.0,39.1,40.8,16430.0
2017-07-07,42.9,43.65,41.1,43.6,12500.0
2017-07-10,44.9,44.9,43.0,44.4,2530.0
2017-07-11,45.9,45.9,41.5,42.9,35550.0
2017-07-12,44.9,44.9,42.4,44.8,210.0
2017-07-13,44.8,44.8,42.0,44.7,10030.0
2017-07-14,43.0,44.5,42.0,44.5,4470.0
2017-07-17,43.5,43.5,41.4,41.4,13070.0
2017-07-18,42.0,42.0,41.0,42.0,5670.0
2017-07-19,41.3,44.0,41.3,44.0,470.0
2017-07-20,41.0,41.0,40.95,40.95,11780.0
2017-07-21,41.0,41.0,41.0,41.0,200.0
2017-07-24,43.5,43.5,41.0,41.0,20010.0
2017-07-25,42.0,42.0,41.0,41.0,2600.0
2017-07-26,41.0,41.0,40.1,41.0,920.0
2017-07-27,41.0,41.0,40.5,41.0,2160.0
2017-07-28,41.0,41.0,40.6,40.6,710.0
2017-07-31,39.4,41.0,39.4,40.8,230.0
2017-08-01,41.5,41.5,39.0,39.0,4770.0
2017-08-02,41.0,41.0,41.0,41.0,10.0
2017-08-03,39.0,39.0,39.0,39.0,10.0
2017-08-04,40.0,40.0,39.4,39.4,550.0
2017-08-07,40.4,40.4,40.4,40.4,10.0
2017-08-08,39.0,40.5,39.0,40.5,1570.0
2017-08-09,40.5,40.5,39.9,39.9,1980.0
2017-08-10,39.9,39.9,39.9,39.9,1380.0
2017-08-11,39.5,39.9,38.8,39.9,8280.0
2017-08-14,40.0,40.0,40.0,40.0,10.0
2017-08-15,38.8,39.0,38.8,38.8,1500.0
2017-08-16,41.5,41.5,40.0,40.0,11010.0
2017-08-17,42.5,42.5,39.0,40.5,1660.0
2017-08-18,41.0,41.0,40.5,40.5,20.0
2017-08-21,38.8,40.0,38.8,40.0,1110.0
2017-08-22,42.5,42.5,38.8,39.0,640.0
2017-08-23,38.7,41.7,38.7,41.7,110.0
2017-08-24,41.7,41.7,38.8,38.8,2770.0
2017-08-25,39.0,39.0,36.5,39.0,7110.0
2017-08-28,41.7,41.7,40.0,40.0,530.0
2017-08-29,42.0,42.0,39.0,39.0,20.0
2017-08-30,39.0,39.8,38.6,39.8,1640.0
2017-08-31,38.6,40.9,38.6,40.9,40.0
2017-09-01,40.0,40.0,40.0,40.0,10.0
2017-09-05,40.0,40.0,40.0,40.0,0.0
2017-09-06,40.0,40.0,40.0,40.0,0.0
2017-09-07,40.0,40.0,40.0,40.0,10.0
2017-09-08,39.0,40.0,39.0,40.0,160.0
2017-09-11,42.0,42.0,39.9,39.9,20.0
2017-09-12,39.0,39.0,38.6,38.6,800.0
2017-09-13,39.0,39.0,38.5,38.5,1120.0
2017-09-14,38.6,39.8,38.5,39.8,1780.0
2017-09-15,39.8,39.8,37.2,37.5,2450.0
2017-09-18,39.7,39.7,38.9,38.9,260.0
2017-09-19,38.9,38.9,38.9,38.9,0.0
2017-09-20,38.0,38.8,38.0,38.5,930.0
2017-09-21,39.6,39.9,38.9,39.4,2420.0
2017-09-22,39.4,39.5,39.0,39.5,15020.0
2017-09-25,39.0,39.5,39.0,39.5,2010.0
2017-09-26,39.4,39.5,39.4,39.5,2350.0
2017-09-27,39.5,39.5,39.0,39.0,5050.0
2017-09-28,39.4,39.4,39.2,39.4,900.0
2017-09-29,38.6,39.1,38.0,38.9,1910.0
2017-10-02,39.4,39.4,39.4,39.4,10.0
2017-10-03,38.5,39.0,38.5,39.0,40.0
2017-10-04,38.5,38.5,38.4,38.5,570.0
2017-10-05,38.3,39.0,38.0,39.0,2180.0
2017-10-06,39.4,39.4,39.0,39.0,110.0
