date,open,high,low,close,klgdkl
2016-06-06,15.0,18.0,15.0,17.8,65660.0
2016-06-07,17.9,17.9,16.8,17.6,13030.0
2016-06-08,17.6,17.6,17.6,17.6,0.0
2016-06-09,16.4,16.5,16.4,16.4,10020.0
2016-06-10,16.1,16.5,15.3,15.4,15970.0
2016-06-13,15.4,15.4,14.8,14.8,7220.0
2016-06-14,14.6,15.8,14.6,15.8,6170.0
2016-06-15,16.4,16.4,15.8,15.8,13040.0
2016-06-16,16.0,16.0,15.5,15.5,11930.0
2016-06-17,15.4,15.5,15.1,15.1,1970.0
2016-06-20,15.4,15.6,15.4,15.5,24920.0
2016-06-21,15.1,15.9,15.1,15.9,9860.0
2016-06-22,15.4,15.9,15.4,15.9,400.0
2016-06-23,15.4,15.5,15.4,15.5,5900.0
2016-06-24,15.0,15.2,15.0,15.2,9060.0
2016-06-27,14.6,15.2,14.6,14.6,16490.0
2016-06-28,15.6,15.6,15.5,15.5,160.0
2016-06-29,15.5,15.5,15.5,15.5,0.0
2016-06-30,15.0,15.2,15.0,15.2,44600.0
2016-07-01,15.3,15.4,15.3,15.3,12480.0
2016-07-04,15.0,15.5,15.0,15.5,13450.0
2016-07-05,15.5,15.5,15.3,15.3,2760.0
2016-07-06,15.3,15.3,15.1,15.1,2370.0
2016-07-07,15.3,15.5,15.3,15.5,11000.0
2016-07-08,15.1,15.8,15.1,15.7,17310.0
2016-07-11,15.7,15.7,15.7,15.7,16880.0
2016-07-12,15.7,15.7,15.7,15.7,2590.0
2016-07-13,15.1,15.7,15.1,15.7,10190.0
2016-07-14,15.7,15.7,15.7,15.7,12000.0
2016-07-15,15.2,15.3,15.2,15.3,2300.0
2016-07-18,15.2,15.4,15.2,15.4,3300.0
2016-07-19,15.5,15.6,15.5,15.6,1300.0
2016-07-20,15.6,15.8,15.6,15.8,3110.0
2016-07-21,15.5,15.7,15.5,15.7,28100.0
2016-07-22,15.7,15.8,15.6,15.8,5130.0
2016-07-25,15.8,15.8,15.7,15.7,4600.0
2016-07-26,15.7,16.7,15.7,16.7,15710.0
2016-07-27,16.7,17.8,17.5,17.8,60980.0
2016-07-28,17.9,18.9,17.9,18.9,34290.0
