date,open,high,low,close,klgdkl
2017-12-07,12.3,14.4,12.0,14.4,2566650.0
2017-12-08,14.55,15.4,14.45,15.4,1260740.0
2017-12-11,15.6,16.1,15.5,15.8,643090.0
2017-12-12,15.0,15.0,14.7,14.7,646450.0
2017-12-13,13.7,13.7,13.7,13.7,522310.0
2017-12-14,12.75,12.75,12.75,12.75,443330.0
2017-12-15,11.9,12.7,11.9,12.6,1432860.0
2017-12-18,12.7,13.0,12.55,12.6,507270.0
2017-12-19,12.55,12.7,12.35,12.4,246780.0
2017-12-20,12.3,12.5,12.1,12.15,408080.0
2017-12-21,12.1,12.3,12.05,12.1,210900.0
2017-12-22,12.05,12.2,12.0,12.1,274450.0
2017-12-25,12.2,12.25,12.0,12.1,192340.0
2017-12-26,12.0,12.2,11.95,11.95,482240.0
2017-12-27,11.95,12.0,11.85,11.95,185500.0
2017-12-28,12.1,12.2,11.95,12.1,206790.0
2017-12-29,12.15,12.15,11.95,12.05,276930.0
2018-01-02,11.95,12.15,11.9,11.95,176650.0
2018-01-03,12.1,12.6,11.95,12.6,826360.0
2018-01-04,12.65,13.1,12.5,13.1,617570.0
2018-01-05,13.0,13.4,13.0,13.25,520330.0
2018-01-08,13.2,13.5,13.2,13.45,1334250.0
2018-01-09,13.35,13.5,13.3,13.35,320920.0
2018-01-10,13.4,13.5,13.25,13.3,203270.0
2018-01-11,13.25,13.3,13.15,13.25,265600.0
2018-01-12,13.0,13.35,13.0,13.3,462910.0
2018-01-15,13.3,13.5,13.2,13.35,170320.0
2018-01-16,13.35,13.5,13.3,13.35,211640.0
2018-01-17,13.4,14.0,13.35,13.95,839670.0
2018-01-18,14.0,14.3,13.9,14.3,593910.0
2018-01-19,14.4,14.45,14.2,14.2,287470.0
2018-01-22,14.1,14.2,14.0,14.1,169370.0
2018-01-25,14.1,14.25,14.05,14.1,169940.0
2018-01-26,14.15,14.25,14.1,14.2,284450.0
2018-01-29,14.2,14.25,14.15,14.2,235090.0
2018-01-30,14.25,14.35,14.25,14.3,140490.0
2018-01-31,14.35,15.3,14.3,15.3,2194850.0
2018-02-01,15.35,15.75,15.3,15.65,760650.0
2018-02-02,15.7,15.9,15.7,15.7,464150.0
2018-02-05,15.0,15.7,14.8,14.95,233270.0
2018-02-06,14.6,14.9,14.35,14.6,197700.0
2018-02-07,14.6,14.85,14.6,14.8,319310.0
2018-02-08,14.85,15.15,14.85,15.15,1084100.0
2018-02-09,15.2,15.25,15.0,15.05,168500.0
2018-02-12,15.1,15.1,14.9,14.95,403360.0
2018-02-13,14.85,14.9,14.75,14.75,290890.0
2018-02-21,14.65,14.85,14.6,14.75,192270.0
2018-02-22,14.85,15.0,14.75,15.0,312170.0
2018-02-23,15.0,15.3,15.0,15.25,236920.0
2018-02-26,15.35,15.65,15.3,15.5,620650.0
2018-02-27,15.55,15.55,15.3,15.35,182160.0
2018-02-28,15.2,15.35,15.1,15.3,202590.0
2018-03-01,15.25,15.35,15.2,15.25,108210.0
2018-03-02,15.1,15.2,15.0,15.1,154960.0
2018-03-05,15.1,16.15,15.1,16.15,1374000.0
2018-03-06,16.2,17.15,16.05,16.9,980110.0
2018-03-07,16.95,18.05,16.85,18.05,1265920.0
2018-03-08,18.05,19.3,16.8,19.3,1473520.0
2018-03-09,19.35,20.65,19.35,20.6,1512470.0
2018-03-12,22.0,22.0,20.65,22.0,1249580.0
2018-03-13,22.15,23.5,22.05,23.5,2007600.0
2018-03-14,23.65,25.1,21.9,25.1,1860630.0
2018-03-15,25.35,26.85,23.35,23.35,1639990.0
2018-03-16,23.35,23.35,21.75,21.75,452380.0
2018-03-19,21.75,20.25,20.25,20.25,499250.0
2018-03-20,18.85,18.85,18.85,18.85,940.0
2018-03-21,18.85,18.85,17.55,17.55,14970.0
2018-03-22,16.35,16.35,16.35,16.35,512700.0
2018-03-23,15.25,16.15,15.25,16.1,1682890.0
2018-03-26,16.15,17.1,15.0,17.05,1503250.0
2018-03-27,17.05,17.25,15.9,16.6,834600.0
2018-03-28,16.6,16.6,15.45,15.45,890440.0
2018-03-29,14.4,16.5,14.4,16.5,1875500.0
2018-03-30,16.5,17.0,15.35,16.3,1279240.0
2018-04-02,16.1,16.1,15.2,15.2,517340.0
2018-04-03,14.15,14.8,14.15,14.15,826130.0
2018-04-04,13.2,13.35,13.2,13.2,368930.0
2018-04-05,12.3,14.0,12.3,13.9,1629530.0
2018-04-06,13.95,14.1,12.95,13.15,848960.0
2018-04-09,12.25,13.15,12.25,12.25,350110.0
2018-04-10,12.25,12.25,11.4,11.4,904040.0
2018-04-11,10.65,11.3,10.65,10.65,1600090.0
2018-04-12,10.0,11.05,9.91,11.0,777390.0
2018-04-13,11.0,11.0,10.25,10.5,183020.0
2018-04-16,10.45,10.6,10.35,10.55,331810.0
2018-04-17,10.5,10.6,10.25,10.45,191070.0
2018-04-18,10.45,10.5,10.15,10.15,156420.0
2018-04-19,10.1,10.25,10.0,10.15,173040.0
2018-04-20,10.2,10.35,10.05,10.35,221920.0
2018-04-23,10.2,10.4,10.15,10.2,139710.0
2018-04-24,10.25,10.5,10.05,10.5,212770.0
2018-04-26,10.5,10.6,10.4,10.55,195570.0
2018-04-27,10.4,10.6,10.0,10.45,151390.0
2018-05-02,10.9,10.9,10.3,10.9,281410.0
2018-05-03,11.05,11.05,10.85,11.0,137940.0
2018-05-04,11.1,11.75,11.1,11.75,938870.0
2018-05-07,12.0,12.55,11.95,12.55,1576110.0
2018-05-08,12.75,13.4,12.65,13.35,1581910.0
2018-05-09,13.0,13.3,12.45,12.45,45730.0
2018-05-10,11.6,11.6,11.6,11.6,359860.0
2018-05-11,10.8,11.6,10.8,11.0,1060340.0
2018-05-14,10.7,11.0,10.25,10.4,240420.0
2018-05-15,10.3,10.45,9.81,9.9,171360.0
2018-05-16,9.9,10.0,9.85,10.0,335940.0
2018-05-17,10.1,10.15,9.9,10.0,174720.0
2018-05-18,9.81,10.05,9.81,10.0,115680.0
2018-05-21,10.0,10.3,9.94,10.3,158610.0
2018-05-22,10.3,10.3,9.98,10.05,146090.0
2018-05-23,10.0,10.05,9.97,10.05,229400.0
2018-05-24,10.0,10.15,9.93,10.1,98640.0
2018-05-25,10.2,10.35,9.96,10.05,133900.0
2018-05-28,10.15,10.3,10.0,10.25,276810.0
2018-05-29,10.25,10.75,10.1,10.75,158900.0
2018-05-30,10.8,10.8,10.3,10.45,420050.0
2018-05-31,10.35,11.0,10.35,11.0,287930.0
2018-06-01,11.2,11.75,11.2,11.75,1289500.0
2018-06-04,11.85,12.3,11.4,11.75,1081410.0
2018-06-05,11.75,11.75,10.95,11.1,129770.0
2018-06-06,10.75,11.0,10.55,10.85,445520.0
2018-06-07,10.75,10.85,10.55,10.85,356720.0
2018-06-08,10.9,10.95,10.75,10.75,203810.0
2018-06-11,10.95,11.15,10.75,11.15,267580.0
2018-06-12,11.25,11.3,11.0,11.2,245060.0
2018-06-13,11.25,11.85,11.05,11.8,589970.0
2018-06-14,11.9,12.5,11.8,12.3,710070.0
2018-06-15,12.1,12.3,12.1,12.1,236540.0
2018-06-18,12.2,12.9,12.1,12.9,556690.0
2018-06-19,13.2,13.2,12.85,13.2,241310.0
2018-06-20,13.25,13.85,13.2,13.8,816930.0
2018-06-21,13.9,14.2,13.7,14.1,672620.0
2018-06-22,13.8,14.1,13.15,13.6,436600.0
2018-06-25,13.6,13.85,13.6,13.7,501790.0
2018-06-26,13.7,13.8,13.6,13.7,221580.0
2018-06-27,13.8,14.0,13.6,13.75,210910.0
2018-06-28,13.75,14.7,13.7,14.7,1375960.0
2018-06-29,14.85,15.7,14.65,15.7,1389740.0
2018-07-02,15.75,16.75,14.65,15.5,1896490.0
2018-07-03,14.45,14.45,14.45,14.45,296950.0
2018-07-04,13.45,13.45,13.45,13.45,421710.0
2018-07-05,12.55,12.55,12.55,12.55,410.0
2018-07-06,11.7,11.7,11.7,11.7,89100.0
2018-07-09,10.9,11.8,10.9,10.9,1384460.0
2018-07-10,9.77,10.85,9.77,10.65,1622550.0
2018-07-11,10.7,10.95,10.6,10.7,474170.0
2018-07-12,10.55,11.0,10.55,10.55,645970.0
2018-07-13,10.55,10.55,9.82,10.4,1216390.0
2018-07-16,10.3,10.75,9.68,10.5,1748110.0
2018-07-17,10.5,10.6,9.77,10.0,867900.0
2018-07-18,9.5,9.99,9.3,9.3,977360.0
2018-07-19,8.65,9.3,8.65,9.05,1932280.0
2018-07-20,8.59,9.1,8.42,8.59,722270.0
2018-07-23,9.19,9.19,7.99,9.19,2236100.0
2018-07-24,9.32,9.61,8.55,8.68,1325410.0
2018-07-25,8.08,8.64,8.08,8.08,1035140.0
2018-07-26,8.0,8.0,7.52,8.0,801680.0
2018-07-27,7.95,8.56,7.44,8.56,3062970.0
2018-07-30,8.62,8.62,7.97,7.97,965720.0
2018-07-31,8.0,8.05,7.42,7.65,1816690.0
2018-08-01,7.51,7.6,7.15,7.15,190530.0
2018-08-02,7.0,7.4,7.0,7.23,675070.0
2018-08-03,7.15,7.49,7.15,7.16,732830.0
2018-08-06,7.3,7.45,7.01,7.01,766250.0
2018-08-07,7.02,7.16,7.02,7.05,352040.0
2018-08-08,7.04,7.14,7.03,7.04,141520.0
2018-08-09,7.05,7.25,7.01,7.1,176390.0
2018-08-10,7.04,7.15,7.01,7.01,139440.0
2018-08-13,7.01,7.1,7.0,7.02,115910.0
2018-08-14,7.1,7.24,7.06,7.08,132220.0
2018-08-15,7.2,7.4,7.15,7.2,250490.0
2018-08-16,7.3,7.3,7.1,7.22,37230.0
2018-08-17,7.24,7.24,7.1,7.11,83070.0
2018-08-20,7.02,7.2,7.0,7.0,148980.0
2018-08-21,7.0,7.1,7.0,7.0,122350.0
2018-08-22,7.0,7.09,7.0,7.09,281390.0
2018-08-23,7.08,7.1,7.0,7.05,214220.0
2018-08-24,7.01,7.08,7.01,7.01,245530.0
2018-08-27,7.01,7.44,7.0,7.44,617080.0
2018-08-28,7.55,7.94,7.2,7.21,1571940.0
2018-08-29,7.2,7.3,7.16,7.16,178480.0
2018-08-30,7.2,7.2,7.0,7.07,90120.0
2018-08-31,7.01,7.2,7.01,7.06,166830.0
2018-09-04,7.06,7.15,7.05,7.05,139310.0
2018-09-05,7.05,7.1,7.0,7.03,244510.0
2018-09-06,7.02,7.15,7.0,7.15,216820.0
2018-09-07,7.1,7.1,7.0,7.0,171320.0
2018-09-10,7.09,7.3,7.01,7.3,262910.0
2018-09-11,7.02,7.13,7.02,7.02,94950.0
2018-09-12,7.02,7.29,7.02,7.16,1010520.0
2018-09-13,7.2,7.2,7.16,7.17,789640.0
2018-09-14,7.2,7.2,7.09,7.15,91100.0
2018-09-17,7.15,7.15,7.02,7.06,74320.0
2018-09-18,7.02,7.06,7.01,7.03,121710.0
2018-09-19,7.03,7.04,7.0,7.02,541180.0
2018-09-20,7.02,7.03,6.7,7.02,196970.0
2018-09-21,7.01,7.05,6.8,7.02,158580.0
2018-09-24,7.02,7.04,7.01,7.01,387760.0
2018-09-25,7.01,7.03,7.01,7.01,489950.0
2018-09-26,7.03,7.1,7.01,7.05,91490.0
