date,open,high,low,close,klgdkl
2010-01-04,34.6,34.6,32.5,34.6,18150.0
2010-01-05,35.7,35.7,34.6,34.6,11160.0
2010-01-06,33.2,35.3,33.2,34.6,5900.0
2010-01-07,34.5,36.0,34.5,34.6,20170.0
2010-01-08,35.8,36.0,35.0,35.0,13990.0
2010-01-11,35.0,35.5,33.5,35.5,6520.0
2010-01-12,34.5,35.9,34.5,34.6,9070.0
2010-01-13,33.5,36.0,33.5,35.5,16980.0
2010-01-14,36.9,36.9,35.5,36.0,10110.0
2010-01-15,35.0,36.5,35.0,35.4,6880.0
2010-01-18,34.0,36.0,34.0,34.1,2280.0
2010-01-19,35.5,35.5,34.2,35.0,1010.0
2010-01-20,33.8,35.0,33.8,35.0,111440.0
2010-01-21,33.3,33.3,33.3,33.3,6300.0
2010-01-22,34.5,34.5,33.0,33.9,13710.0
2010-01-25,33.0,33.9,32.3,33.9,500.0
2010-01-26,33.8,35.5,33.8,35.5,16410.0
2010-01-27,35.5,35.5,33.9,35.3,26110.0
2010-01-28,34.2,34.2,34.0,34.0,10500.0
2010-01-29,33.4,35.0,33.4,35.0,8320.0
2010-02-01,34.5,35.0,34.5,34.5,2170.0
2010-02-02,33.6,33.6,33.6,33.6,5280.0
2010-02-03,33.0,33.5,33.0,33.5,4940.0
2010-02-04,33.0,34.4,33.0,33.1,370.0
2010-02-05,32.1,33.5,32.1,33.5,4230.0
2010-02-08,32.5,33.5,32.1,32.1,14520.0
2010-02-09,30.7,31.5,30.5,30.6,38290.0
2010-02-10,30.0,31.6,30.0,31.0,87210.0
2010-02-11,30.5,31.0,30.5,30.5,57880.0
2010-02-12,31.4,32.0,31.0,32.0,20550.0
2010-02-22,31.0,32.0,31.0,32.0,790.0
2010-02-23,31.0,31.0,31.0,31.0,38900.0
2010-02-24,30.5,32.0,30.5,32.0,10770.0
2010-02-25,30.9,32.0,30.7,32.0,14890.0
2010-02-26,31.9,32.2,31.9,32.0,10770.0
2010-03-01,32.0,32.0,31.9,32.0,7370.0
2010-03-02,32.0,32.5,31.5,32.5,5600.0
2010-03-03,32.5,32.5,32.0,32.0,8180.0
2010-03-04,32.0,32.0,31.0,31.7,29020.0
2010-03-05,31.7,31.7,31.2,31.5,9900.0
