date,open,high,low,close,klgdkl
2019-05-30,36.0,36.0,36.0,36.0,30.0
2019-05-31,38.5,38.5,38.5,38.5,30.0
2019-06-03,41.15,41.15,41.15,41.15,30.0
2019-06-04,41.15,41.15,41.15,41.15,0.0
2019-06-05,44.0,44.0,44.0,44.0,30.0
2019-06-06,47.05,47.05,47.05,47.05,30.0
2019-06-07,48.0,48.0,48.0,48.0,3000.0
2019-06-10,51.3,51.3,51.3,51.3,40.0
2019-06-11,54.8,54.8,53.0,53.0,470.0
2019-06-12,56.7,56.7,56.7,56.7,380.0
2019-06-13,60.6,60.6,60.6,60.6,430.0
2019-06-14,64.8,64.8,58.0,58.0,1000.0
2019-06-17,56.0,56.0,54.0,54.0,440.0
2019-06-18,50.3,54.5,50.3,54.5,590.0
2019-06-19,54.5,54.5,50.7,54.5,1030.0
2019-06-20,50.7,50.7,50.7,50.7,1340.0
2019-06-21,54.2,54.2,47.2,54.2,1120.0
2019-06-24,54.0,55.0,54.0,55.0,1320.0
2019-06-25,55.0,55.0,54.9,55.0,2030.0
2019-06-26,56.0,56.0,55.5,56.0,330.0
2019-06-27,55.5,56.0,53.5,55.5,570.0
2019-06-28,55.5,55.5,55.4,55.5,680.0
2019-07-01,55.0,59.3,51.7,55.0,1630.0
2019-07-02,54.0,54.0,51.2,54.0,1410.0
2019-07-03,53.5,53.5,53.5,53.5,1530.0
2019-07-04,53.5,53.0,50.0,50.0,1310.0
2019-07-05,53.5,53.5,46.5,53.0,810.0
2019-07-08,52.0,55.8,50.1,55.8,1600.0
2019-07-09,53.2,55.8,53.2,55.8,1100.0
2019-07-10,55.0,56.0,52.8,52.8,920.0
2019-07-11,54.8,54.8,54.0,54.8,1360.0
2019-07-12,55.1,55.1,55.1,55.1,680.0
2019-07-15,55.1,55.1,52.1,55.1,1930.0
2019-07-16,55.1,55.5,55.1,55.5,1680.0
2019-07-17,55.5,56.0,55.5,56.0,1010.0
2019-07-18,55.5,55.5,52.1,55.5,1250.0
2019-07-19,55.5,56.0,55.5,56.0,670.0
2019-07-22,56.0,56.5,56.0,56.5,2000.0
2019-07-23,52.7,56.5,52.7,56.5,1500.0
2019-07-24,52.6,56.5,52.6,56.0,1130.0
2019-07-25,57.0,57.0,57.0,57.0,750.0
2019-07-26,57.0,57.0,57.0,57.0,1010.0
2019-07-29,57.1,57.1,57.1,57.1,1280.0
2019-07-30,53.4,58.0,53.4,58.0,1200.0
2019-07-31,54.0,56.5,54.0,56.5,1350.0
2019-08-01,56.5,56.5,56.5,56.5,1090.0
2019-08-02,55.0,55.5,54.0,55.5,1730.0
2019-08-05,55.9,57.5,55.9,56.0,3410.0
2019-08-06,56.0,56.0,56.0,56.0,2330.0
2019-08-07,56.0,58.0,52.1,56.0,1960.0
2019-08-08,56.0,57.0,55.0,57.0,2220.0
2019-08-09,57.3,57.5,54.5,57.5,4250.0
2019-08-12,60.0,60.0,53.6,57.0,1220.0
2019-08-13,53.4,56.0,53.4,56.0,2380.0
2019-08-14,57.0,57.0,56.0,56.0,1150.0
2019-08-15,52.3,59.0,52.3,56.0,2040.0
2019-08-16,56.0,56.5,52.2,56.5,1320.0
2019-08-19,53.0,56.5,53.0,55.0,2010.0
2019-08-20,57.5,57.5,55.5,55.5,990.0
2019-08-21,55.5,55.5,54.0,54.0,2300.0
2019-08-22,53.1,57.0,53.1,56.5,2170.0
2019-08-23,57.0,59.0,56.5,56.5,1500.0
2019-08-26,53.0,56.5,53.0,56.5,2610.0
2019-08-27,56.0,56.5,56.0,56.4,2830.0
2019-08-28,56.2,56.2,56.2,56.2,2310.0
2019-08-29,55.0,55.3,55.0,55.0,2010.0
2019-08-30,51.6,54.8,51.6,54.5,1290.0
2019-09-03,51.5,54.0,51.5,54.0,2100.0
2019-09-04,51.5,54.0,54.0,54.0,2220.0
2019-09-05,53.5,54.0,53.0,53.9,2260.0
2019-09-06,53.4,53.5,51.0,53.5,2560.0
2019-09-09,56.0,56.0,56.0,56.0,2200.0
2019-09-10,56.0,56.0,56.0,56.0,1760.0
2019-09-11,55.5,56.5,55.5,55.8,2280.0
2019-09-12,55.5,58.0,55.5,58.0,2050.0
2019-09-13,58.0,61.0,58.0,61.0,2060.0
2019-09-16,60.0,60.0,60.0,60.0,1450.0
2019-09-17,59.1,59.1,59.1,59.1,2580.0
2019-09-18,59.1,59.0,58.9,59.0,2180.0
2019-09-19,59.0,59.0,55.0,59.0,2040.0
2019-09-20,63.0,63.0,60.0,60.0,2300.0
2019-09-23,61.0,61.0,61.0,61.0,2310.0
2019-09-24,60.0,60.9,58.3,60.9,1910.0
2019-09-25,60.9,60.9,60.9,60.9,0.0
2019-09-26,55.6,59.9,55.6,56.0,1550.0
2019-09-27,59.9,59.9,59.9,59.9,1100.0
2019-09-30,62.0,62.9,62.0,62.9,2590.0
2019-10-01,63.0,63.0,63.0,63.0,1680.0
2019-10-02,67.4,67.4,67.2,67.2,1040.0
2019-10-03,66.8,66.8,66.8,66.8,1290.0
2019-10-04,66.8,66.8,66.8,66.8,1600.0
2019-10-07,65.0,65.0,65.0,65.0,1500.0
2019-10-08,65.0,65.0,65.0,65.0,0.0
2019-10-09,64.5,64.5,63.0,64.5,1600.0
2019-10-10,62.9,62.9,62.9,62.9,1400.0
2019-10-11,62.9,62.9,62.9,62.9,0.0
2019-10-14,62.8,62.8,62.8,62.8,1050.0
2019-10-15,62.8,62.8,62.8,62.8,0.0
2019-10-16,66.0,66.0,66.0,66.0,2020.0
2019-10-17,66.0,66.0,66.0,66.0,1670.0
2019-10-18,66.0,66.0,66.0,66.0,0.0
2019-10-21,65.0,65.0,65.0,65.0,1680.0
2019-10-22,60.5,64.0,60.5,64.0,1650.0
2019-10-23,64.0,64.0,64.0,64.0,0.0
2019-10-24,63.0,63.0,63.0,63.0,1100.0
2019-10-25,63.0,63.0,63.0,63.0,500.0
2019-10-28,63.0,63.0,63.0,63.0,0.0
2019-10-29,60.0,61.9,60.0,61.9,1000.0
2019-10-30,60.0,63.0,60.0,63.0,1390.0
2019-10-31,62.0,62.0,62.0,62.0,1500.0
2019-11-01,62.0,62.0,62.0,62.0,0.0
2019-11-04,64.5,64.5,64.5,64.5,2390.0
2019-11-05,65.5,65.5,65.5,65.5,1600.0
2019-11-06,66.0,66.0,66.0,66.0,1590.0
2019-11-07,65.5,65.5,65.5,65.5,1560.0
2019-11-08,63.0,63.0,63.0,63.0,1630.0
2019-11-11,63.0,63.6,63.0,63.6,1630.0
2019-11-12,64.0,64.0,64.0,64.0,900.0
2019-11-13,63.0,63.0,63.0,63.0,1500.0
2019-11-14,63.0,63.0,63.0,63.0,0.0
2019-11-15,63.0,63.0,63.0,63.0,0.0
2019-11-18,61.0,61.0,61.0,61.0,2500.0
2019-11-19,61.0,62.0,61.0,62.0,1200.0
2019-11-20,62.0,62.5,62.0,62.5,2550.0
2019-11-21,62.5,62.5,61.0,61.0,3500.0
2019-11-22,61.0,61.0,61.0,61.0,1000.0
2019-11-25,60.0,60.0,59.5,59.5,2100.0
2019-11-26,59.0,59.5,59.0,59.5,1900.0
2019-11-27,59.0,59.0,59.0,59.0,110.0
2019-11-28,59.0,59.5,59.0,59.5,2550.0
2019-11-29,59.5,61.0,59.5,61.0,2320.0
2019-12-02,59.0,61.0,59.0,61.0,1500.0
2019-12-03,60.3,60.5,60.3,60.5,1000.0
2019-12-04,60.2,60.2,60.2,60.2,850.0
2019-12-05,60.2,60.8,60.2,60.8,1100.0
2019-12-06,61.0,61.5,61.0,61.5,2750.0
2019-12-09,61.5,61.7,61.5,61.7,1500.0
2019-12-10,61.7,61.7,61.5,61.5,1530.0
2019-12-11,61.5,61.5,60.5,60.5,1100.0
2019-12-12,60.5,62.0,60.5,62.0,2310.0
2019-12-13,61.9,62.0,61.9,62.0,1100.0
2019-12-16,61.9,62.0,61.9,62.0,960.0
2019-12-17,62.0,62.5,62.0,62.5,1120.0
2019-12-18,62.5,62.8,62.5,62.8,2020.0
2019-12-19,62.3,63.5,62.3,63.5,1700.0
2019-12-20,63.2,64.0,63.2,64.0,2020.0
2019-12-23,63.8,64.0,63.0,64.0,1270.0
2019-12-24,62.3,62.3,62.0,62.0,1200.0
2019-12-25,61.5,62.0,61.5,62.0,1320.0
2019-12-26,62.0,62.3,62.0,62.3,1260.0
2019-12-27,62.3,62.3,62.0,62.0,640.0
2019-12-30,62.0,63.0,62.0,63.0,1640.0
2019-12-31,62.5,64.0,62.5,64.0,1880.0
2020-01-02,64.0,64.2,64.0,64.2,1410.0
2020-01-03,63.8,64.8,63.5,64.8,1970.0
2020-01-06,64.3,64.3,63.8,63.8,1260.0
2020-01-07,63.8,63.8,63.5,63.5,670.0
2020-01-08,63.2,63.2,63.2,63.2,320.0
2020-01-09,63.2,63.6,63.0,63.6,1580.0
2020-01-10,63.6,63.8,63.2,63.8,1560.0
2020-01-13,63.8,65.2,63.8,63.8,1300.0
2020-01-14,63.5,64.2,63.5,64.2,890.0
2020-01-15,63.8,64.5,63.8,64.5,1410.0
2020-01-17,64.0,64.3,64.0,64.3,1700.0
2020-01-20,64.3,65.5,64.3,64.6,1400.0
2020-01-22,65.0,65.0,65.0,65.0,870.0
