date,open,high,low,close,klgdkl
2010-01-04,21.0,21.5,21.0,21.5,40960.0
2010-01-05,22.5,22.5,21.6,21.7,27470.0
2010-01-06,20.9,22.0,20.9,21.7,13700.0
2010-01-07,21.2,22.0,21.2,22.0,14950.0
2010-01-08,22.0,22.2,20.9,20.9,26650.0
2010-01-11,21.8,21.9,21.0,21.9,99420.0
2010-01-12,22.9,22.9,22.9,22.9,35100.0
2010-01-13,23.3,23.5,21.8,23.5,38010.0
2010-01-14,23.0,24.0,22.7,23.2,30770.0
2010-01-15,22.5,23.2,22.1,23.2,23820.0
2010-01-18,22.8,22.8,22.1,22.8,15280.0
2010-01-19,22.1,22.1,21.7,21.7,28970.0
2010-01-20,20.7,21.9,20.7,20.7,35800.0
2010-01-21,19.9,20.5,19.7,19.7,19520.0
2010-01-22,19.7,20.3,18.8,18.8,7520.0
2010-01-25,19.6,19.6,18.2,19.6,7240.0
2010-01-26,20.3,20.4,19.6,20.4,9120.0
2010-01-27,20.9,20.9,19.4,19.4,15200.0
2010-01-28,19.0,20.0,18.5,19.4,20810.0
2010-01-29,18.8,20.0,18.5,19.7,4380.0
2010-02-01,20.0,20.0,20.0,20.0,1410.0
2010-02-02,20.0,20.2,19.1,19.9,11800.0
2010-02-03,19.6,19.8,19.5,19.8,17480.0
2010-02-04,19.2,19.7,19.2,19.7,15440.0
2010-02-05,19.2,19.6,19.0,19.6,5380.0
2010-02-08,18.9,19.4,18.9,19.3,4850.0
2010-02-09,18.8,19.0,18.4,18.4,9150.0
2010-02-10,19.0,19.0,19.0,19.0,1030.0
2010-02-11,19.0,19.4,18.9,19.4,7770.0
2010-02-12,19.4,19.6,19.3,19.6,11610.0
2010-02-22,19.9,19.9,19.2,19.2,4450.0
2010-02-23,19.3,19.3,18.9,19.0,5470.0
2010-02-24,18.3,19.0,18.3,19.0,220.0
2010-02-25,19.0,19.2,19.0,19.0,2840.0
2010-02-26,18.6,19.2,18.6,19.0,2550.0
2010-03-01,19.0,19.6,18.8,18.8,9150.0
2010-03-02,19.4,19.7,19.1,19.7,19820.0
2010-03-03,20.0,20.6,19.8,20.6,37700.0
2010-03-04,21.2,21.4,21.0,21.1,24910.0
2010-03-05,21.1,21.3,21.0,21.0,5400.0
2010-03-08,21.2,21.5,20.3,20.4,11940.0
2010-03-09,20.2,21.0,20.2,21.0,13080.0
2010-03-10,20.5,21.3,20.5,21.1,19640.0
2010-03-11,21.1,21.2,21.0,21.0,11170.0
2010-03-12,21.0,21.2,21.0,21.2,10310.0
2010-03-15,21.2,21.5,21.2,21.2,11350.0
2010-03-16,20.5,20.7,20.2,20.2,18780.0
2010-03-17,20.8,20.8,19.5,19.5,2720.0
2010-03-18,20.2,20.4,19.5,20.4,14230.0
2010-03-19,20.4,21.0,20.4,20.6,17480.0
2010-03-22,20.6,21.0,20.6,21.0,6510.0
2010-03-23,21.0,21.0,20.4,20.4,9950.0
2010-03-24,20.5,21.0,20.5,21.0,11350.0
2010-03-25,21.0,21.0,20.2,20.4,14170.0
2010-03-26,21.0,21.0,20.5,20.5,17620.0
2010-03-29,21.5,21.5,21.5,21.5,62700.0
2010-03-30,22.5,22.5,22.5,22.5,39900.0
2010-03-31,22.5,22.9,22.5,22.5,57290.0
2010-04-01,21.7,22.5,21.7,22.5,18290.0
2010-04-02,22.5,23.6,22.4,23.6,159130.0
2010-04-05,24.7,24.7,24.7,24.7,13920.0
2010-04-06,25.9,25.9,25.9,25.9,11700.0
2010-04-07,27.1,27.1,27.1,27.1,59100.0
2010-04-08,28.4,28.4,28.4,28.4,37160.0
2010-04-09,29.8,29.8,29.8,29.8,215570.0
2010-04-12,31.2,31.2,30.0,31.2,170440.0
2010-04-13,32.2,32.2,31.6,32.2,100580.0
2010-04-14,33.8,33.8,32.2,33.8,124610.0
2010-04-15,35.4,35.4,35.2,35.4,159860.0
2010-04-16,37.1,37.1,37.1,37.1,39920.0
2010-04-19,38.9,38.9,38.9,38.9,138370.0
2010-04-20,40.8,40.8,40.8,40.8,78320.0
2010-04-21,42.8,42.8,40.0,40.5,308980.0
2010-04-22,42.0,42.0,38.6,39.5,247090.0
2010-04-26,39.1,39.8,38.2,39.4,114110.0
2010-04-27,40.0,41.3,40.0,41.3,110920.0
2010-04-28,43.0,43.3,41.3,43.3,115590.0
2010-04-29,45.2,45.4,44.0,45.4,171640.0
2010-05-04,45.0,47.0,43.2,45.4,134570.0
2010-05-05,43.2,43.6,43.2,43.2,75950.0
2010-05-06,41.8,43.5,41.1,41.1,176190.0
2010-05-07,39.6,39.9,39.1,39.1,109960.0
2010-05-10,37.8,39.0,37.2,37.4,113320.0
2010-05-11,39.0,39.0,37.4,37.5,31240.0
2010-05-12,37.5,37.5,35.9,36.1,85950.0
2010-05-13,36.1,37.9,36.1,37.5,29900.0
2010-05-14,36.5,38.0,36.5,37.0,65200.0
2010-05-17,36.1,37.0,36.0,36.0,56450.0
2010-05-18,37.0,37.0,34.2,36.0,43000.0
2010-05-19,34.2,34.5,34.2,34.2,46480.0
2010-05-20,32.5,35.7,32.5,34.0,15230.0
2010-05-21,32.3,32.3,32.3,32.3,17280.0
2010-05-24,32.3,33.0,30.9,30.9,22920.0
2010-05-25,30.0,31.4,30.0,30.9,34080.0
2010-05-26,32.2,32.4,31.0,32.4,38410.0
2010-05-27,32.6,32.7,32.0,32.7,58230.0
2010-05-28,34.3,34.3,34.3,34.3,66260.0
2010-05-31,35.5,35.6,34.3,34.7,48370.0
2010-06-01,34.0,35.9,34.0,35.8,43790.0
2010-06-02,36.7,36.7,35.0,36.2,51010.0
2010-06-03,36.4,37.4,36.3,37.4,57110.0
2010-06-04,36.6,37.4,35.6,35.9,74110.0
2010-06-07,34.3,35.5,34.2,34.2,66500.0
2010-06-08,34.2,34.9,33.6,34.2,21500.0
2010-06-09,35.0,35.0,34.2,34.5,47690.0
2010-06-10,34.5,34.7,34.5,34.7,18760.0
2010-06-11,35.5,35.5,34.2,35.5,52040.0
2010-06-14,35.9,35.9,34.8,34.8,21560.0
2010-06-15,35.5,35.5,33.8,34.2,48790.0
2010-06-16,34.1,35.4,34.1,34.9,31150.0
2010-06-17,35.4,35.4,35.0,35.0,1050.0
2010-06-18,35.0,35.0,34.0,34.9,33000.0
2010-06-21,35.7,35.7,34.9,35.4,27780.0
2010-06-22,35.0,35.0,34.5,34.5,7800.0
2010-06-23,35.1,35.1,34.5,34.6,16970.0
2010-06-24,34.6,34.7,34.2,34.6,30240.0
2010-06-25,34.9,35.0,34.1,34.7,9270.0
2010-06-28,34.3,34.7,34.0,34.1,29710.0
2010-06-29,34.2,34.7,33.9,33.9,17340.0
2010-06-30,33.4,33.9,33.4,33.4,10500.0
2010-07-01,34.2,34.2,33.4,33.4,6570.0
2010-07-02,33.4,34.7,33.4,34.5,14550.0
2010-07-05,34.0,34.5,34.0,34.5,2090.0
2010-07-06,34.8,34.8,33.8,34.5,480.0
2010-07-07,34.2,34.5,33.9,34.0,14740.0
2010-07-08,34.0,34.6,34.0,34.1,160.0
2010-07-09,34.6,34.6,33.5,33.5,3910.0
2010-07-12,34.4,34.4,33.0,33.6,4710.0
2010-07-13,33.4,34.4,33.4,34.0,5130.0
