date,open,high,low,close,klgdkl
2017-05-29,11.4,13.05,11.0,13.05,5124680.0
2017-05-30,13.25,13.95,13.05,13.45,4453270.0
2017-05-31,13.5,13.85,12.85,12.85,1562860.0
2017-06-01,12.0,12.0,12.0,12.0,743410.0
2017-06-02,11.2,11.2,11.2,11.2,924640.0
2017-06-05,10.45,10.65,10.45,10.45,2266580.0
2017-06-06,9.72,10.1,9.72,9.76,4493100.0
2017-06-07,9.78,10.25,9.7,9.82,1339010.0
2017-06-08,9.65,9.82,9.14,9.14,725280.0
2017-06-09,8.51,8.7,8.51,8.55,1217110.0
2017-06-12,8.3,8.5,8.1,8.25,474890.0
2017-06-13,8.25,8.38,8.1,8.25,441090.0
2017-06-14,8.26,8.67,8.2,8.65,714910.0
2017-06-15,8.6,8.8,8.5,8.78,552760.0
2017-06-16,8.78,9.2,8.61,9.02,1020660.0
2017-06-19,8.95,9.12,8.95,9.03,309490.0
2017-06-20,9.03,9.1,8.85,9.03,323580.0
2017-06-21,8.9,9.15,8.9,9.1,351730.0
2017-06-22,9.1,9.65,9.1,9.62,1053230.0
2017-06-23,9.62,10.25,9.5,10.2,1688050.0
2017-06-26,10.35,10.7,9.88,10.0,1083220.0
2017-06-27,10.1,10.3,9.78,9.9,639010.0
2017-06-28,9.85,10.0,9.68,9.9,560480.0
2017-06-29,9.88,10.55,9.8,10.55,2766130.0
2017-06-30,10.65,11.25,10.3,11.25,3403220.0
2017-07-03,11.35,11.5,10.9,11.1,1445620.0
2017-07-04,11.0,11.6,10.35,10.5,1766700.0
2017-07-05,10.2,10.5,9.78,9.85,444190.0
2017-07-06,9.85,10.3,9.6,9.92,679320.0
2017-07-07,9.92,10.2,9.85,9.98,561300.0
2017-07-10,9.9,10.25,9.8,10.25,456150.0
2017-07-11,10.25,10.35,9.9,10.1,392960.0
2017-07-12,10.0,10.2,9.85,9.9,230490.0
2017-07-13,9.8,10.2,9.8,9.9,405440.0
2017-07-14,9.9,9.9,9.36,9.9,366250.0
2017-07-17,9.95,10.3,9.9,10.15,2633310.0
2017-07-18,10.15,10.2,9.9,10.0,128910.0
2017-07-19,10.0,10.2,9.8,9.8,240410.0
2017-07-20,10.0,10.0,9.5,9.75,197230.0
2017-07-21,9.7,9.95,9.7,9.75,360270.0
2017-07-24,9.75,9.92,9.6,9.92,266380.0
2017-07-25,9.92,9.99,9.75,9.99,261490.0
2017-07-26,9.99,10.1,9.47,9.9,821370.0
2017-07-27,9.92,10.55,9.8,10.55,2351700.0
2017-07-28,10.65,11.25,10.45,10.55,2347610.0
2017-07-31,10.3,10.6,9.82,9.99,1838920.0
2017-08-01,9.99,9.99,9.3,9.3,2051260.0
2017-08-02,8.65,9.2,8.65,8.65,1631670.0
2017-08-03,8.05,8.3,8.05,8.23,2490530.0
2017-08-04,8.25,8.8,8.25,8.8,3140940.0
2017-08-07,8.92,8.92,8.19,8.6,1982240.0
2017-08-08,8.1,8.49,8.0,8.0,1967520.0
2017-08-09,7.5,8.0,7.44,7.44,2128050.0
2017-08-10,6.93,7.6,6.93,7.4,1396910.0
2017-08-11,7.2,7.45,7.15,7.4,933540.0
2017-08-14,7.4,7.72,7.12,7.65,1706900.0
2017-08-15,7.8,8.08,7.37,7.55,1541170.0
2017-08-16,7.3,7.5,7.14,7.5,787130.0
2017-08-17,7.4,7.4,7.08,7.08,770010.0
2017-08-18,7.0,7.0,6.76,6.9,921790.0
2017-08-21,6.95,6.99,6.8,6.94,267900.0
2017-08-22,6.81,6.98,6.81,6.95,456170.0
2017-08-23,6.8,7.08,6.8,6.99,317920.0
2017-08-24,6.99,7.1,6.83,7.08,452990.0
2017-08-25,7.1,7.27,7.05,7.15,741370.0
2017-08-28,7.15,7.23,6.9,6.95,537680.0
2017-08-29,7.0,7.1,6.9,6.91,538320.0
2017-08-30,6.9,7.18,6.87,6.99,818640.0
2017-08-31,7.0,7.12,6.91,6.94,378370.0
2017-09-01,6.94,7.1,6.9,7.0,1077600.0
2017-09-05,6.96,7.03,6.95,6.97,545020.0
2017-09-06,6.97,7.03,6.97,7.0,664750.0
2017-09-07,6.98,7.05,6.9,7.01,778610.0
2017-09-08,7.03,7.1,6.98,7.05,587130.0
2017-09-11,7.06,7.51,7.06,7.41,1592140.0
2017-09-12,7.4,7.5,7.18,7.18,704040.0
2017-09-13,7.2,7.35,7.09,7.23,646750.0
2017-09-14,7.21,7.25,7.1,7.15,264760.0
2017-09-15,7.06,7.15,7.06,7.1,355240.0
2017-09-18,7.08,7.14,7.05,7.12,346530.0
2017-09-19,7.11,7.27,7.11,7.13,448760.0
2017-09-20,7.14,7.18,7.05,7.07,492470.0
2017-09-21,7.1,7.19,7.05,7.19,427660.0
2017-09-22,7.19,7.25,7.11,7.11,591970.0
2017-09-25,7.13,7.13,7.05,7.05,284460.0
2017-09-26,7.08,7.11,7.03,7.08,312130.0
2017-09-27,7.08,7.08,7.01,7.05,192190.0
2017-09-28,7.06,7.19,7.0,7.1,791770.0
2017-09-29,7.1,7.1,6.99,7.05,943860.0
2017-10-02,7.05,7.05,6.9,7.0,135980.0
2017-10-03,7.0,7.05,6.81,6.9,176650.0
2017-10-04,6.93,6.95,6.8,6.93,673500.0
2017-10-05,6.86,6.97,6.85,6.95,676660.0
2017-10-06,6.93,6.96,6.9,6.93,286720.0
2017-10-09,6.95,6.95,6.9,6.9,161180.0
2017-10-10,6.95,6.95,6.85,6.85,139180.0
2017-10-11,6.83,6.9,6.81,6.83,350840.0
2017-10-12,6.85,6.86,6.8,6.82,207880.0
2017-10-13,6.83,6.83,6.79,6.81,259350.0
2017-10-16,6.81,6.83,6.59,6.69,177910.0
2017-10-17,6.65,6.69,6.55,6.65,353210.0
2017-10-18,6.63,6.9,6.6,6.8,782260.0
2017-10-19,6.8,6.88,6.75,6.85,706390.0
2017-10-20,6.85,6.85,6.65,6.65,173040.0
2017-10-23,6.5,6.73,6.29,6.5,275950.0
2017-10-24,6.5,6.6,6.45,6.48,309180.0
2017-10-25,6.5,6.55,6.4,6.5,158810.0
2017-10-26,6.5,6.55,6.3,6.5,365880.0
2017-10-27,6.5,6.55,6.4,6.55,804130.0
2017-10-30,6.55,6.63,6.5,6.57,1078720.0
2017-10-31,6.55,6.6,6.3,6.5,165350.0
2017-11-01,6.45,6.5,6.4,6.48,122650.0
2017-11-02,6.48,6.48,6.3,6.39,165320.0
2017-11-03,6.35,6.4,6.15,6.2,462560.0
2017-11-06,6.2,6.3,6.19,6.29,893890.0
2017-11-07,6.29,6.47,6.2,6.47,652880.0
2017-11-08,6.45,6.64,6.4,6.55,706400.0
2017-11-09,6.55,6.56,6.45,6.55,700320.0
2017-11-10,6.55,6.57,6.4,6.48,266590.0
2017-11-13,6.4,6.52,6.4,6.52,176490.0
2017-11-14,6.52,6.55,6.35,6.44,729560.0
2017-11-15,6.6,6.6,6.37,6.6,1409050.0
2017-11-16,6.61,6.72,6.55,6.7,788570.0
2017-11-17,6.71,6.75,6.58,6.65,385230.0
2017-11-20,6.65,6.68,6.54,6.6,478850.0
2017-11-21,6.6,6.76,6.47,6.6,682310.0
2017-11-22,6.6,6.67,6.45,6.6,333310.0
2017-11-23,6.61,6.64,6.5,6.6,185790.0
2017-11-24,6.6,6.65,6.4,6.65,562570.0
2017-11-27,6.61,6.75,6.45,6.7,1291510.0
2017-11-28,6.67,6.7,6.47,6.6,311040.0
2017-11-29,6.6,6.65,6.38,6.6,254850.0
2017-11-30,6.6,6.65,6.48,6.6,175640.0
2017-12-01,6.6,6.63,6.49,6.6,236730.0
2017-12-04,6.6,6.65,6.48,6.59,232820.0
2017-12-05,6.55,6.56,6.48,6.55,765440.0
2017-12-06,6.55,6.57,6.45,6.57,343450.0
2017-12-07,6.5,6.55,6.4,6.55,470150.0
2017-12-08,6.53,6.54,6.43,6.5,189510.0
2017-12-11,6.4,6.49,6.28,6.28,258870.0
2017-12-12,6.3,6.4,6.25,6.4,234120.0
2017-12-13,6.35,6.48,6.3,6.46,1645020.0
2017-12-14,6.4,6.46,6.36,6.45,345240.0
2017-12-15,6.42,6.6,6.37,6.59,1176560.0
2017-12-18,6.65,6.95,6.65,6.95,1798510.0
2017-12-19,7.0,7.28,7.0,7.23,2117640.0
2017-12-20,7.1,7.2,6.9,7.0,498190.0
2017-12-21,6.8,7.0,6.58,6.66,354790.0
2017-12-22,6.62,6.69,6.2,6.66,1473080.0
2017-12-25,6.66,6.7,6.39,6.5,263060.0
2017-12-26,6.5,6.65,6.3,6.5,581890.0
2017-12-27,6.47,6.52,6.3,6.45,498320.0
2017-12-28,6.4,6.53,6.27,6.47,555100.0
2017-12-29,6.47,6.55,6.3,6.47,369080.0
2018-01-02,6.47,6.55,6.3,6.38,408480.0
2018-01-03,6.38,6.42,6.23,6.38,1357170.0
2018-01-04,6.4,6.6,6.26,6.6,703780.0
2018-01-05,6.61,6.69,6.48,6.65,410620.0
2018-01-08,6.6,6.8,6.5,6.8,791920.0
2018-01-09,6.8,6.8,6.45,6.45,1343980.0
2018-01-10,6.35,6.46,6.28,6.46,309470.0
2018-01-11,6.4,6.46,6.01,6.4,593580.0
2018-01-12,6.4,6.41,6.22,6.39,202380.0
2018-01-15,6.35,6.39,6.3,6.35,295220.0
2018-01-16,6.3,6.35,6.25,6.27,656420.0
2018-01-17,6.21,6.4,6.2,6.37,921120.0
2018-01-18,6.35,6.45,6.2,6.4,853240.0
2018-01-19,6.4,6.41,6.25,6.25,291140.0
2018-01-22,6.3,6.4,6.25,6.31,178170.0
2018-01-25,6.25,6.34,6.2,6.34,260200.0
2018-01-26,6.3,6.39,6.25,6.39,280680.0
2018-01-29,6.4,6.42,6.32,6.4,593010.0
2018-01-30,6.35,6.37,6.3,6.35,298400.0
2018-01-31,6.32,6.35,6.27,6.28,164430.0
2018-02-01,6.28,6.28,6.18,6.23,185080.0
2018-02-02,6.2,6.25,6.15,6.2,281420.0
2018-02-05,6.2,6.2,6.06,6.06,295030.0
2018-02-06,6.2,6.2,5.64,6.2,1227620.0
2018-02-07,6.21,6.33,6.16,6.24,829350.0
2018-02-08,6.21,6.24,5.81,6.2,1036240.0
2018-02-09,5.77,6.2,5.77,6.2,1348810.0
2018-02-12,6.2,6.21,6.0,6.16,196980.0
2018-02-13,6.16,6.2,5.87,6.15,186990.0
2018-02-21,6.15,6.16,6.05,6.1,207340.0
2018-02-22,6.1,6.15,6.08,6.15,249660.0
2018-02-23,6.15,6.2,6.1,6.1,159590.0
2018-02-26,6.13,6.18,6.05,6.13,208720.0
2018-02-27,6.13,6.13,6.07,6.1,121890.0
2018-02-28,6.1,6.14,6.0,6.1,204920.0
2018-03-01,6.15,6.15,6.0,6.1,230340.0
2018-03-02,6.09,6.14,6.0,6.14,181420.0
2018-03-05,6.12,6.2,6.12,6.16,710130.0
2018-03-06,6.15,6.19,6.1,6.18,846650.0
2018-03-07,6.16,6.2,6.16,6.2,542510.0
2018-03-08,6.18,6.2,6.15,6.2,359260.0
2018-03-09,6.2,6.35,6.17,6.3,864790.0
2018-03-12,6.72,6.74,6.3,6.72,2189780.0
2018-03-13,6.72,6.75,6.5,6.6,515750.0
2018-03-14,6.59,6.59,6.4,6.49,408490.0
2018-03-15,6.4,6.47,6.04,6.2,903040.0
2018-03-16,6.0,6.13,5.8,6.0,382370.0
2018-03-19,5.87,6.0,5.85,5.87,426560.0
2018-03-20,5.87,5.91,5.83,5.91,377460.0
2018-03-21,5.87,6.1,5.87,5.9,263820.0
2018-03-22,5.9,6.05,5.89,6.05,1373980.0
2018-03-23,5.9,6.0,5.9,6.0,148820.0
2018-03-26,5.95,6.1,5.9,6.0,361440.0
2018-03-27,6.0,6.04,5.95,6.0,355500.0
2018-03-28,5.96,6.04,5.96,6.04,1022800.0
2018-03-29,6.04,6.05,5.95,6.0,157770.0
2018-03-30,6.0,6.07,5.9,6.0,108400.0
2018-04-02,5.95,6.02,5.95,6.02,37330.0
2018-04-03,6.02,6.02,5.85,5.99,133690.0
2018-04-04,5.99,6.0,5.9,6.0,122560.0
2018-04-05,6.0,6.0,5.92,6.0,159860.0
2018-04-06,5.95,6.05,5.91,6.0,74510.0
2018-04-09,6.0,6.04,5.92,6.0,122820.0
2018-04-10,6.0,6.0,5.9,5.99,249300.0
2018-04-11,5.95,6.1,5.85,6.1,194330.0
2018-04-12,6.1,6.18,5.95,6.1,105070.0
2018-04-13,6.1,6.15,5.9,6.09,110140.0
2018-04-16,5.95,6.1,5.9,6.07,121090.0
2018-04-17,6.08,6.08,5.96,6.07,104300.0
2018-04-18,6.07,6.07,5.95,6.05,64590.0
2018-04-19,6.05,6.06,5.9,6.06,217480.0
2018-04-20,5.95,6.06,5.95,6.04,66630.0
2018-04-23,6.04,6.05,5.9,6.04,55180.0
2018-04-24,6.04,6.04,5.9,6.0,110910.0
2018-04-26,6.0,6.0,5.8,5.98,63690.0
2018-04-27,5.95,5.98,5.57,5.97,106830.0
