date,open,high,low,close,klgdkl
2010-01-04,13.3,13.7,13.3,13.7,62400.0
2010-01-05,14.2,14.3,13.7,13.8,118340.0
2010-01-06,13.8,14.0,13.4,13.4,125960.0
2010-01-07,13.5,14.0,13.4,14.0,260140.0
2010-01-08,14.5,14.6,13.5,13.5,97560.0
2010-01-11,13.9,13.9,13.4,13.7,41710.0
2010-01-12,13.5,14.0,13.1,13.1,112060.0
2010-01-13,13.1,13.7,12.6,13.5,172690.0
2010-01-14,14.0,14.0,13.7,14.0,181250.0
2010-01-15,14.0,14.0,13.4,13.4,36920.0
2010-01-18,13.5,13.5,12.8,12.8,129370.0
2010-01-19,12.6,13.3,12.6,13.1,48250.0
2010-01-20,13.1,13.1,12.5,12.9,99840.0
2010-01-21,12.5,13.5,12.5,13.4,240480.0
2010-01-22,13.4,13.7,12.8,13.5,99050.0
2010-01-25,13.3,14.0,13.3,13.9,228210.0
2010-01-26,14.0,14.5,14.0,14.5,390590.0
2010-01-27,15.2,15.2,15.0,15.2,1282210.0
2010-01-28,15.1,15.4,14.6,15.2,381020.0
2010-01-29,14.9,15.4,14.6,15.2,373830.0
2010-02-01,14.7,15.9,14.7,15.9,998960.0
2010-02-02,16.5,16.5,15.7,15.7,831250.0
2010-02-03,15.7,15.7,15.1,15.5,231350.0
2010-02-04,15.5,15.7,15.0,15.5,226380.0
2010-02-05,15.0,15.4,14.8,14.8,505860.0
2010-02-08,14.5,15.3,14.4,15.0,228270.0
2010-02-09,14.8,15.0,14.4,14.4,130420.0
2010-02-10,14.8,14.8,14.4,14.6,126060.0
2010-02-11,14.6,15.3,14.6,15.3,280570.0
2010-02-12,16.0,16.0,15.5,16.0,1097690.0
2010-02-22,16.0,16.8,15.5,16.7,551870.0
2010-02-23,16.3,16.3,15.9,15.9,468860.0
2010-02-24,15.5,16.3,15.5,15.8,314340.0
2010-02-25,16.0,16.2,15.7,15.7,185590.0
2010-02-26,15.7,15.9,15.5,15.8,155210.0
2010-03-01,15.9,16.2,15.8,15.8,280050.0
2010-03-02,16.0,16.0,15.6,15.6,247690.0
2010-03-03,15.6,15.8,15.4,15.7,310960.0
2010-03-04,16.0,16.4,15.9,15.9,460060.0
2010-03-05,15.9,16.0,15.7,15.9,237880.0
2010-03-08,16.1,16.6,15.9,16.3,337150.0
2010-03-09,16.2,16.8,16.2,16.4,322400.0
2010-03-10,16.4,16.6,16.0,16.0,367730.0
2010-03-11,16.2,16.4,16.0,16.2,383950.0
2010-03-12,16.2,16.3,16.0,16.1,218300.0
2010-03-15,16.4,16.4,16.0,16.2,344960.0
2010-03-16,16.2,16.2,15.7,15.7,380370.0
2010-03-17,15.7,15.9,15.4,15.4,218190.0
2010-03-18,15.6,16.1,15.3,16.1,406950.0
2010-03-19,16.5,16.9,16.2,16.9,1762800.0
2010-03-22,17.0,17.2,16.4,16.4,351590.0
2010-03-23,16.4,16.4,16.0,16.1,105330.0
2010-03-24,16.0,16.2,15.7,16.2,248880.0
2010-03-25,15.8,16.0,15.5,15.6,512640.0
2010-03-26,15.4,15.6,15.2,15.3,327640.0
2010-03-29,15.3,16.0,15.3,16.0,431470.0
2010-03-30,16.0,16.0,15.6,15.7,183970.0
2010-03-31,15.7,15.9,15.4,15.4,210200.0
2010-04-01,15.7,15.7,15.4,15.7,177900.0
2010-04-02,15.5,15.7,15.4,15.5,234690.0
2010-04-05,15.6,16.1,15.6,15.9,337120.0
2010-04-06,16.2,16.2,15.9,15.9,395330.0
2010-04-07,16.1,16.6,16.0,16.6,1336040.0
2010-04-08,17.4,17.4,17.0,17.4,1270140.0
2010-04-09,17.4,17.5,16.9,16.9,518930.0
2010-04-12,16.8,16.8,16.2,16.4,445330.0
2010-04-13,16.2,16.6,16.1,16.1,506190.0
2010-04-14,16.2,16.4,16.0,16.2,381110.0
2010-04-15,16.5,16.7,16.3,16.6,239890.0
2010-04-16,16.6,17.4,16.6,17.0,743220.0
2010-04-19,16.8,16.9,16.3,16.6,291310.0
2010-04-20,16.6,16.7,16.3,16.3,311530.0
2010-04-21,16.6,16.6,16.3,16.3,296840.0
2010-04-22,16.3,17.0,16.3,16.8,611530.0
2010-04-26,16.8,17.0,16.6,16.6,222760.0
2010-04-27,16.6,16.7,16.3,16.4,143320.0
