date,open,high,low,close,klgdkl
2010-01-04,60.5,62.5,60.5,61.0,4940.0
2010-01-05,61.0,61.0,59.0,59.0,9050.0
2010-01-06,58.5,58.5,57.0,57.0,5700.0
2010-01-07,57.0,57.0,56.0,57.0,6840.0
2010-01-08,57.5,59.0,57.5,58.0,20530.0
2010-01-11,58.0,58.5,58.0,58.0,11550.0
2010-01-12,57.5,58.0,56.5,56.5,20400.0
2010-01-13,56.5,56.5,55.0,55.0,4990.0
2010-01-14,56.0,56.0,56.0,56.0,7810.0
2010-01-15,57.5,57.5,55.0,55.0,1840.0
2010-01-18,57.0,57.0,53.0,53.0,3960.0
2010-01-19,54.0,54.0,53.0,54.0,4010.0
2010-01-20,56.0,56.0,53.0,53.0,2800.0
2010-01-21,53.0,53.5,52.0,52.0,4660.0
2010-01-22,53.0,53.0,51.0,51.0,5020.0
2010-01-25,52.5,52.5,50.0,50.0,4570.0
2010-01-26,52.5,52.5,52.0,52.5,8230.0
2010-01-27,54.0,54.0,51.5,53.5,980.0
2010-01-28,53.0,53.5,53.0,53.0,1440.0
2010-01-29,53.0,53.0,52.0,52.0,4080.0
2010-02-01,52.0,52.5,51.0,52.0,2500.0
2010-02-02,51.5,51.5,51.5,51.5,4680.0
2010-02-03,52.5,52.5,52.0,52.5,2410.0
2010-02-04,52.5,54.0,52.5,54.0,1540.0
2010-02-05,52.0,52.0,52.0,52.0,760.0
2010-02-08,51.0,52.5,51.0,52.5,1900.0
2010-02-09,52.0,53.0,52.0,53.0,3030.0
2010-02-10,52.5,53.0,52.0,53.0,2640.0
2010-02-11,52.5,53.0,52.5,53.0,370.0
2010-02-12,51.0,53.0,51.0,53.0,270.0
2010-02-22,53.0,53.0,53.0,53.0,930.0
2010-02-23,52.5,52.5,51.5,51.5,3900.0
2010-02-24,50.5,51.5,50.5,51.5,3110.0
2010-02-25,52.5,52.5,51.5,51.5,3980.0
2010-02-26,52.5,52.5,51.5,52.0,1830.0
2010-03-01,52.0,52.5,52.0,52.0,7100.0
2010-03-02,52.0,52.0,51.5,51.5,970.0
2010-03-03,51.5,52.0,51.0,51.0,3200.0
2010-03-04,51.0,52.0,50.5,52.0,8890.0
2010-03-05,52.0,52.0,50.0,51.5,7320.0
2010-03-08,52.0,52.0,51.5,51.5,2900.0
2010-03-09,51.5,52.0,51.0,52.0,10240.0
2010-03-10,52.0,52.0,51.5,52.0,4700.0
2010-03-11,52.0,54.5,52.0,54.5,29160.0
2010-03-12,56.5,57.0,56.0,57.0,21570.0
2010-03-15,57.0,57.0,56.0,57.0,7180.0
2010-03-16,56.5,56.5,54.5,55.0,5550.0
2010-03-17,54.0,56.0,54.0,56.0,9520.0
2010-03-18,56.0,56.5,55.0,56.0,6090.0
2010-03-19,55.0,55.0,55.0,55.0,1600.0
2010-03-22,55.5,55.5,53.5,55.0,1290.0
2010-03-23,55.5,55.5,54.5,55.5,20730.0
2010-03-24,55.5,55.5,54.0,54.0,3050.0
2010-03-25,54.0,54.0,53.0,53.5,3150.0
2010-03-26,53.0,53.5,52.0,52.0,3000.0
2010-03-29,53.0,53.0,53.0,53.0,3180.0
2010-03-30,55.5,55.5,53.0,53.5,4570.0
2010-03-31,53.5,53.5,52.0,52.0,2230.0
2010-04-01,52.0,53.0,51.5,53.0,3660.0
2010-04-02,53.0,53.5,53.0,53.5,2950.0
2010-04-05,53.0,53.5,52.5,52.5,4620.0
2010-04-06,52.0,53.0,52.0,53.0,5170.0
2010-04-07,52.0,53.0,52.0,53.0,2200.0
2010-04-08,52.0,52.5,52.0,52.5,5620.0
2010-04-09,52.5,52.5,51.5,52.5,12910.0
2010-04-12,52.5,52.5,52.0,52.0,2580.0
2010-04-13,51.5,52.0,51.5,52.0,10840.0
2010-04-14,52.0,52.0,51.5,52.0,1500.0
2010-04-15,50.0,51.5,50.0,50.5,25820.0
2010-04-16,51.5,51.5,50.5,51.0,70910.0
2010-04-19,51.5,52.5,51.0,51.0,11020.0
2010-04-20,51.0,51.5,50.5,50.5,23240.0
2010-04-21,51.0,51.0,50.5,50.5,3020.0
