date,open,high,low,close,klgdkl
2010-01-04,59.5,60.5,59.5,60.5,29700.0
2010-01-05,63.5,63.5,62.5,63.5,80310.0
2010-01-06,61.0,64.0,60.5,64.0,46480.0
2010-01-07,64.0,65.0,64.0,64.0,38770.0
2010-01-08,66.0,66.5,64.0,64.0,57590.0
2010-01-11,64.0,64.0,61.5,62.0,16210.0
2010-01-12,60.0,61.5,59.5,59.5,40480.0
2010-01-13,57.5,62.0,57.5,60.0,17820.0
2010-01-14,62.5,62.5,61.5,61.5,39280.0
2010-01-15,60.0,62.0,60.0,60.5,12110.0
2010-01-18,60.5,60.5,59.0,59.0,33270.0
2010-01-19,59.5,59.5,59.5,59.5,3000.0
2010-01-20,60.0,60.0,59.5,59.5,9940.0
2010-01-21,59.5,62.0,59.0,62.0,101920.0
2010-01-22,59.0,61.0,59.0,59.0,8980.0
2010-01-25,59.0,61.0,58.5,61.0,5120.0
2010-01-26,63.0,64.0,61.0,64.0,76740.0
2010-01-27,65.5,65.5,63.0,63.5,28060.0
2010-01-28,62.0,62.0,62.0,62.0,5160.0
2010-01-29,62.0,65.0,62.0,65.0,37100.0
2010-02-01,66.5,68.0,65.5,68.0,119190.0
2010-02-02,71.0,71.0,69.0,71.0,177360.0
2010-02-03,74.0,74.0,73.0,73.0,148700.0
2010-02-04,72.0,72.0,71.0,72.0,87250.0
2010-02-05,69.5,71.0,68.5,68.5,133670.0
2010-02-08,68.5,70.0,68.5,70.0,36500.0
2010-02-09,67.0,70.0,67.0,68.5,80500.0
2010-02-10,70.0,71.5,69.0,71.5,88010.0
2010-02-11,72.0,72.0,70.5,70.5,16300.0
2010-02-12,73.0,73.5,70.5,72.5,27850.0
2010-02-22,72.5,74.0,70.0,74.0,24180.0
2010-02-23,72.0,73.5,72.0,73.0,67300.0
2010-02-24,72.0,73.0,69.5,69.5,47270.0
2010-02-25,70.0,71.0,70.0,70.0,21970.0
2010-02-26,71.0,71.0,69.0,69.0,26540.0
2010-03-01,71.0,71.0,70.0,70.0,35480.0
2010-03-02,71.0,73.5,70.5,70.5,31610.0
2010-03-03,71.0,71.0,70.0,71.0,52400.0
2010-03-04,72.0,72.0,70.0,70.0,23370.0
2010-03-05,70.0,71.0,70.0,70.0,60130.0
2010-03-08,72.0,73.5,72.0,72.0,45020.0
2010-03-09,74.5,74.5,71.5,72.0,63830.0
2010-03-10,72.0,73.5,72.0,73.5,56190.0
2010-03-11,71.5,72.0,71.5,72.0,35010.0
2010-03-12,72.0,72.0,71.5,72.0,70420.0
2010-03-15,73.0,73.0,71.5,72.0,50440.0
2010-03-16,71.5,72.0,71.0,71.0,64400.0
