date,open,high,low,close,klgdkl
2010-01-04,9.6,9.7,9.5,9.7,21710.0
2010-01-05,10.1,10.1,9.9,10.1,43170.0
2010-01-06,9.8,10.5,9.8,10.2,6920.0
2010-01-07,10.2,10.2,9.7,9.7,7030.0
2010-01-08,9.7,9.9,9.5,9.5,4640.0
2010-01-11,9.5,9.7,9.1,9.7,14180.0
2010-01-12,9.7,9.8,9.3,9.3,11460.0
2010-01-13,9.3,9.5,9.0,9.3,7330.0
2010-01-14,9.2,9.5,9.0,9.0,11570.0
2010-01-15,9.0,9.0,8.9,8.9,5680.0
2010-01-18,9.0,9.0,8.5,8.5,9070.0
2010-01-19,8.5,8.8,8.5,8.8,7650.0
2010-01-20,8.8,8.8,8.5,8.5,6580.0
2010-01-21,8.3,8.7,8.3,8.4,820.0
2010-01-22,8.1,8.8,8.1,8.1,1360.0
2010-01-25,7.9,8.2,7.9,8.2,3320.0
2010-01-26,8.6,8.6,8.2,8.6,6600.0
2010-01-27,8.3,8.9,8.3,8.3,3120.0
2010-01-28,7.9,8.7,7.9,8.1,4220.0
2010-01-29,8.0,8.1,7.9,8.1,13660.0
2010-02-01,7.8,8.1,7.7,8.1,7250.0
2010-02-02,8.2,8.2,8.1,8.1,3170.0
2010-02-03,8.1,8.3,8.1,8.3,3540.0
2010-02-04,8.5,8.5,8.3,8.5,3730.0
2010-02-05,8.5,8.5,8.2,8.5,6480.0
2010-02-08,8.1,8.3,8.1,8.3,1040.0
2010-02-09,8.5,8.5,7.9,7.9,4030.0
2010-02-10,7.9,8.1,7.9,8.1,1510.0
2010-02-11,7.8,8.1,7.8,8.0,11000.0
2010-02-12,8.1,8.1,7.8,7.9,12810.0
2010-02-22,7.6,7.6,7.6,7.6,24130.0
2010-02-23,7.3,7.3,7.3,7.3,4800.0
2010-02-24,7.0,7.0,7.0,7.0,3140.0
2010-02-25,6.7,6.7,6.7,6.7,2350.0
2010-02-26,6.4,6.4,6.4,6.4,5760.0
2010-03-01,6.1,6.1,6.1,6.1,5000.0
2010-03-02,5.8,5.8,5.8,5.8,69080.0
2010-03-03,5.8,5.8,5.8,5.8,67130.0
2010-03-04,6.0,6.0,6.0,6.0,51630.0
2010-03-05,6.3,6.3,6.3,6.3,29610.0
2010-03-08,6.6,6.6,6.6,6.6,26490.0
2010-03-09,6.9,6.9,6.9,6.9,33920.0
2010-03-10,7.2,7.2,7.2,7.2,95280.0
2010-03-11,7.5,7.5,7.5,7.5,61350.0
2010-03-12,7.8,7.8,7.8,7.8,18530.0
2010-03-15,8.1,8.1,8.1,8.1,23580.0
2010-03-16,8.4,8.4,8.4,8.4,55880.0
2010-03-17,8.0,8.0,8.0,8.0,19950.0
2010-03-18,7.6,7.6,7.6,7.6,28470.0
2010-03-19,7.3,7.3,7.3,7.3,14680.0
2010-03-22,7.0,7.0,7.0,7.0,55670.0
2010-03-23,6.7,6.7,6.7,6.7,38170.0
2010-03-24,6.4,6.4,6.4,6.4,48260.0
2010-06-22,6.7,6.7,6.7,6.7,920.0
2010-06-23,7.0,7.0,7.0,7.0,2850.0
2010-06-24,7.3,7.3,7.3,7.3,16080.0
2010-06-25,7.6,7.6,7.6,7.6,2110.0
2010-06-28,7.9,7.9,7.9,7.9,23960.0
2010-06-29,8.2,8.2,8.2,8.2,27740.0
2010-06-30,8.6,8.6,8.6,8.6,70400.0
2010-07-01,9.0,9.0,9.0,9.0,19690.0
2010-07-02,9.4,9.4,9.4,9.4,26320.0
2010-07-05,9.8,9.8,9.8,9.8,9890.0
2010-07-06,10.2,10.2,10.2,10.2,67490.0
2010-07-07,10.7,10.7,10.7,10.7,121670.0
2010-07-08,10.2,10.2,10.2,10.2,36210.0
2010-07-09,9.7,9.7,9.7,9.7,10490.0
2010-07-12,9.3,9.3,9.3,9.3,2190.0
2010-07-13,8.9,8.9,8.9,8.9,103810.0
2010-07-14,9.3,9.3,9.3,9.3,70220.0
2010-07-15,9.7,9.7,9.7,9.7,59630.0
2010-07-16,9.3,9.3,9.3,9.3,16990.0
2010-07-19,9.0,9.0,9.0,9.0,29280.0
2010-07-20,9.4,9.4,9.4,9.4,42970.0
2010-07-21,9.4,9.4,9.4,9.4,22760.0
