date,open,high,low,close,klgdkl
2018-12-10,16.2,16.2,16.2,16.2,3200.0
2018-12-11,17.3,17.3,17.3,17.3,1100.0
2018-12-12,18.5,18.5,18.5,18.5,1000.0
2018-12-13,19.15,19.15,19.1,19.1,4860.0
2018-12-14,20.4,20.4,20.4,20.4,110.0
2018-12-17,19.0,19.0,19.0,19.0,600.0
2018-12-18,17.7,17.7,17.7,17.7,140.0
2018-12-19,17.7,17.7,17.7,17.7,0.0
2018-12-20,16.5,16.5,16.5,16.5,10.0
2018-12-21,15.35,15.35,15.35,15.35,2410.0
2018-12-24,14.3,14.3,14.3,14.3,10.0
2018-12-25,13.3,13.3,13.3,13.3,50.0
2018-12-26,12.4,12.4,12.4,12.4,520.0
2018-12-27,11.55,13.25,11.55,11.55,1070.0
2018-12-28,10.8,12.35,10.75,10.75,590.0
2019-01-02,11.5,11.5,10.0,11.5,1360.0
2019-01-03,12.25,12.25,12.25,12.25,70.0
2019-01-04,12.95,12.95,12.95,12.95,10.0
2019-01-07,12.95,12.95,12.95,12.95,0.0
2019-01-08,12.95,12.95,12.95,12.95,0.0
2019-01-09,12.95,12.95,12.95,12.95,0.0
2019-01-10,12.95,12.95,12.95,12.95,0.0
2019-01-11,12.95,12.95,12.95,12.95,0.0
2019-01-14,12.05,12.05,12.05,12.05,10.0
2019-01-15,12.05,12.05,12.05,12.05,0.0
2019-01-16,12.05,12.05,12.05,12.05,0.0
2019-01-17,12.05,12.05,12.05,12.05,0.0
2019-01-18,11.25,11.25,11.25,11.25,10.0
2019-01-21,10.5,10.5,10.5,10.5,130.0
2019-01-22,9.77,11.2,9.77,11.2,230.0
2019-01-23,11.2,11.2,11.2,11.2,0.0
2019-01-24,10.45,10.45,10.45,10.45,1000.0
2019-01-25,9.72,10.45,9.72,9.72,160.0
2019-01-28,9.04,10.3,9.04,10.3,480.0
2019-01-29,11.0,11.0,10.3,10.3,100.0
2019-01-30,10.45,10.45,10.45,10.45,10.0
2019-01-31,10.5,10.5,10.5,10.5,10.0
2019-02-01,10.5,10.5,10.5,10.5,0.0
2019-02-11,10.5,10.5,9.77,9.77,610.0
2019-02-12,9.09,10.4,9.09,10.4,1970.0
2019-02-13,11.1,11.1,10.7,10.7,110.0
2019-02-14,11.0,11.0,9.96,9.96,90.0
2019-02-15,9.27,10.2,9.27,9.27,680.0
2019-02-18,9.5,9.5,9.27,9.27,40.0
2019-02-19,8.63,8.64,8.63,8.64,570.0
2019-02-20,9.2,9.2,8.05,8.06,40.0
2019-02-21,7.5,8.6,7.5,8.5,50.0
2019-02-22,7.91,9.0,7.91,7.91,280.0
2019-02-25,7.36,8.46,7.36,8.4,30.0
2019-02-26,8.9,8.98,8.9,8.97,200.0
2019-02-27,9.57,9.57,9.4,9.5,300.0
2019-02-28,9.5,9.9,9.5,9.9,110.0
2019-03-01,9.95,10.0,9.5,10.0,680.0
