date,open,high,low,close,klgdkl
2019-06-06,160.0,165.0,159.0,159.3,31620.0
2019-06-07,159.6,160.0,158.0,158.0,18330.0
2019-06-10,158.4,159.0,154.0,154.0,17990.0
2019-06-11,155.0,155.0,152.0,153.0,16440.0
2019-06-12,154.0,154.0,150.0,150.0,36150.0
2019-06-13,149.0,149.0,146.0,146.0,21190.0
2019-06-14,146.0,151.0,146.0,151.0,16950.0
2019-06-17,151.0,153.0,148.0,152.5,18340.0
2019-06-18,153.0,153.0,144.0,150.0,6810.0
2019-06-19,149.0,151.0,148.0,149.0,7460.0
2019-06-20,132.8,132.8,126.2,126.8,26300.0
2019-06-21,128.2,129.0,128.1,128.2,7150.0
2019-06-24,129.0,129.0,128.5,129.0,7470.0
2019-06-25,129.0,131.0,129.0,130.5,15630.0
2019-06-26,130.0,131.0,129.6,130.0,6150.0
2019-06-27,130.7,131.1,129.6,130.7,9240.0
2019-06-28,131.3,131.3,130.1,131.3,8890.0
2019-07-01,134.6,134.8,131.3,134.6,16300.0
2019-07-02,136.0,137.9,134.6,136.0,21750.0
2019-07-03,136.0,136.9,135.0,136.3,9490.0
2019-07-04,136.0,137.5,136.0,136.0,12560.0
2019-07-05,136.0,137.0,136.0,136.9,12650.0
2019-07-08,137.2,137.2,135.4,135.4,11950.0
2019-07-09,137.0,137.0,135.2,135.5,10740.0
2019-07-10,136.0,136.0,135.2,135.5,9050.0
2019-07-11,135.5,136.4,135.5,136.0,7130.0
2019-07-12,136.0,136.5,135.2,136.0,7420.0
2019-07-15,136.0,136.0,134.6,134.6,14510.0
2019-07-16,134.5,134.9,133.0,134.7,18020.0
2019-07-17,135.0,136.7,134.7,135.0,20890.0
2019-07-18,135.0,139.0,135.0,137.8,62290.0
2019-07-19,135.0,140.9,136.5,138.3,103740.0
2019-07-22,141.9,144.7,140.0,144.0,67800.0
2019-07-23,148.0,148.0,143.2,144.1,47050.0
2019-07-24,144.2,144.3,139.0,140.3,74550.0
2019-07-25,140.4,148.5,140.4,148.3,77300.0
2019-07-26,150.0,150.0,147.0,148.5,68140.0
2019-07-29,148.6,148.6,144.6,146.0,45160.0
2019-07-30,91.2,94.4,91.0,92.0,114490.0
2019-07-31,92.0,92.5,91.5,92.4,17460.0
2019-08-01,92.4,92.4,90.5,91.2,28020.0
2019-08-02,90.1,91.1,86.6,91.1,56870.0
2019-08-05,89.5,91.5,89.0,89.6,14910.0
2019-08-06,89.6,89.6,88.5,88.5,15800.0
2019-08-07,89.6,90.0,88.0,89.9,25210.0
2019-08-08,90.0,90.0,88.5,89.0,10340.0
2019-08-09,89.0,89.7,88.5,88.9,14530.0
2019-08-12,88.9,90.5,88.9,89.8,12190.0
2019-08-13,90.0,90.0,89.0,89.7,24030.0
2019-08-14,90.0,93.6,89.6,92.0,138820.0
2019-08-15,92.0,92.0,90.5,91.8,11580.0
2019-08-16,92.3,92.3,91.6,91.6,21720.0
2019-08-19,91.6,91.6,88.9,88.9,36730.0
2019-08-20,87.0,88.9,87.0,88.2,28020.0
2019-08-21,88.0,89.9,87.4,88.0,15670.0
2019-08-22,88.0,88.0,87.1,87.5,25510.0
2019-08-23,87.5,88.9,87.5,88.1,17840.0
2019-08-26,87.8,88.6,87.7,88.6,24070.0
2019-08-27,89.0,89.8,88.6,88.8,27500.0
2019-08-28,90.0,90.0,88.5,89.7,36340.0
2019-08-29,90.3,90.3,88.5,89.0,29000.0
2019-08-30,89.0,89.0,88.4,88.9,20240.0
2019-09-03,88.9,89.8,88.2,88.9,14770.0
2019-09-04,88.9,88.9,87.3,87.5,24520.0
2019-09-05,89.0,89.0,87.5,87.6,6200.0
2019-09-06,88.7,88.8,87.5,88.0,4530.0
2019-09-09,87.4,87.5,87.1,87.1,9450.0
2019-09-10,87.1,87.3,84.0,85.3,38030.0
2019-09-11,85.0,86.0,84.3,84.8,16610.0
2019-09-12,84.8,86.3,84.8,86.3,9660.0
2019-09-13,86.3,87.5,86.0,87.5,6620.0
2019-09-16,88.0,88.0,86.1,87.5,7070.0
2019-09-17,86.1,87.5,86.1,86.5,8070.0
2019-09-18,86.1,87.4,86.1,86.8,7280.0
2019-09-19,86.8,86.8,80.8,86.4,24640.0
2019-09-20,87.0,90.0,86.0,89.6,47990.0
2019-09-23,89.6,90.1,87.5,89.5,13970.0
2019-09-24,88.1,89.8,87.3,88.0,10350.0
2019-09-25,87.5,88.0,87.0,88.0,8960.0
2019-09-26,87.6,87.9,86.8,87.8,12860.0
2019-09-27,87.0,89.0,87.0,88.4,22980.0
2019-09-30,89.0,89.0,87.6,88.7,4930.0
2019-10-01,88.0,89.0,87.0,89.0,42180.0
2019-10-02,89.0,92.8,87.5,92.1,85690.0
2019-10-03,92.1,93.0,90.2,92.3,14030.0
2019-10-04,92.3,92.6,91.0,92.0,17850.0
2019-10-07,92.0,92.3,90.0,91.5,21630.0
2019-10-08,92.0,91.3,90.0,90.6,16150.0
2019-10-09,90.0,91.1,90.0,90.6,13160.0
2019-10-10,91.0,92.0,91.0,91.9,17340.0
2019-10-11,91.0,94.0,91.0,94.0,36310.0
2019-10-14,94.5,96.0,94.1,94.4,88820.0
2019-10-15,94.4,94.4,93.5,93.7,18180.0
2019-10-16,94.0,96.0,93.5,94.0,84370.0
2019-10-17,94.5,94.5,93.2,93.6,43000.0
2019-10-18,94.0,94.0,89.0,92.0,175570.0
2019-10-21,90.5,92.0,89.0,90.5,101020.0
2019-10-22,90.0,91.5,88.5,89.5,64750.0
2019-10-23,89.0,91.5,88.0,89.2,49240.0
2019-10-24,90.5,90.9,89.3,90.8,28490.0
2019-10-25,92.0,92.0,90.0,91.9,68300.0
2019-10-28,92.0,92.0,90.5,91.9,40680.0
2019-10-29,91.9,91.9,90.0,91.7,31000.0
2019-10-30,91.0,91.0,89.0,90.5,50170.0
2019-10-31,89.8,90.5,88.0,90.0,49910.0
2019-11-01,90.0,90.7,88.0,90.0,22680.0
2019-11-04,90.0,90.0,86.8,89.6,55210.0
2019-11-05,89.1,89.9,89.0,89.4,19040.0
2019-11-06,88.0,89.9,88.0,89.0,37950.0
2019-11-07,89.0,89.0,87.0,88.5,39970.0
2019-11-08,88.4,88.5,87.0,88.5,25870.0
2019-11-11,89.3,89.3,87.0,87.9,18380.0
2019-11-12,87.9,87.9,86.0,87.5,8060.0
2019-11-13,86.8,87.5,86.0,86.3,19200.0
2019-11-14,86.5,87.8,86.5,87.8,7740.0
2019-11-15,87.8,89.5,87.8,89.0,29600.0
2019-11-18,89.8,89.8,88.5,89.0,13000.0
2019-11-19,89.0,89.5,88.1,88.5,9920.0
2019-11-20,89.0,89.0,85.2,87.5,36770.0
2019-11-21,87.5,88.0,86.5,87.5,4430.0
2019-11-22,87.0,88.5,86.9,87.0,3860.0
2019-11-25,87.5,87.5,86.1,86.4,8270.0
2019-11-26,86.2,86.8,85.1,85.6,13130.0
2019-11-27,85.5,85.9,85.5,85.5,5580.0
2019-11-28,85.5,85.8,85.1,85.5,8190.0
2019-11-29,85.5,86.0,85.0,85.0,14920.0
2019-12-02,85.6,85.6,82.1,82.3,25670.0
2019-12-03,83.3,84.5,82.0,82.0,23460.0
2019-12-04,83.3,84.5,82.6,84.4,6220.0
2019-12-05,84.5,84.5,82.0,82.0,15760.0
2019-12-06,83.0,83.0,80.5,82.3,21240.0
2019-12-09,82.9,82.9,82.4,82.5,2920.0
2019-12-10,82.3,82.3,81.0,81.5,6940.0
2019-12-11,81.5,82.4,81.5,82.3,5110.0
2019-12-12,82.1,82.5,82.1,82.5,1950.0
2019-12-13,82.8,82.8,82.0,82.1,2390.0
2019-12-16,82.4,82.5,82.4,82.4,1830.0
2019-12-17,81.0,82.0,80.5,80.5,9830.0
2019-12-18,81.4,81.4,80.0,80.9,3130.0
2019-12-19,80.5,80.9,78.0,80.3,10590.0
2019-12-20,79.3,80.3,78.0,78.0,18140.0
2019-12-23,78.0,80.8,75.0,75.8,35950.0
2019-12-24,75.9,78.0,75.9,78.0,13390.0
2019-12-25,79.3,79.5,78.1,79.3,13650.0
2019-12-26,79.3,79.4,79.0,79.0,16260.0
2019-12-27,78.0,79.3,78.0,79.3,4320.0
2019-12-30,78.6,79.5,78.6,79.0,4980.0
2019-12-31,77.4,79.2,77.4,78.1,8990.0
2020-01-02,78.5,79.5,78.5,79.4,4570.0
2020-01-03,79.5,81.0,79.2,81.0,12880.0
2020-01-06,83.9,84.0,80.0,82.0,30110.0
2020-01-07,82.0,83.2,82.0,82.0,10530.0
2020-01-08,82.0,82.0,80.1,80.1,8700.0
2020-01-09,80.1,82.0,79.0,81.0,10310.0
2020-01-10,80.1,81.0,79.1,80.5,10470.0
2020-01-13,80.5,80.5,79.1,79.2,7450.0
2020-01-14,80.3,80.3,78.5,78.5,7210.0
2020-01-15,78.2,80.0,78.2,79.1,10860.0
2020-01-17,79.0,80.2,79.0,80.0,14010.0
2020-01-20,79.2,80.9,78.0,80.9,19850.0
2020-01-21,79.2,79.2,78.0,78.5,45060.0
2020-01-22,78.0,79.5,77.8,79.0,65750.0
