date,open,high,low,close,klgdkl
2015-06-18,11.9,11.9,11.9,11.9,64300.0
2015-06-19,13.0,13.0,13.0,13.0,201000.0
2015-06-22,14.3,14.3,14.3,14.3,288000.0
2015-06-23,15.7,15.7,15.7,15.7,147500.0
2015-06-24,17.2,17.2,14.2,14.3,372900.0
2015-06-25,14.8,15.0,13.5,13.5,210600.0
2015-06-26,12.4,13.0,12.4,12.6,89200.0
2015-06-29,11.3,13.7,11.3,11.4,239900.0
2015-06-30,10.7,11.2,10.7,11.0,249800.0
2015-07-01,10.9,11.1,10.7,10.7,177300.0
2015-07-02,10.0,11.1,10.0,11.0,190700.0
2015-07-03,10.8,10.8,10.5,10.6,205100.0
2015-07-06,10.7,11.0,10.3,10.6,253400.0
2015-07-07,10.5,10.9,10.5,10.8,151500.0
2015-07-08,10.8,11.0,10.4,10.4,190400.0
2015-07-09,10.6,10.6,9.7,10.3,172800.0
2015-07-10,10.0,10.3,9.8,9.9,118800.0
2015-07-13,10.1,10.2,9.8,9.9,126500.0
2015-07-14,9.8,9.9,9.4,9.9,123900.0
2015-07-15,9.5,9.7,9.3,9.5,133700.0
2015-07-16,9.5,9.6,9.5,9.5,93800.0
2015-07-17,9.5,9.7,9.5,9.7,94700.0
2015-07-20,9.6,9.7,9.3,9.3,66600.0
2015-07-21,9.4,9.4,9.2,9.2,73200.0
2015-07-22,9.3,9.5,9.2,9.5,87400.0
2015-07-23,9.2,9.4,9.2,9.2,75200.0
2015-07-24,9.2,9.2,9.0,9.0,74500.0
2015-07-27,9.1,9.3,9.0,9.2,67200.0
2015-07-28,9.2,9.4,9.0,9.1,78200.0
2015-07-29,9.1,9.4,9.1,9.2,69400.0
2015-07-30,9.2,9.4,9.2,9.2,41600.0
2015-07-31,9.2,9.5,9.0,9.0,34300.0
2015-08-03,9.2,9.2,8.9,9.2,34900.0
2015-08-04,9.2,9.5,9.1,9.2,69000.0
2015-08-05,9.2,9.6,9.2,9.3,71300.0
2015-08-06,9.3,9.4,9.3,9.4,71100.0
2015-08-07,9.4,9.8,9.4,9.5,76800.0
2015-08-10,9.4,9.4,9.3,9.3,56600.0
2015-08-11,9.4,9.8,9.4,9.5,72900.0
2015-08-12,9.5,9.8,9.4,9.5,86300.0
2015-08-13,9.5,9.7,9.3,9.5,89300.0
2015-08-14,9.4,9.7,9.3,9.5,96200.0
2015-08-17,9.4,9.5,9.0,9.2,92300.0
2015-08-18,9.1,9.4,9.1,9.3,89800.0
2015-08-19,9.2,10.5,9.1,10.5,104600.0
2015-08-20,9.3,9.7,9.0,9.5,155000.0
2015-08-21,9.2,9.2,8.9,9.0,104000.0
2015-08-24,9.1,9.1,9.0,9.0,95200.0
2015-08-25,9.0,9.0,8.8,8.9,161700.0
2015-08-26,8.9,9.3,8.8,9.0,169300.0
2015-08-27,9.2,9.3,9.1,9.1,119400.0
2015-08-28,9.2,9.4,9.2,9.2,113600.0
2015-08-31,9.2,9.2,9.1,9.2,115700.0
2015-09-01,9.2,9.5,9.2,9.3,92900.0
2015-09-03,9.3,9.3,9.2,9.2,63100.0
2015-09-04,9.2,9.3,9.1,9.3,69800.0
2015-09-07,9.1,9.1,9.1,9.1,72500.0
2015-09-08,9.1,9.3,9.0,9.1,77900.0
2015-09-09,9.0,9.1,9.0,9.0,71900.0
2015-09-10,9.0,9.1,9.0,9.1,84200.0
2015-09-11,9.0,9.1,9.0,9.0,75700.0
2015-09-14,9.1,9.3,9.0,9.1,74100.0
2015-09-15,9.0,9.1,9.0,9.0,74000.0
2015-09-16,9.0,9.1,9.0,9.1,76200.0
2015-09-17,9.0,9.1,9.0,9.0,77900.0
2015-09-18,9.0,9.1,9.0,9.1,68100.0
2015-09-21,9.1,9.1,9.0,9.1,74400.0
2015-09-22,9.0,9.2,8.9,9.0,104800.0
2015-09-23,9.0,9.1,9.0,9.1,106800.0
2015-09-24,9.0,9.1,9.0,9.0,99700.0
2015-09-25,9.0,9.1,9.0,9.1,101900.0
2015-09-28,9.0,9.0,8.9,9.0,105200.0
2015-09-29,9.0,9.1,8.9,9.1,104700.0
2015-09-30,9.0,9.2,9.0,9.0,106200.0
2015-10-01,9.0,9.1,9.0,9.1,106600.0
2015-10-02,9.0,9.1,8.9,9.0,101100.0
2015-10-05,9.0,9.2,8.9,9.0,115300.0
2015-10-06,8.9,8.9,8.9,8.9,111100.0
2015-10-07,9.0,9.0,8.8,9.0,117300.0
2015-10-08,8.9,9.0,8.9,9.0,109200.0
2015-10-09,9.0,9.0,8.9,9.0,110200.0
2015-10-12,8.9,9.0,8.9,9.0,106000.0
2015-10-13,8.9,9.0,8.9,9.0,109700.0
2015-10-14,8.9,9.0,8.9,9.0,116400.0
2015-10-15,8.9,8.9,8.9,8.9,109600.0
2015-10-16,8.9,8.9,8.9,8.9,110900.0
2015-10-19,8.9,8.9,8.8,8.8,102500.0
2015-10-20,8.9,9.0,8.9,9.0,117500.0
2015-10-21,8.9,9.0,8.9,9.0,107900.0
2015-10-22,9.0,9.2,8.9,9.0,128700.0
2015-10-23,9.0,9.3,9.0,9.1,121400.0
2015-10-26,9.0,9.0,8.9,9.0,114500.0
2015-10-27,9.0,9.0,8.9,9.0,119200.0
2015-10-28,9.0,9.0,8.9,8.9,104600.0
2015-10-29,8.9,8.9,8.8,8.9,116300.0
2015-10-30,8.8,8.9,8.8,8.8,112300.0
2015-11-02,8.8,9.0,8.8,9.0,114800.0
2015-11-03,8.9,9.0,8.9,9.0,104100.0
2015-11-04,9.0,9.0,8.8,9.0,105700.0
2015-11-05,8.9,9.1,8.9,9.0,102400.0
2015-11-06,9.0,9.0,8.9,8.9,103500.0
2015-11-09,8.9,9.0,8.9,8.9,106600.0
2015-11-10,8.9,9.0,8.9,8.9,102300.0
2015-11-11,8.9,9.0,8.9,8.9,105800.0
2015-11-12,8.9,8.9,8.9,8.9,103100.0
2015-11-13,8.9,9.0,8.9,9.0,119700.0
2015-11-16,9.0,9.0,8.9,8.9,103900.0
2015-11-17,8.9,9.0,8.8,8.9,101900.0
2015-11-18,8.9,8.9,8.8,8.9,81100.0
2015-11-19,8.9,9.0,8.9,9.0,91900.0
2015-11-20,9.0,9.1,9.0,9.0,103100.0
2015-11-23,9.0,9.0,8.8,9.0,83900.0
2015-11-24,8.9,9.0,8.9,8.9,80600.0
2015-11-25,8.9,8.9,8.9,8.9,81600.0
2015-11-26,8.9,9.0,8.9,8.9,91800.0
2015-11-27,8.9,8.9,8.9,8.9,83300.0
2015-11-30,8.9,8.9,8.8,8.8,85700.0
2015-12-01,8.9,8.9,8.9,8.9,81300.0
2015-12-02,8.9,8.9,8.9,8.9,103700.0
2015-12-03,8.9,8.9,8.8,8.8,102500.0
2015-12-04,8.9,8.9,8.9,8.9,107700.0
2015-12-07,8.9,8.9,8.9,8.9,98100.0
2015-12-08,8.9,8.9,8.8,8.8,94100.0
2015-12-09,8.8,8.8,8.2,8.4,101900.0
2015-12-10,8.7,8.8,8.7,8.8,143600.0
2015-12-11,8.8,8.8,8.8,8.8,100900.0
2015-12-14,8.8,8.9,8.8,8.8,87200.0
2015-12-15,8.8,8.9,8.8,8.9,84200.0
2015-12-16,8.8,9.0,8.8,9.0,80800.0
2015-12-17,8.9,9.1,8.9,9.0,82200.0
2015-12-18,9.0,9.1,8.9,9.0,83500.0
2015-12-21,9.0,9.0,8.8,8.9,80200.0
2015-12-22,8.9,8.9,8.6,8.8,82800.0
2015-12-23,8.7,8.7,8.5,8.7,91600.0
2015-12-24,8.6,8.7,8.3,8.7,83200.0
2015-12-25,8.6,8.8,8.6,8.8,81300.0
2015-12-28,8.9,9.0,8.9,9.0,55600.0
2015-12-29,8.9,9.0,8.9,9.0,60600.0
2015-12-30,9.0,9.2,8.9,9.0,70600.0
2015-12-31,9.0,9.0,8.8,8.9,60400.0
2016-01-04,8.9,8.9,8.8,8.9,65300.0
2016-01-05,8.7,8.8,8.4,8.8,98400.0
2016-01-06,8.7,8.8,8.6,8.8,63000.0
2016-01-07,8.7,8.7,8.6,8.6,64900.0
2016-01-08,8.7,8.8,8.6,8.7,61600.0
2016-01-11,8.8,9.0,8.7,8.8,64300.0
2016-01-12,8.8,8.9,8.7,8.9,71900.0
2016-01-13,8.8,8.8,8.6,8.7,64500.0
2016-01-14,8.8,8.8,8.4,8.7,73500.0
2016-01-15,7.4,10.0,7.4,8.7,79900.0
2016-01-18,8.5,8.6,8.5,8.6,61800.0
2016-01-19,8.4,8.6,8.4,8.6,65600.0
2016-01-20,8.6,8.9,8.6,8.7,67500.0
2016-01-21,8.5,8.8,8.5,8.6,68000.0
2016-01-22,8.4,8.7,8.4,8.6,65800.0
2016-01-25,8.5,8.8,8.5,8.6,61600.0
