date,open,high,low,close,klgdkl
2017-07-17,39.0,39.0,32.5,32.5,75780.0
2017-07-18,33.5,33.5,31.0,31.0,7800.0
2017-07-19,30.0,30.2,29.5,29.5,13350.0
2017-07-20,28.5,28.5,27.45,27.45,35610.0
2017-07-21,25.9,27.55,25.9,27.55,11110.0
2017-07-24,27.4,29.45,27.4,29.45,11910.0
2017-07-25,30.0,31.0,29.5,29.5,29710.0
2017-07-26,30.8,30.8,29.0,29.0,28080.0
2017-07-27,28.6,29.0,28.5,28.7,25410.0
2017-07-28,28.0,28.0,27.5,27.5,13430.0
2017-07-31,27.5,27.8,27.3,27.3,4190.0
2017-08-01,27.3,27.5,27.2,27.3,20050.0
2017-08-02,27.3,27.5,27.3,27.5,4300.0
2017-08-03,27.8,28.0,27.5,27.5,6930.0
2017-08-04,27.3,27.5,27.3,27.5,1000.0
2017-08-07,27.0,27.0,26.6,26.7,13760.0
2017-08-08,26.05,26.7,26.05,26.05,6860.0
2017-08-09,26.05,26.05,25.3,25.3,10000.0
2017-08-10,26.0,26.0,25.9,25.9,240.0
2017-08-11,25.95,26.0,25.5,25.8,12470.0
2017-08-14,25.9,26.2,25.9,26.0,5000.0
2017-08-15,25.4,27.4,25.4,26.0,1220.0
2017-08-16,26.0,26.2,26.0,26.2,1900.0
2017-08-17,26.0,26.4,25.8,26.2,9910.0
2017-08-18,26.35,26.35,26.35,26.35,10.0
2017-08-21,25.8,25.8,25.4,25.5,19910.0
2017-08-22,25.1,25.2,25.1,25.1,3090.0
2017-08-23,25.1,25.2,25.0,25.0,6290.0
2017-08-24,25.5,25.5,24.7,24.9,13920.0
2017-08-25,24.6,24.6,24.3,24.3,7690.0
2017-08-28,24.05,24.4,24.0,24.4,13980.0
2017-08-29,24.4,24.4,24.4,24.4,0.0
2017-08-30,26.0,26.0,24.0,24.0,3330.0
2017-08-31,23.6,24.0,23.45,23.55,12510.0
2017-09-01,23.9,24.7,23.5,24.7,7850.0
2017-09-05,24.2,24.2,23.95,23.95,3200.0
2017-09-06,23.6,23.9,23.6,23.9,300.0
2017-09-07,23.9,23.9,23.9,23.9,0.0
2017-09-08,22.5,23.9,22.5,23.8,13860.0
2017-09-11,22.3,23.9,22.3,23.2,2430.0
2017-09-12,23.0,23.2,22.5,23.2,9770.0
2017-09-13,23.0,23.0,22.8,22.9,17780.0
2017-09-14,22.9,22.9,22.9,22.9,0.0
2017-09-15,22.7,22.8,22.5,22.8,9840.0
2017-09-18,22.7,22.7,22.4,22.7,8780.0
2017-09-19,24.2,24.2,22.4,23.5,4130.0
2017-09-20,23.5,23.5,23.5,23.5,0.0
2017-09-21,22.8,23.0,22.8,23.0,2010.0
2017-09-22,23.0,24.0,23.0,23.5,4160.0
2017-09-25,24.45,25.1,24.0,24.8,46460.0
2017-09-26,25.9,25.9,24.0,24.5,16040.0
2017-09-27,24.5,24.5,23.8,24.0,25510.0
2017-09-28,23.6,24.2,23.0,23.5,13160.0
2017-09-29,23.5,23.5,22.6,22.8,19990.0
2017-10-02,22.7,24.0,22.5,22.5,23470.0
2017-10-03,22.25,22.5,22.2,22.3,10310.0
2017-10-04,22.3,22.3,21.9,21.9,21600.0
2017-10-05,22.0,22.0,21.6,21.6,23340.0
2017-10-06,23.0,23.0,21.5,21.9,9590.0
2017-10-09,22.0,22.3,22.0,22.2,10060.0
2017-10-10,22.0,22.1,22.0,22.1,7650.0
2017-10-11,22.0,22.1,22.0,22.0,44000.0
2017-10-12,22.0,22.0,22.0,22.0,17230.0
2017-10-13,22.0,22.0,21.9,21.9,4030.0
2017-10-16,22.0,23.0,21.7,22.3,16300.0
2017-10-17,22.0,22.7,22.0,22.5,119110.0
2017-10-18,22.3,22.3,22.0,22.1,15830.0
2017-10-19,22.0,22.0,21.9,21.9,3370.0
2017-10-20,22.0,22.0,21.9,21.9,21080.0
2017-10-23,21.5,21.9,21.5,21.5,12220.0
2017-10-24,21.5,21.9,21.2,21.9,3180.0
2017-10-25,21.4,21.9,21.3,21.9,21570.0
2017-10-26,21.4,21.5,21.3,21.3,7310.0
2017-10-27,21.3,21.5,21.0,21.5,6180.0
2017-10-30,21.5,21.5,21.0,21.5,1870.0
2017-10-31,21.5,21.5,21.5,21.5,0.0
2017-11-01,21.0,21.4,20.6,21.4,5110.0
2017-11-02,20.7,20.7,20.0,20.0,6610.0
2017-11-03,20.0,21.0,20.0,20.0,22660.0
2017-11-06,20.0,20.9,20.0,20.9,160.0
2017-11-07,20.1,20.1,20.1,20.1,300.0
2017-11-08,20.9,20.9,20.4,20.4,90.0
2017-11-09,20.1,20.4,20.05,20.05,4400.0
2017-11-10,20.05,21.35,20.05,21.0,12810.0
2017-11-13,21.5,22.4,21.5,22.4,16400.0
2017-11-14,22.4,22.4,22.4,22.4,0.0
2017-11-15,22.4,22.0,21.0,21.4,2670.0
2017-11-16,22.0,22.0,22.0,22.0,180.0
2017-11-17,20.8,21.0,20.8,21.0,2610.0
2017-11-20,20.7,20.7,20.5,20.5,6810.0
2017-11-21,21.0,21.4,20.3,21.3,510.0
2017-11-22,21.0,21.3,20.7,21.3,1750.0
2017-11-23,20.5,21.0,20.0,21.0,6530.0
2017-11-24,21.0,21.0,20.5,20.5,11380.0
2017-11-27,20.4,20.5,20.3,20.5,1420.0
2017-11-28,20.5,21.0,20.5,21.0,4170.0
2017-11-29,21.0,21.0,20.6,20.7,4440.0
2017-11-30,21.0,21.8,21.0,21.8,9850.0
2017-12-01,21.5,21.5,20.8,20.8,41650.0
2017-12-04,20.8,21.0,20.5,20.8,17750.0
2017-12-05,20.55,21.0,20.5,20.7,10030.0
2017-12-06,21.0,21.0,20.7,20.8,15210.0
2017-12-07,20.9,21.0,20.8,20.95,25950.0
2017-12-08,20.65,21.0,20.65,21.0,1190.0
2017-12-11,20.9,20.9,20.8,20.9,3500.0
2017-12-12,21.0,21.0,20.6,20.9,5520.0
2017-12-13,20.9,21.0,20.9,21.0,820.0
2017-12-14,21.35,21.35,21.35,21.35,10.0
2017-12-15,20.95,21.3,20.95,21.3,27510.0
2017-12-18,21.25,21.3,21.1,21.3,5550.0
2017-12-19,21.0,21.3,21.0,21.3,4000.0
2017-12-20,20.8,21.3,20.8,21.3,360.0
2017-12-21,21.3,21.3,20.8,21.2,1820.0
2017-12-22,21.3,21.3,20.9,20.9,1340.0
2017-12-25,20.5,20.9,20.4,20.9,5210.0
2017-12-26,20.6,20.7,20.5,20.7,3700.0
2017-12-27,20.4,20.7,20.4,20.7,6280.0
2017-12-28,20.4,20.7,20.4,20.7,3900.0
2017-12-29,20.55,21.5,20.55,21.1,8020.0
2018-01-02,21.6,21.6,21.35,21.4,5980.0
2018-01-03,21.3,21.4,21.3,21.35,15080.0
2018-01-04,21.4,21.6,21.4,21.6,6070.0
2018-01-05,21.55,21.55,21.4,21.4,3310.0
2018-01-08,21.4,21.7,20.05,20.7,10080.0
2018-01-09,21.1,21.4,20.4,21.4,15290.0
2018-01-10,22.0,22.0,21.0,21.3,2180.0
2018-01-11,21.85,21.85,21.0,21.3,1010.0
2018-01-12,21.3,21.5,21.3,21.4,900.0
2018-01-15,21.3,21.3,20.5,21.2,17220.0
2018-01-16,20.6,21.0,20.6,21.0,1030.0
2018-01-17,21.0,21.0,20.9,20.9,4050.0
2018-01-18,21.0,21.0,20.85,20.9,11500.0
2018-01-19,21.0,21.3,20.9,21.3,10840.0
2018-01-22,21.0,21.3,21.0,21.3,6810.0
2018-01-25,21.0,21.4,21.0,21.3,16080.0
2018-01-26,21.0,21.2,20.6,20.6,3600.0
2018-01-29,21.3,21.3,20.5,21.2,23620.0
2018-01-30,21.2,21.25,21.2,21.25,9390.0
2018-01-31,21.9,21.9,21.5,21.6,12610.0
2018-02-01,21.7,21.7,21.7,21.7,10.0
2018-02-02,21.95,21.95,21.95,21.95,10.0
2018-02-05,21.1,21.7,21.0,21.45,2070.0
2018-02-06,20.4,21.5,19.95,20.4,13040.0
2018-02-07,20.7,21.1,20.7,21.0,23110.0
2018-02-08,21.0,21.2,21.0,21.0,28920.0
2018-02-09,20.6,21.1,20.6,20.7,1370.0
2018-02-12,20.7,21.4,19.3,21.4,23950.0
2018-02-13,21.2,21.4,21.2,21.4,1070.0
2018-02-21,21.4,21.65,21.4,21.65,220.0
2018-02-22,21.4,21.5,21.4,21.5,34080.0
2018-02-23,21.4,21.5,21.2,21.5,18560.0
2018-02-26,21.5,22.0,21.3,21.5,26780.0
2018-02-27,21.5,21.5,20.8,21.5,6290.0
2018-02-28,22.7,22.7,21.5,21.5,10920.0
2018-03-01,22.65,22.65,21.5,21.5,46210.0
2018-03-02,21.5,22.0,21.1,21.9,1430.0
2018-03-05,20.8,22.3,20.8,22.3,1030.0
2018-03-06,22.3,22.3,21.3,22.0,120.0
2018-03-07,22.25,22.25,21.4,21.45,6100.0
2018-03-08,22.4,22.4,21.7,22.0,3520.0
2018-03-09,22.4,22.4,21.9,22.4,21500.0
2018-03-12,22.8,23.95,21.3,22.8,8270.0
2018-03-13,22.8,22.8,22.1,22.7,1120.0
2018-03-14,22.0,22.0,22.0,22.0,140.0
2018-03-15,22.0,22.5,22.0,22.4,13840.0
2018-03-16,22.4,22.4,22.0,22.2,2700.0
2018-03-19,23.5,23.6,22.2,23.5,24950.0
2018-03-20,23.8,24.9,23.6,24.3,14950.0
2018-03-21,24.5,24.5,24.0,24.45,7930.0
2018-03-22,24.0,24.2,23.75,24.0,5140.0
2018-03-23,23.85,23.85,23.6,23.6,1280.0
2018-03-26,24.45,24.45,23.7,24.45,3660.0
2018-03-27,24.4,24.5,24.0,24.0,10070.0
2018-03-28,24.0,24.1,24.0,24.0,18360.0
2018-03-29,24.0,24.3,24.0,24.3,12230.0
2018-03-30,24.3,24.4,24.0,24.0,11290.0
2018-04-02,24.0,25.0,24.0,24.5,14260.0
2018-04-03,24.5,24.5,24.0,24.5,27450.0
2018-04-04,23.5,23.5,21.4,22.3,3770.0
2018-04-05,22.1,22.2,21.7,21.7,22490.0
2018-04-06,21.7,22.5,21.7,22.0,20430.0
2018-04-09,22.2,22.2,22.0,22.0,21090.0
2018-04-10,21.85,21.85,21.7,21.7,2100.0
2018-04-11,21.5,21.5,21.5,21.5,300.0
2018-04-12,21.0,21.9,21.0,21.9,1650.0
2018-04-13,21.4,21.8,20.4,21.8,3260.0
2018-04-16,20.9,21.0,20.3,21.0,67900.0
2018-04-17,20.5,21.0,20.5,21.0,4890.0
2018-04-18,21.0,21.1,20.9,21.1,5500.0
2018-04-19,21.0,21.1,21.0,21.0,54590.0
2018-04-20,20.5,21.0,20.5,21.0,1000.0
2018-04-23,21.6,21.6,20.5,21.6,1390.0
2018-04-24,21.6,21.6,21.6,21.6,0.0
2018-04-26,21.6,21.6,21.6,21.6,1170.0
2018-04-27,21.6,21.6,21.6,21.6,0.0
2018-05-02,21.6,21.6,21.6,21.6,0.0
2018-05-03,20.6,20.6,20.6,20.6,30.0
2018-05-04,21.2,21.2,21.2,21.2,30.0
2018-05-07,20.5,20.5,20.3,20.3,1170.0
