date,open,high,low,close,klgdkl
2015-06-23,24.0,24.0,18.4,18.4,3510.0
2015-06-24,19.0,19.6,17.5,17.5,5060.0
2015-06-25,18.6,18.7,18.0,18.7,2810.0
2015-06-26,19.1,19.1,17.5,17.5,8080.0
2015-06-29,16.5,16.5,16.4,16.4,2930.0
2015-06-30,16.4,16.4,15.6,15.6,7580.0
2015-07-01,16.6,16.6,16.6,16.6,100.0
2015-07-02,17.1,17.1,17.1,17.1,10.0
2015-07-03,17.5,17.5,16.8,16.8,7080.0
2015-07-06,16.8,16.8,16.8,16.8,0.0
2015-07-07,16.6,16.8,16.6,16.6,6570.0
2015-07-08,17.0,17.0,17.0,17.0,1000.0
2015-07-09,16.5,16.5,16.5,16.5,10.0
2015-07-10,16.5,16.6,16.5,16.5,5110.0
2015-07-13,16.5,17.1,16.0,17.0,6930.0
2015-07-14,16.1,17.0,16.1,17.0,420.0
2015-07-15,16.2,17.0,15.9,17.0,22010.0
2015-07-16,17.0,17.0,17.0,17.0,10.0
2015-07-17,16.0,17.5,16.0,17.5,1910.0
2015-07-20,17.5,17.5,17.5,17.5,10.0
2015-07-21,18.0,18.0,17.0,17.5,3560.0
2015-07-22,17.0,17.4,17.0,17.4,100.0
2015-07-23,17.4,17.4,17.4,17.4,0.0
2015-07-24,17.4,17.4,17.4,17.4,0.0
2015-07-27,17.4,17.4,17.4,17.4,0.0
2015-07-28,17.0,17.0,17.0,17.0,140.0
2015-07-29,17.0,17.0,17.0,17.0,0.0
2015-07-30,17.0,17.0,16.2,17.0,2810.0
2015-07-31,17.2,18.0,17.1,17.5,3210.0
2015-08-03,16.4,16.4,16.4,16.4,10.0
2015-08-04,17.0,17.0,15.6,15.6,40.0
2015-08-05,16.2,16.6,16.1,16.2,5910.0
2015-08-06,16.2,16.2,16.2,16.2,2560.0
2015-08-07,17.0,17.0,16.0,16.0,20.0
2015-08-10,16.7,16.8,16.7,16.8,5490.0
2015-08-11,16.8,17.0,16.8,16.8,1220.0
2015-08-12,17.0,17.2,17.0,17.0,550.0
2015-08-13,17.4,17.5,16.8,16.9,4270.0
2015-08-14,16.9,16.9,16.9,16.9,0.0
2015-08-17,16.8,16.8,16.8,16.8,500.0
2015-08-18,16.8,16.8,16.8,16.8,0.0
2015-08-19,16.8,16.8,16.8,16.8,0.0
2015-08-20,16.5,16.8,16.5,16.8,1300.0
2015-08-21,16.8,16.8,16.5,16.5,2500.0
2015-08-24,16.6,16.6,16.4,16.4,600.0
2015-08-25,16.4,16.4,16.4,16.4,500.0
2015-08-26,16.3,17.0,16.3,17.0,8310.0
2015-08-27,17.0,17.0,17.0,17.0,0.0
2015-08-28,16.8,16.8,16.8,16.8,1000.0
2015-08-31,16.8,16.8,16.8,16.8,3500.0
2015-09-01,17.2,17.5,16.9,16.9,6090.0
2015-09-03,16.5,16.5,16.5,16.5,10.0
2015-09-04,16.4,17.0,16.0,17.0,20350.0
2015-09-07,17.3,17.3,17.3,17.3,20.0
2015-09-08,17.3,17.3,17.2,17.2,180.0
2015-09-09,16.6,17.3,16.6,16.9,25770.0
2015-09-10,16.6,16.9,16.6,16.9,13820.0
2015-09-11,16.5,17.3,16.5,16.8,14190.0
2015-09-14,16.6,16.9,16.6,16.9,7010.0
2015-09-15,16.8,17.2,16.4,17.2,6720.0
2015-09-16,17.2,17.2,17.1,17.1,5010.0
2015-09-17,17.0,17.0,16.7,16.9,2930.0
2015-09-18,16.7,16.7,16.6,16.6,5410.0
2015-09-21,16.9,17.0,16.6,16.9,4880.0
2015-09-22,17.0,17.0,17.0,17.0,980.0
2015-09-23,16.9,16.9,16.8,16.9,7250.0
2015-09-24,16.9,16.9,16.7,16.7,4610.0
2015-09-25,16.5,17.0,16.5,17.0,6340.0
2015-09-28,17.0,17.0,17.0,17.0,10.0
2015-09-29,17.0,17.0,17.0,17.0,0.0
2015-09-30,17.0,17.0,16.0,16.0,110.0
2015-10-01,17.0,17.0,17.0,17.0,10.0
2015-10-02,17.2,17.2,16.0,16.0,21020.0
2015-10-05,16.0,16.0,16.0,16.0,0.0
2015-10-06,16.0,16.5,15.6,16.5,14940.0
2015-10-07,16.7,16.7,16.7,16.7,30.0
2015-10-08,17.1,17.1,17.1,17.1,20.0
2015-10-09,16.0,16.3,16.0,16.1,6010.0
2015-10-12,16.1,16.1,16.1,16.1,5000.0
2015-10-13,17.2,17.2,17.2,17.2,2000.0
2015-10-14,16.3,17.2,16.3,16.3,1540.0
2015-10-15,16.5,16.5,16.5,16.5,80.0
2015-10-16,16.9,16.9,16.1,16.9,4040.0
2015-10-19,16.9,16.9,16.9,16.9,150.0
2015-10-20,16.9,16.9,16.9,16.9,0.0
2015-10-21,16.9,16.9,16.9,16.9,0.0
2015-10-22,16.6,16.6,16.6,16.6,910.0
2015-10-23,17.0,17.0,17.0,17.0,10.0
2015-10-26,16.0,16.9,16.0,16.9,18130.0
2015-10-27,16.9,16.9,16.9,16.9,10.0
2015-10-28,16.9,16.9,16.5,16.5,4000.0
2015-10-29,16.5,16.5,16.3,16.3,8000.0
2015-10-30,16.5,16.5,16.5,16.5,10.0
2015-11-02,16.5,16.5,16.5,16.5,0.0
2015-11-03,16.5,16.5,16.5,16.5,0.0
2015-11-04,16.9,16.9,16.9,16.9,10.0
2015-11-05,16.2,16.9,16.0,16.9,1120.0
2015-11-06,16.2,16.2,16.0,16.2,400.0
2015-11-09,16.7,16.7,16.5,16.5,300.0
2015-11-10,16.5,16.5,16.5,16.5,0.0
2015-11-11,16.5,16.5,16.5,16.5,0.0
2015-11-12,16.0,16.5,16.0,16.3,2260.0
2015-11-13,16.4,16.5,16.4,16.5,1100.0
2015-11-16,16.5,16.5,16.5,16.5,10.0
2015-11-17,16.3,16.3,16.3,16.3,820.0
2015-11-18,16.2,16.3,16.1,16.3,880.0
2015-11-19,16.4,16.5,16.4,16.5,4300.0
2015-11-20,16.5,16.5,16.5,16.5,0.0
2015-11-23,16.5,16.5,16.5,16.5,0.0
2015-11-24,16.5,16.5,16.5,16.5,8000.0
2015-11-25,16.5,16.5,16.5,16.5,0.0
2015-11-26,16.5,16.8,16.5,16.8,2510.0
2015-11-27,16.8,16.8,16.8,16.8,0.0
2015-11-30,16.8,16.8,16.1,16.1,120.0
2015-12-01,16.1,16.1,16.1,16.1,0.0
2015-12-02,16.1,16.4,16.2,16.2,1000.0
2015-12-03,17.2,17.2,17.2,17.2,10.0
2015-12-04,16.4,16.4,16.4,16.4,20.0
2015-12-07,16.4,16.5,16.4,16.5,6990.0
2015-12-08,16.5,16.5,16.5,16.5,0.0
2015-12-09,16.5,16.5,16.5,16.5,8500.0
2015-12-10,16.5,16.5,16.5,16.5,0.0
2015-12-11,16.7,16.7,16.7,16.7,110.0
2015-12-14,16.7,16.7,16.7,16.7,0.0
2015-12-15,16.7,16.7,16.7,16.7,0.0
2015-12-16,16.7,16.7,16.7,16.7,0.0
2015-12-17,16.8,16.8,16.8,16.8,40.0
