date,open,high,low,close,klgdkl
2017-08-15,33.95,33.95,33.95,33.95,410.0
2017-08-16,36.3,36.3,36.3,36.3,10000.0
2017-08-17,38.8,38.8,38.8,38.8,20000.0
2017-08-18,41.5,41.5,38.8,41.5,573420.0
2017-08-21,43.7,44.4,43.0,44.4,169100.0
2017-08-22,46.1,47.5,46.0,47.5,265440.0
2017-08-23,45.0,47.5,44.2,44.2,131540.0
2017-08-24,41.15,41.9,41.15,41.15,185460.0
2017-08-25,39.5,40.8,38.4,39.0,193110.0
2017-08-28,38.7,41.7,38.7,41.7,77270.0
2017-08-29,41.7,41.7,40.2,40.6,60010.0
2017-08-30,40.2,40.5,39.0,40.0,42610.0
2017-08-31,40.0,40.0,38.7,39.2,82220.0
2017-09-01,39.1,39.5,38.7,39.1,33480.0
2017-09-05,39.1,39.1,38.1,38.3,49780.0
2017-09-06,38.1,39.0,38.1,38.1,31980.0
2017-09-07,38.0,38.5,37.9,38.0,33610.0
2017-09-08,37.8,37.9,36.8,36.8,48740.0
2017-09-11,36.4,36.8,34.25,34.25,83100.0
2017-09-12,35.5,36.6,34.4,36.6,44660.0
2017-09-13,36.3,36.5,35.0,36.0,5590.0
2017-09-14,36.15,36.15,35.6,35.8,23530.0
2017-09-15,35.15,36.0,35.15,35.8,28320.0
2017-09-18,35.8,35.8,35.25,35.6,18580.0
2017-09-19,36.3,37.5,36.0,36.4,22830.0
2017-09-20,36.4,38.9,36.4,38.15,122380.0
2017-09-21,38.85,38.85,38.0,38.35,33790.0
2017-09-22,38.35,38.5,36.0,38.2,25060.0
2017-09-25,38.0,38.0,37.35,37.35,20260.0
2017-09-26,37.3,38.0,37.15,37.6,13760.0
2017-09-27,37.6,37.6,37.15,37.15,12120.0
2017-09-28,37.15,37.45,36.15,36.15,65130.0
2017-09-29,36.2,37.0,36.0,36.5,25780.0
2017-10-02,36.5,36.85,36.5,36.8,13360.0
2017-10-03,36.8,37.0,36.0,36.95,12610.0
2017-10-04,36.85,37.0,36.2,37.0,10140.0
2017-10-05,36.6,37.0,36.5,36.9,9570.0
2017-10-06,36.35,36.9,36.2,36.8,8110.0
2017-10-09,36.3,37.4,36.2,36.7,11910.0
2017-10-10,36.8,36.8,36.0,36.0,17590.0
2017-10-11,36.0,36.4,35.8,35.8,19170.0
2017-10-12,35.7,36.3,35.3,35.3,14060.0
2017-10-13,35.0,35.3,34.65,35.15,25160.0
2017-10-16,35.0,35.5,34.8,35.0,23970.0
2017-10-17,34.9,36.0,34.9,35.8,17490.0
2017-10-18,35.8,36.5,35.8,36.3,27580.0
2017-10-19,36.3,36.8,36.2,36.75,34790.0
2017-10-20,36.8,39.3,36.8,39.0,178170.0
2017-10-23,41.2,41.5,38.5,41.2,134040.0
2017-10-24,41.2,41.2,40.0,40.5,142630.0
2017-10-25,40.5,43.3,39.8,42.0,240190.0
2017-10-26,42.0,43.3,40.7,40.8,77710.0
2017-10-27,40.8,41.5,40.5,41.2,25970.0
2017-10-30,41.2,41.2,40.0,40.3,82790.0
2017-10-31,40.2,41.0,39.5,40.75,50170.0
2017-11-01,40.75,40.75,40.0,40.5,25220.0
2017-11-02,40.05,40.9,39.5,39.5,42900.0
