date,open,high,low,close,klgdkl
2017-07-19,13.4,13.4,12.5,12.6,418940.0
2017-07-20,12.9,12.9,12.0,12.0,34190.0
2017-07-21,11.9,12.4,11.7,11.7,15160.0
2017-07-24,11.0,11.25,10.9,11.0,65070.0
2017-07-25,10.3,11.0,10.3,10.8,49620.0
2017-07-26,11.0,11.3,10.9,11.2,77330.0
2017-07-27,11.2,11.2,10.6,10.6,51760.0
2017-07-28,11.2,11.2,10.6,10.6,19460.0
2017-07-31,10.6,10.9,10.6,10.9,17130.0
2017-08-01,10.7,11.0,10.5,10.9,25420.0
2017-08-02,11.0,11.0,10.5,10.6,10930.0
2017-08-03,10.6,10.9,10.6,10.9,1620.0
2017-08-04,11.2,11.2,10.8,10.9,17950.0
2017-08-07,10.9,11.0,10.9,10.9,14400.0
2017-08-08,10.9,11.65,10.9,11.25,19120.0
2017-08-09,11.7,11.7,11.2,11.35,15550.0
2017-08-10,11.5,11.5,11.2,11.2,8910.0
2017-08-11,11.85,11.85,11.2,11.5,3320.0
2017-08-14,11.45,11.45,11.0,11.0,500.0
2017-08-15,11.0,11.1,11.0,11.1,36200.0
2017-08-16,10.85,11.0,10.8,10.8,1170.0
2017-08-17,10.7,10.7,10.7,10.7,1000.0
2017-08-18,10.6,10.7,10.6,10.7,3400.0
2017-08-21,10.6,10.6,10.5,10.5,110.0
2017-08-22,10.5,10.5,10.3,10.3,14010.0
2017-08-23,10.0,10.4,10.0,10.4,1200.0
2017-08-24,10.1,10.3,10.0,10.05,21890.0
2017-08-25,10.0,10.2,10.0,10.2,1120.0
2017-08-28,10.1,10.3,10.1,10.3,610.0
2017-08-29,10.5,10.5,10.2,10.2,4500.0
2017-08-30,10.2,10.2,10.1,10.1,4300.0
2017-08-31,10.1,10.1,10.1,10.1,5200.0
2017-09-01,10.7,10.7,10.3,10.3,24400.0
2017-09-05,10.5,10.5,10.15,10.15,3010.0
2017-09-06,10.1,10.3,10.1,10.3,8010.0
2017-09-07,10.3,10.3,10.25,10.25,16860.0
2017-09-08,10.0,10.3,10.0,10.0,11100.0
2017-09-11,10.0,10.0,9.6,9.6,2110.0
2017-09-12,9.9,10.25,9.9,10.2,4390.0
2017-09-13,10.2,10.35,10.2,10.35,3010.0
2017-09-14,10.3,10.3,10.05,10.3,1700.0
2017-09-15,10.2,10.3,10.2,10.2,8120.0
2017-09-18,10.2,10.2,10.2,10.2,20.0
2017-09-19,10.1,10.1,10.0,10.05,3380.0
2017-09-20,10.0,10.25,10.0,10.25,3700.0
2017-09-21,10.2,10.2,10.2,10.2,5400.0
2017-09-22,10.05,10.1,10.0,10.1,23400.0
2017-09-25,10.1,10.2,10.1,10.2,5320.0
2017-09-26,10.2,10.3,10.2,10.3,19290.0
2017-09-27,10.2,11.0,10.2,11.0,19220.0
2017-09-28,11.2,11.75,11.0,11.75,52530.0
2017-09-29,11.75,12.0,11.75,11.75,33950.0
2017-10-02,11.75,11.85,11.75,11.85,18560.0
2017-10-03,11.7,12.0,11.5,12.0,21380.0
2017-10-04,12.0,12.0,12.0,12.0,0.0
2017-10-05,11.9,12.0,11.6,11.75,11920.0
2017-10-06,11.75,11.75,11.75,11.75,7320.0
2017-10-09,12.0,12.0,11.7,11.7,4960.0
2017-10-10,11.9,11.9,11.8,11.8,120.0
2017-10-11,11.8,11.8,11.5,11.5,31010.0
2017-10-12,11.75,11.75,11.75,11.75,5000.0
2017-10-13,11.5,11.6,11.5,11.6,60.0
2017-10-16,11.0,11.6,11.0,11.5,220.0
2017-10-17,11.0,11.5,11.0,11.2,3250.0
2017-10-18,11.95,11.95,11.4,11.4,40.0
2017-10-19,11.15,11.7,11.15,11.7,190.0
2017-10-20,11.7,12.4,11.7,12.4,1000.0
2017-10-23,12.4,12.4,12.4,12.4,0.0
2017-10-24,11.55,11.55,11.55,11.55,30.0
2017-10-25,11.55,11.55,11.55,11.55,0.0
2017-10-26,11.55,11.55,11.55,11.55,0.0
2017-10-27,12.0,12.0,12.0,12.0,10.0
2017-10-30,11.55,11.55,11.2,11.55,3530.0
2017-10-31,12.0,12.0,11.2,11.4,2010.0
2017-11-01,12.0,12.0,11.5,11.5,20.0
2017-11-02,10.75,11.4,10.75,11.4,20500.0
2017-11-03,10.75,11.3,10.75,11.3,5200.0
2017-11-06,11.3,11.3,11.3,11.3,11370.0
2017-11-07,11.3,11.3,11.3,11.3,0.0
2017-11-08,11.3,11.3,11.3,11.3,0.0
2017-11-09,11.3,11.3,10.6,10.6,19820.0
2017-11-10,11.1,11.1,10.7,10.95,4050.0
2017-11-13,10.5,11.0,10.3,10.6,9810.0
2017-11-14,10.95,10.95,10.6,10.6,2520.0
2017-11-15,10.6,10.3,10.2,10.3,15010.0
2017-11-16,10.3,10.9,10.3,10.5,4020.0
2017-11-17,10.5,10.95,10.0,10.5,4530.0
2017-11-20,11.2,11.2,11.0,11.1,1110.0
2017-11-21,11.7,11.7,11.7,11.7,160.0
2017-11-22,10.9,11.3,10.9,11.3,2190.0
2017-11-23,11.0,11.0,10.6,10.6,7040.0
2017-11-24,11.1,11.1,10.6,10.6,1580.0
2017-11-27,10.6,11.0,10.6,11.0,1060.0
2017-11-28,10.8,10.8,10.4,10.4,21700.0
2017-11-29,10.5,10.9,10.5,10.5,13010.0
2017-11-30,10.5,10.8,10.1,10.15,8810.0
2017-12-01,10.5,10.8,10.5,10.5,2320.0
2017-12-04,10.2,10.6,10.0,10.6,9800.0
2017-12-05,10.8,10.8,10.4,10.5,7100.0
2017-12-06,10.0,10.0,9.8,10.0,11440.0
2017-12-07,10.5,10.5,10.5,10.5,310.0
2017-12-08,10.1,10.5,10.1,10.5,4000.0
2017-12-11,10.3,10.3,10.0,10.0,17920.0
2017-12-12,10.0,10.0,10.0,10.0,6500.0
2017-12-13,10.0,10.0,10.0,10.0,5000.0
2017-12-14,10.3,10.3,10.0,10.3,15220.0
2017-12-15,10.3,10.3,10.3,10.3,5000.0
2017-12-18,10.3,10.3,10.0,10.0,12260.0
2017-12-19,10.0,10.15,10.0,10.0,27430.0
2017-12-20,10.0,10.2,10.0,10.2,25930.0
2017-12-21,10.1,10.1,10.1,10.1,8780.0
2017-12-22,10.1,10.1,10.1,10.1,0.0
2017-12-25,10.0,10.0,10.0,10.0,6000.0
2017-12-26,9.6,10.0,9.6,9.9,10670.0
2017-12-27,9.9,9.9,9.9,9.9,0.0
2017-12-28,9.6,10.0,9.6,9.62,5100.0
2017-12-29,10.0,10.0,9.8,10.0,19290.0
2018-01-02,9.9,10.0,9.8,9.9,14910.0
2018-01-03,10.15,10.15,10.0,10.0,14010.0
2018-01-04,10.3,10.4,10.0,10.3,26140.0
2018-01-05,10.4,10.5,10.3,10.5,5130.0
2018-01-08,10.7,10.7,10.5,10.5,25080.0
2018-01-09,10.6,10.7,10.2,10.7,36240.0
2018-01-10,10.7,11.4,10.7,11.4,54980.0
2018-01-11,11.8,11.8,11.3,11.8,52190.0
2018-01-12,11.8,12.2,11.7,11.7,93260.0
2018-01-15,11.6,11.9,11.5,11.7,90890.0
2018-01-16,11.7,11.7,11.4,11.6,95170.0
2018-01-17,11.7,11.7,11.45,11.5,198400.0
2018-01-18,11.4,11.5,11.2,11.5,106520.0
2018-01-19,11.6,12.2,11.5,12.0,160030.0
2018-01-22,11.9,12.3,11.9,12.25,140500.0
2018-01-25,12.25,12.4,12.2,12.3,183730.0
2018-01-26,12.1,12.5,12.1,12.5,211390.0
2018-01-29,12.6,12.6,12.4,12.4,171870.0
2018-01-30,12.3,13.25,12.2,13.25,228610.0
2018-01-31,13.5,13.6,13.2,13.4,166480.0
2018-02-01,13.4,13.4,12.7,12.7,150830.0
2018-02-02,12.8,12.8,12.3,12.7,114840.0
2018-02-05,12.7,12.7,12.0,12.2,123970.0
2018-02-06,11.5,11.85,11.35,11.5,164180.0
2018-02-07,11.55,12.2,11.55,12.1,136130.0
2018-02-08,12.05,12.2,11.9,11.9,103290.0
2018-02-09,11.8,11.8,11.6,11.7,79130.0
2018-02-12,11.7,11.9,11.6,11.75,77530.0
2018-02-13,11.65,11.9,11.5,11.8,102440.0
2018-02-21,11.9,12.05,11.9,11.95,126110.0
2018-02-22,11.95,12.2,11.85,12.0,126010.0
2018-02-23,12.0,12.45,12.0,12.45,131330.0
2018-02-26,12.4,12.55,12.3,12.5,128670.0
2018-02-27,12.5,12.55,12.3,12.3,140790.0
2018-02-28,12.3,12.6,12.2,12.5,205710.0
2018-03-01,12.55,12.8,12.4,12.8,338680.0
2018-03-02,12.6,12.85,12.55,12.85,231780.0
2018-03-05,12.9,13.25,12.85,13.0,304860.0
2018-03-06,13.0,13.9,13.0,13.9,520510.0
2018-03-07,14.0,14.4,13.85,13.9,312250.0
2018-03-08,13.9,14.05,13.8,13.95,207050.0
2018-03-09,14.0,14.15,13.85,14.0,478370.0
2018-03-12,14.2,14.45,14.05,14.2,499600.0
2018-03-13,14.25,14.35,14.15,14.2,251000.0
2018-03-14,14.25,14.3,14.05,14.2,289710.0
2018-03-15,14.15,14.2,13.85,14.0,348570.0
2018-03-16,14.2,14.35,13.9,14.2,345460.0
2018-03-19,14.15,14.35,14.1,14.15,276130.0
2018-03-20,14.1,14.1,13.95,13.95,169860.0
2018-03-21,14.0,14.2,14.0,14.1,243990.0
2018-03-22,14.2,14.25,13.6,13.7,331880.0
2018-03-23,13.6,13.65,13.4,13.6,215250.0
2018-03-26,13.6,13.75,13.55,13.6,194160.0
2018-03-27,13.6,14.05,13.6,13.9,207320.0
2018-03-28,13.9,14.0,13.85,13.9,164910.0
2018-03-29,13.95,14.05,13.85,13.9,213380.0
2018-03-30,13.9,14.0,13.9,14.0,304890.0
