date,open,high,low,close,klgdkl
2015-10-15,10.6,10.8,10.2,10.2,10100.0
2015-10-16,10.2,10.3,9.9,10.2,34900.0
2015-10-19,10.2,10.3,10.2,10.2,33400.0
2015-10-20,10.2,10.3,10.2,10.3,38000.0
2015-10-21,10.2,10.2,10.1,10.1,14200.0
2015-10-22,10.1,10.1,10.0,10.0,16500.0
2015-10-23,10.0,10.0,9.9,9.9,2100.0
2015-10-26,9.8,9.8,9.8,9.8,7100.0
2015-10-27,9.7,9.7,9.7,9.7,4800.0
2015-10-28,9.5,9.8,9.0,9.8,31500.0
2015-10-29,9.1,9.3,9.1,9.3,8100.0
2015-10-30,9.2,9.2,8.9,8.9,5700.0
2015-11-02,9.0,9.0,8.5,8.5,38700.0
2015-11-03,8.8,8.8,8.8,8.8,600.0
2015-11-04,8.5,8.8,8.0,8.8,12000.0
2015-11-05,8.6,8.9,8.6,8.9,4200.0
2015-11-06,9.0,9.0,8.8,8.9,30300.0
2015-11-09,8.8,8.8,8.5,8.9,10600.0
2015-11-10,8.7,8.7,8.6,8.6,3300.0
2015-11-11,8.6,8.6,8.6,8.6,2900.0
2015-11-12,8.6,8.7,8.6,8.7,2700.0
2015-11-13,9.0,9.0,8.8,9.0,500.0
2015-11-16,8.9,8.9,8.9,9.0,0.0
2015-11-17,9.0,9.0,8.8,8.8,10300.0
2015-11-18,8.8,8.8,7.5,8.8,5200.0
2015-11-19,8.8,8.8,8.8,8.8,2000.0
2015-11-20,8.8,8.8,8.8,8.8,18900.0
2015-11-23,8.6,8.7,8.6,8.6,11000.0
2015-11-24,8.6,8.6,8.5,8.5,2100.0
2015-11-25,8.2,8.3,8.2,8.2,2300.0
2015-11-26,8.5,8.5,7.7,7.7,6600.0
2015-11-27,8.5,8.5,7.8,7.8,11000.0
2015-11-30,8.6,8.6,8.6,8.6,100.0
2015-12-01,8.2,8.2,8.2,8.2,100.0
2015-12-02,7.6,8.1,7.6,7.8,10300.0
2015-12-03,8.4,8.4,7.8,7.8,15900.0
2015-12-04,7.8,8.3,7.8,7.8,137900.0
2015-12-07,8.2,8.9,7.8,7.8,30400.0
2015-12-08,8.0,8.0,8.0,8.0,100.0
2015-12-09,7.7,8.2,7.7,7.8,11300.0
2015-12-10,7.9,7.9,7.8,7.8,18200.0
2015-12-11,7.8,7.8,7.7,7.8,5700.0
2015-12-14,7.9,7.9,7.9,7.9,2000.0
2015-12-15,7.6,8.0,7.6,8.0,2500.0
2015-12-16,8.0,8.2,7.6,7.6,7700.0
2015-12-17,8.2,8.2,8.2,8.2,100.0
2015-12-18,8.2,8.2,8.2,8.2,0.0
2015-12-21,8.0,8.0,8.0,8.0,1000.0
2015-12-22,8.0,8.0,8.0,8.0,0.0
2015-12-23,8.0,8.0,8.0,8.0,11100.0
2015-12-24,8.0,8.1,8.0,8.1,4100.0
2015-12-25,8.0,8.0,8.0,8.0,1000.0
2015-12-28,7.8,7.8,7.8,7.8,1000.0
2015-12-29,8.0,8.0,8.0,8.0,100.0
2015-12-30,8.8,8.8,8.8,8.8,100.0
2015-12-31,8.0,8.0,8.0,8.0,6400.0
2016-01-04,9.2,9.2,8.9,8.9,1100.0
2016-01-05,8.0,8.0,8.0,8.0,100.0
2016-01-06,7.9,8.0,7.9,8.0,7700.0
2016-01-07,8.8,8.8,7.8,7.8,1500.0
2016-01-08,7.8,7.8,7.5,7.5,21800.0
2016-01-11,7.6,7.6,7.6,7.5,0.0
