date,open,high,low,close,klgdkl
2010-01-04,52.5,55.0,52.5,55.0,3020.0
2010-01-05,55.5,55.5,54.0,54.0,3730.0
2010-01-06,55.0,55.0,51.5,51.5,39250.0
2010-01-07,52.5,54.0,52.5,54.0,88550.0
2010-01-08,55.0,55.0,52.5,54.0,53680.0
2010-01-11,53.5,53.5,53.5,53.5,1010.0
2010-01-12,52.0,52.5,51.0,52.0,15220.0
2010-01-13,49.6,50.0,49.4,50.0,16610.0
2010-01-14,50.0,50.0,48.5,49.9,7100.0
2010-01-15,49.9,50.0,49.5,49.8,1520.0
2010-01-18,50.0,50.0,49.0,49.4,50210.0
2010-01-19,48.9,49.3,48.8,49.3,28860.0
2010-01-20,49.0,49.8,47.0,49.2,14020.0
2010-01-21,49.0,49.0,48.0,49.0,40230.0
2010-01-22,47.0,49.1,47.0,49.1,8690.0
2010-01-25,49.9,49.9,49.9,49.9,1110.0
2010-01-26,49.9,49.9,49.9,49.9,3420.0
2010-01-27,49.9,49.9,49.9,49.9,2000.0
2010-01-28,49.5,49.5,49.4,49.4,1250.0
2010-01-29,48.9,48.9,48.9,48.9,2650.0
2010-02-01,49.3,49.3,47.0,47.0,1100.0
2010-02-02,48.9,48.9,46.0,47.4,10410.0
2010-02-03,48.9,49.7,48.0,48.0,16000.0
2010-02-04,48.0,48.5,48.0,48.5,2890.0
2010-02-05,46.5,48.0,46.5,48.0,3090.0
2010-02-08,46.0,49.0,46.0,49.0,7420.0
2010-02-09,47.0,47.0,47.0,47.0,20.0
2010-02-10,49.0,49.0,48.9,48.9,11200.0
2010-02-11,49.5,49.5,49.5,49.5,1050.0
2010-02-12,47.6,48.5,47.6,48.1,610.0
2010-02-22,48.2,48.2,48.2,48.2,100.0
2010-02-23,45.8,45.8,45.8,45.8,400.0
2010-02-24,48.0,48.0,48.0,48.0,20.0
2010-02-25,47.0,47.0,47.0,47.0,500.0
2010-02-26,46.3,46.3,46.0,46.0,11500.0
2010-03-01,46.1,46.1,45.0,45.0,14300.0
2010-03-02,47.0,47.0,46.5,46.5,1120.0
2010-03-03,46.5,46.5,46.5,46.5,0.0
2010-03-04,46.0,46.0,45.6,46.0,9810.0
2010-03-05,45.9,45.9,44.1,44.5,17560.0
2010-03-08,45.5,46.0,45.0,45.0,7100.0
2010-03-09,45.5,45.9,45.0,45.3,6790.0
2010-03-10,46.0,46.0,43.8,43.8,10590.0
2010-03-11,45.6,45.6,44.0,44.0,6540.0
2010-03-12,44.0,44.0,44.0,44.0,9500.0
2010-03-15,46.0,46.2,44.8,46.2,54920.0
2010-03-16,47.9,47.9,46.0,46.0,61230.0
2010-03-17,46.5,46.5,44.5,44.5,30700.0
2010-03-18,46.5,46.5,45.0,45.0,26160.0
2010-03-19,45.0,45.0,44.5,45.0,17820.0
2010-03-22,45.0,45.9,44.9,45.0,6110.0
2010-03-23,45.5,45.5,44.0,45.0,3530.0
2010-03-24,45.0,45.0,44.6,44.6,5260.0
2010-03-25,45.9,45.9,44.0,44.0,34510.0
2010-03-26,43.5,43.5,43.1,43.1,6840.0
2010-03-29,45.0,45.0,44.9,44.9,5220.0
2010-03-30,44.5,44.5,44.0,44.0,7560.0
2010-03-31,44.5,44.5,43.5,43.5,9230.0
2010-04-01,43.8,44.0,43.5,43.5,1750.0
2010-04-02,44.4,44.4,43.1,43.1,2770.0
2010-04-05,43.1,45.0,43.1,43.2,10110.0
2010-04-06,44.0,44.5,44.0,44.0,6700.0
2010-04-07,44.0,44.5,44.0,44.0,8420.0
2010-04-08,44.0,44.2,44.0,44.2,6900.0
2010-04-09,44.3,44.5,44.0,44.1,36460.0
2010-04-12,45.5,45.5,45.0,45.0,8220.0
2010-04-13,45.5,45.5,44.6,44.8,16600.0
2010-04-14,44.2,44.8,44.2,44.2,21240.0
2010-04-15,44.4,45.0,44.2,44.2,8580.0
2010-04-16,44.2,44.3,44.0,44.0,6590.0
2010-04-19,44.2,44.2,44.0,44.0,5450.0
2010-04-20,44.5,44.5,44.0,44.2,10420.0
2010-04-21,44.2,45.5,44.2,45.4,84510.0
2010-04-22,46.2,46.2,45.1,45.1,22910.0
2010-04-26,45.4,45.7,45.1,45.5,68210.0
2010-04-27,47.1,47.1,46.1,46.5,13170.0
2010-04-28,45.7,46.0,45.0,45.7,53900.0
2010-04-29,44.9,45.7,44.9,45.4,16770.0
2010-05-04,46.3,46.6,45.5,46.0,73910.0
2010-05-05,44.2,46.0,44.2,46.0,26300.0
2010-05-06,46.0,46.0,45.0,45.1,26020.0
2010-05-07,45.8,45.8,44.2,44.4,9360.0
2010-05-10,44.2,44.4,43.5,44.4,7810.0
2010-05-11,44.2,44.2,43.0,44.2,5370.0
2010-05-12,43.0,43.9,42.1,42.1,5550.0
2010-05-13,42.1,42.2,41.5,41.5,10180.0
2010-05-14,41.0,41.1,41.0,41.0,3700.0
2010-05-17,40.8,40.8,39.0,39.0,8000.0
2010-05-18,39.0,39.0,37.6,38.7,20400.0
2010-05-19,37.6,39.4,37.0,39.0,11170.0
2010-05-20,37.5,38.5,37.5,38.5,18720.0
2010-05-21,36.6,37.0,36.6,36.6,36470.0
2010-05-24,35.6,38.2,35.5,38.2,2950.0
2010-05-25,36.4,38.2,36.4,38.0,18320.0
2010-05-26,38.0,38.0,37.8,38.0,27150.0
2010-05-27,38.0,38.1,37.8,37.8,16770.0
2010-05-28,38.6,39.3,38.6,39.3,2780.0
2010-05-31,40.2,40.2,38.5,38.5,3000.0
2010-06-01,38.4,39.6,38.4,39.6,770.0
2010-06-02,39.8,39.8,38.5,39.0,470.0
2010-06-03,38.0,39.0,38.0,39.0,910.0
2010-06-04,38.5,39.3,38.5,39.0,810.0
2010-06-07,39.0,39.0,38.0,38.5,7870.0
2010-06-08,39.3,39.3,37.5,38.5,1130.0
2010-06-09,39.3,39.3,39.3,39.3,10.0
2010-06-10,37.5,38.8,37.4,38.8,23010.0
2010-06-11,38.2,38.8,37.6,37.6,14320.0
2010-06-14,39.3,39.3,36.9,37.8,10370.0
2010-06-15,37.8,39.6,37.8,39.6,36340.0
2010-06-16,41.5,41.5,41.5,41.5,11810.0
2010-06-17,41.5,42.4,41.0,42.4,25030.0
2010-06-18,42.7,43.4,42.4,43.4,27590.0
2010-06-21,43.5,45.0,43.3,43.3,15540.0
2010-06-22,43.7,43.7,41.2,41.2,2250.0
2010-06-23,41.2,43.0,41.0,43.0,10900.0
2010-06-24,41.2,43.0,41.0,43.0,16010.0
2010-06-25,42.9,42.9,42.9,42.9,30.0
2010-06-28,44.4,44.4,40.9,40.9,1010.0
2010-06-29,40.6,40.6,39.5,39.5,4700.0
2010-06-30,41.4,41.4,39.5,39.5,710.0
2010-07-01,41.4,41.4,41.2,41.4,2840.0
2010-07-02,41.4,41.4,39.5,39.8,14880.0
2010-07-05,40.0,40.5,38.7,40.5,1270.0
2010-07-06,40.0,41.0,40.0,41.0,30.0
2010-07-07,41.0,43.0,40.0,43.0,4310.0
2010-07-08,43.5,43.6,43.5,43.6,34960.0
2010-07-09,43.6,43.6,42.0,43.0,1060.0
2010-07-12,43.8,43.8,41.0,41.0,20.0
2010-07-13,42.0,42.0,39.4,39.4,1020.0
2010-07-14,41.0,41.2,39.5,39.5,570.0
2010-07-15,38.6,41.3,38.6,39.0,530.0
2010-07-16,40.0,40.5,40.0,40.2,10200.0
2010-07-19,42.0,42.0,40.2,40.2,800.0
2010-07-20,40.5,40.5,40.5,40.5,1510.0
2010-07-21,42.4,42.4,42.4,42.4,60.0
2010-07-22,42.4,42.4,41.0,41.0,12350.0
2010-07-23,42.0,42.2,39.2,39.2,1440.0
2010-07-26,40.0,40.0,40.0,40.0,12010.0
2010-07-27,41.0,41.1,40.0,40.0,2330.0
