date,open,high,low,close,klgdkl
2010-01-04,46.5,46.6,45.6,46.6,202660.0
2010-01-05,48.9,48.9,48.0,48.5,296870.0
2010-01-06,47.1,49.0,47.1,49.0,84840.0
2010-01-07,48.1,49.0,48.1,48.9,111770.0
2010-01-08,48.0,50.0,46.5,46.5,332190.0
2010-01-11,45.5,47.9,44.2,44.2,176540.0
2010-01-12,43.6,46.0,42.0,42.0,224800.0
2010-01-13,43.0,44.0,40.8,43.0,151520.0
2010-01-14,44.5,44.5,43.0,44.0,35360.0
2010-01-15,43.5,43.8,42.7,43.0,18480.0
2010-01-18,41.3,41.3,40.9,40.9,68720.0
2010-01-19,40.0,41.0,40.0,40.0,41700.0
2010-01-20,41.0,41.0,38.5,38.5,24940.0
2010-01-21,37.5,38.5,36.6,37.1,274310.0
2010-01-22,37.0,38.9,37.0,38.9,158920.0
2010-01-25,39.2,40.6,38.9,40.5,130230.0
2010-01-26,41.5,42.5,41.5,42.5,180820.0
2010-01-27,42.5,43.5,42.1,43.2,171720.0
2010-01-28,43.5,43.5,42.0,42.5,145240.0
2010-01-29,41.8,43.0,41.5,42.2,127580.0
2010-02-01,42.8,44.3,42.0,44.3,152860.0
2010-02-02,46.0,46.0,45.0,45.9,139030.0
2010-02-03,45.9,47.0,45.5,45.5,107700.0
2010-02-04,45.8,47.7,45.8,47.2,285290.0
2010-02-05,46.0,47.2,45.0,45.0,276360.0
2010-02-08,45.9,46.0,44.0,45.4,212160.0
2010-02-09,45.3,46.0,44.6,46.0,214350.0
2010-02-10,45.3,46.9,45.3,45.6,226380.0
2010-02-11,45.5,46.0,45.5,45.9,140780.0
2010-02-12,47.0,47.0,45.9,46.5,242910.0
2010-02-22,48.5,48.5,47.0,48.3,129770.0
2010-02-23,47.4,47.6,47.0,47.0,137450.0
2010-02-24,46.0,47.2,46.0,47.0,128210.0
2010-02-25,48.5,48.5,47.5,48.0,170680.0
2010-02-26,48.0,50.0,47.5,50.0,243340.0
2010-03-01,50.5,52.5,50.5,52.5,142000.0
2010-03-02,54.5,54.5,52.5,54.0,354150.0
2010-03-03,54.0,55.0,53.5,54.5,293370.0
2010-03-04,54.0,55.0,52.0,52.0,254990.0
2010-03-05,52.0,53.5,52.0,53.0,180140.0
2010-03-08,54.0,54.5,51.5,53.0,281560.0
2010-03-09,52.5,54.0,52.5,53.0,182870.0
2010-03-10,52.5,53.5,52.5,53.0,157730.0
2010-03-11,53.0,55.5,53.0,54.0,284300.0
2010-03-12,54.0,54.5,53.5,54.5,343300.0
2010-03-15,55.5,55.5,54.0,54.5,284960.0
2010-03-16,53.5,55.0,53.0,53.5,179920.0
2010-03-17,53.5,53.5,52.5,52.5,194590.0
2010-03-18,53.5,53.5,52.0,53.0,254500.0
2010-03-19,53.5,53.5,52.0,52.5,141830.0
2010-03-22,52.5,53.0,52.0,52.0,112050.0
2010-03-23,52.0,52.5,50.5,51.0,248680.0
2010-03-24,51.0,53.5,51.0,53.5,300010.0
2010-03-25,53.5,53.5,52.0,52.0,194180.0
2010-03-26,53.0,53.5,52.5,53.0,143380.0
2010-03-29,54.0,54.0,53.0,53.0,146230.0
2010-03-30,53.5,54.0,53.0,53.0,112210.0
2010-03-31,51.0,53.0,50.5,51.5,143050.0
2010-04-01,51.0,51.5,50.5,51.0,166800.0
2010-04-02,51.0,53.5,51.0,52.0,91740.0
2010-04-05,53.0,53.5,51.5,52.0,104850.0
2010-04-06,53.0,54.5,53.0,54.5,148210.0
2010-04-07,57.0,57.0,55.0,57.0,948420.0
2010-04-08,56.0,58.0,55.5,57.5,575390.0
2010-04-09,57.5,59.5,57.0,59.5,919560.0
2010-04-12,60.0,60.5,58.0,59.5,426770.0
2010-04-13,58.0,59.0,57.0,57.5,312100.0
2010-04-14,56.5,60.0,56.5,60.0,293220.0
2010-04-15,60.0,62.5,60.0,62.5,477480.0
2010-04-16,60.0,63.5,59.5,63.0,829320.0
2010-04-19,63.0,63.0,60.0,60.0,331800.0
2010-04-20,60.0,60.0,57.0,57.0,587740.0
2010-04-21,57.5,59.5,57.5,59.5,442260.0
2010-04-22,61.0,61.5,57.0,59.5,620470.0
2010-04-26,59.5,59.5,58.0,59.0,542590.0
2010-04-27,59.0,59.5,58.0,59.0,260100.0
2010-04-28,59.0,59.5,58.5,59.0,254470.0
2010-04-29,58.5,59.0,58.5,59.0,144220.0
2010-05-04,59.5,59.5,58.0,58.5,339810.0
2010-05-05,60.0,60.5,59.0,59.5,1213100.0
2010-05-06,60.0,60.0,58.5,59.5,260780.0
2010-05-07,58.0,58.5,57.5,57.5,266430.0
2010-05-10,56.5,57.0,55.0,55.0,495300.0
2010-05-11,56.5,56.5,55.0,55.0,426740.0
2010-05-12,37.5,37.5,34.5,34.5,146720.0
2010-05-13,34.5,36.2,34.5,35.0,164140.0
2010-05-14,35.0,35.5,34.6,34.6,84110.0
2010-05-17,33.6,33.6,33.1,33.1,181060.0
2010-05-18,33.0,34.2,33.0,34.0,49260.0
2010-05-19,32.8,33.5,32.5,33.0,121340.0
2010-05-20,32.9,33.8,32.3,33.5,112290.0
2010-05-21,31.9,33.5,31.9,31.9,259850.0
2010-05-24,31.9,32.1,30.5,31.9,103700.0
2010-05-25,30.6,32.5,30.6,31.9,102670.0
2010-05-26,32.2,33.0,32.2,33.0,63240.0
2010-05-27,33.0,34.6,32.5,34.6,210950.0
2010-05-28,36.3,36.3,35.8,36.3,239000.0
2010-05-31,38.0,38.0,35.2,37.0,223770.0
2010-06-01,35.6,37.0,35.6,35.8,132170.0
2010-06-02,34.7,35.8,34.5,35.8,66630.0
2010-06-03,36.5,36.5,35.8,35.9,115470.0
2010-06-04,35.9,36.0,35.8,35.8,32850.0
2010-06-07,34.2,34.5,34.2,34.2,184270.0
2010-06-08,33.1,34.2,33.1,33.6,30880.0
2010-06-09,34.0,34.0,33.2,33.2,47040.0
2010-06-10,34.0,34.2,33.5,34.2,31660.0
2010-06-11,35.3,35.3,34.4,35.1,116750.0
2010-06-14,35.5,35.5,34.6,35.1,7890.0
2010-06-15,34.5,35.3,34.5,35.3,126460.0
2010-06-16,35.8,36.4,35.4,36.0,76690.0
2010-06-17,36.2,36.2,35.3,35.3,19090.0
2010-06-18,34.5,35.5,34.5,35.0,13770.0
2010-06-21,35.5,35.5,35.0,35.0,14110.0
2010-06-22,35.3,35.3,34.7,34.7,36850.0
2010-06-23,34.0,34.6,34.0,34.1,51100.0
2010-06-24,34.8,35.0,34.3,34.3,9470.0
2010-06-25,33.8,34.3,33.8,34.1,132790.0
2010-06-28,34.0,34.5,34.0,34.0,5270.0
