date,open,high,low,close,klgdkl
2010-09-08,14.4,16.5,14.4,14.4,1181130.0
2010-09-09,15.0,15.1,14.9,15.1,2797970.0
2010-09-10,15.8,15.8,15.8,15.8,1353710.0
2010-09-13,16.5,16.5,15.5,16.0,707490.0
2010-09-14,15.5,15.7,15.2,15.2,813000.0
2010-09-15,14.6,15.0,14.5,14.5,898640.0
2010-09-16,14.5,15.2,14.3,14.9,402070.0
2010-09-17,14.9,15.2,14.6,15.0,427980.0
2010-09-20,15.0,15.0,14.5,14.6,414710.0
2010-09-21,14.6,14.7,14.2,14.4,568170.0
2010-09-22,14.4,14.5,14.3,14.5,358880.0
2010-09-23,14.4,14.6,13.9,14.1,511310.0
2010-09-24,13.9,14.2,13.8,14.0,202710.0
2010-09-27,14.0,14.0,13.5,13.5,244000.0
2010-09-28,13.6,13.8,13.3,13.3,350700.0
2010-09-29,13.3,13.4,13.0,13.0,477010.0
2010-09-30,12.8,13.0,12.8,13.0,246410.0
2010-10-01,12.8,12.9,12.8,12.8,255840.0
2010-10-04,12.9,12.9,12.2,12.2,313610.0
2010-10-05,11.8,12.2,11.8,12.1,295820.0
2010-10-06,12.4,12.4,12.0,12.4,324040.0
2010-10-07,12.3,12.5,12.1,12.2,199550.0
2010-10-08,12.0,12.2,11.9,12.0,137870.0
2010-10-11,12.0,12.1,11.9,12.0,176300.0
2010-10-12,11.9,12.0,11.6,11.6,72030.0
2010-10-13,11.4,11.7,11.4,11.5,231980.0
2010-10-14,11.6,11.6,11.4,11.4,241340.0
2010-10-15,11.4,11.8,11.3,11.7,466120.0
2010-10-18,11.7,11.8,11.6,11.7,144240.0
2010-10-19,11.7,11.7,11.4,11.5,233230.0
2010-10-20,11.4,11.4,11.0,11.0,327650.0
2010-10-21,10.9,11.1,10.6,11.0,639990.0
2010-10-22,11.0,11.0,10.7,10.9,274960.0
2010-10-25,10.9,10.9,10.7,10.9,147780.0
2010-10-26,11.0,11.4,10.9,11.1,343770.0
2010-10-27,11.1,11.2,10.8,10.8,145590.0
2010-10-28,10.8,10.8,10.6,10.6,128370.0
2010-10-29,10.7,10.7,10.4,10.6,82920.0
2010-11-01,10.4,10.5,10.4,10.4,56870.0
2010-11-02,10.4,10.4,10.1,10.1,79640.0
2010-11-03,10.1,10.1,9.8,10.0,115990.0
2010-11-04,10.0,10.0,9.8,9.9,79730.0
2010-11-05,10.1,10.3,10.1,10.3,187290.0
2010-11-08,10.7,10.7,9.9,10.2,164000.0
2010-11-09,10.0,10.0,9.7,9.8,218740.0
2010-11-10,10.1,10.2,9.8,10.0,181150.0
2010-11-11,10.1,10.1,9.7,9.7,125370.0
2010-11-12,9.5,9.6,9.3,9.4,296640.0
2010-11-15,9.5,9.6,9.1,9.4,165870.0
2010-11-16,9.1,9.4,9.0,9.0,149400.0
2010-11-17,8.8,9.3,8.8,9.0,142930.0
2010-11-18,9.2,9.4,9.2,9.3,120600.0
2010-11-19,9.4,9.4,9.1,9.2,106690.0
2010-11-22,8.8,9.0,8.8,9.0,112940.0
2010-11-23,8.8,9.1,8.8,9.1,49110.0
2010-11-24,9.0,9.2,9.0,9.2,68060.0
2010-11-25,9.2,9.5,9.1,9.3,250360.0
2010-11-26,9.4,9.5,9.3,9.3,135030.0
2010-11-29,9.3,9.4,9.2,9.4,59920.0
2010-11-30,9.7,9.8,9.7,9.8,469430.0
2010-12-01,9.8,10.0,9.5,9.8,395960.0
2010-12-02,9.8,10.2,9.8,10.2,374120.0
2010-12-03,10.7,10.7,10.7,10.7,360930.0
2010-12-06,11.2,11.2,11.0,11.2,677290.0
2010-12-07,11.2,11.7,11.2,11.3,1127680.0
2010-12-08,11.2,11.4,10.8,10.8,512940.0
2010-12-09,10.6,11.2,10.5,11.0,306510.0
2010-12-10,11.0,11.5,10.9,11.5,663780.0
2010-12-13,12.0,12.0,11.7,12.0,558870.0
2010-12-14,11.5,11.9,11.4,11.4,375880.0
2010-12-15,11.2,11.9,11.2,11.6,746020.0
2010-12-16,11.1,11.3,11.1,11.1,438400.0
2010-12-17,11.1,11.3,10.7,11.2,177090.0
2010-12-20,11.2,11.2,10.7,10.8,245580.0
2010-12-21,11.3,11.3,11.1,11.3,863340.0
2010-12-22,11.8,11.8,11.7,11.7,979970.0
2010-12-23,11.7,11.7,11.2,11.2,288770.0
2010-12-24,11.2,11.4,10.9,10.9,143620.0
2010-12-27,11.2,11.2,10.9,10.9,154400.0
2010-12-28,10.9,11.4,10.9,11.3,199680.0
2010-12-29,11.5,11.5,11.0,11.0,139900.0
2010-12-30,11.1,11.1,10.9,11.0,120040.0
2010-12-31,11.1,11.1,10.9,11.0,110510.0
2011-01-04,11.1,11.2,10.9,10.9,62470.0
2011-01-05,10.8,10.9,10.5,10.5,183350.0
2011-01-06,10.8,10.8,10.5,10.5,112520.0
2011-01-07,10.6,10.6,10.3,10.4,84100.0
2011-01-10,10.2,10.4,10.1,10.2,102920.0
2011-01-11,10.0,10.0,9.8,9.8,148290.0
2011-01-12,10.0,10.1,9.9,10.0,100260.0
2011-01-13,9.9,10.2,9.9,10.1,96180.0
2011-01-14,10.0,10.3,9.9,10.1,267500.0
2011-01-17,10.2,10.5,10.1,10.2,193640.0
2011-01-18,10.2,10.3,10.1,10.2,171360.0
2011-01-19,10.4,10.4,10.0,10.0,161310.0
2011-01-20,9.9,10.1,9.9,10.0,51400.0
2011-01-21,10.0,10.1,9.9,10.0,59810.0
2011-01-24,10.0,10.0,9.7,9.7,47290.0
2011-01-25,9.7,9.8,9.5,9.5,78500.0
2011-01-26,9.7,9.7,9.4,9.5,71890.0
2011-01-27,9.5,9.7,9.5,9.7,86020.0
2011-01-28,9.7,9.8,9.7,9.8,84220.0
2011-02-08,10.0,10.0,9.8,10.0,40210.0
2011-02-09,10.1,10.1,9.9,10.0,32090.0
2011-02-10,9.8,10.0,9.8,10.0,73580.0
2011-02-11,9.8,10.0,9.5,9.6,2286420.0
2011-02-14,9.7,9.8,9.6,9.6,192150.0
2011-02-15,9.6,9.7,9.5,9.5,84680.0
2011-02-16,9.7,9.7,9.4,9.5,54720.0
2011-02-17,9.2,9.3,9.1,9.1,615840.0
2011-02-18,9.0,9.2,8.9,9.0,271640.0
2011-02-21,8.7,8.7,8.6,8.6,261530.0
2011-02-22,8.3,8.6,8.3,8.6,153180.0
2011-02-23,8.9,8.9,8.5,8.6,124250.0
2011-02-24,8.3,8.6,8.2,8.4,95750.0
2011-02-25,8.4,8.7,8.4,8.4,103240.0
2011-02-28,8.6,8.6,8.3,8.3,228920.0
2011-03-01,8.1,8.2,8.0,8.1,118160.0
2011-03-02,8.0,8.1,7.7,7.7,588050.0
2011-03-03,7.5,7.7,7.4,7.4,246380.0
2011-03-04,7.6,7.7,7.4,7.5,76230.0
2011-03-07,7.5,7.6,7.2,7.5,127780.0
2011-03-08,7.5,7.5,7.3,7.4,178270.0
2011-03-09,7.6,7.6,7.3,7.3,268110.0
2011-03-10,7.3,7.6,7.3,7.6,307000.0
2011-03-11,7.6,7.9,7.6,7.9,483450.0
2011-03-14,7.9,7.9,7.6,7.6,258080.0
2011-03-15,7.6,7.6,7.4,7.4,245570.0
2011-03-16,7.3,7.6,7.3,7.4,192440.0
2011-03-17,7.4,7.5,7.2,7.4,154510.0
2011-03-18,7.4,7.7,7.4,7.6,169040.0
2011-03-21,7.6,7.7,7.5,7.5,205400.0
2011-03-22,7.5,7.7,7.5,7.7,292980.0
2011-03-23,7.6,7.7,7.6,7.6,77010.0
2011-03-24,7.6,7.6,7.5,7.6,165950.0
2011-03-25,7.6,7.6,7.5,7.5,141750.0
2011-03-28,7.6,7.7,7.5,7.6,90480.0
2011-03-29,7.7,7.7,7.5,7.6,115500.0
2011-03-30,7.5,7.5,7.4,7.5,111440.0
2011-03-31,7.5,7.6,7.4,7.6,61410.0
2011-04-01,7.4,7.6,7.4,7.4,120160.0
2011-04-04,7.5,7.6,7.4,7.4,215210.0
2011-04-05,7.4,7.5,7.4,7.4,188270.0
2011-04-06,7.5,7.5,7.4,7.4,58240.0
2011-04-07,7.4,7.5,7.3,7.4,191560.0
2011-04-08,7.3,7.5,7.3,7.4,121880.0
2011-04-13,7.5,7.5,7.3,7.3,25700.0
2011-04-14,7.3,7.4,7.3,7.3,70640.0
2011-04-15,7.3,7.4,7.3,7.3,188180.0
2011-04-18,7.4,7.4,7.2,7.3,163240.0
2011-04-19,7.2,7.3,7.2,7.3,137940.0
2011-04-20,7.3,7.3,7.2,7.2,78110.0
2011-04-21,7.2,7.2,7.1,7.2,213560.0
2011-04-22,7.1,7.3,7.0,7.3,193910.0
2011-04-25,7.3,7.4,7.2,7.3,60200.0
2011-04-26,7.3,7.3,7.2,7.2,65220.0
2011-04-27,7.0,7.2,7.0,7.0,107270.0
2011-04-28,7.1,7.2,7.0,7.0,47400.0
2011-04-29,7.1,7.1,7.1,7.1,32190.0
2011-05-04,7.1,7.1,7.0,7.1,81030.0
2011-05-05,7.2,7.2,7.0,7.2,135910.0
2011-05-06,7.2,7.3,7.1,7.2,65700.0
2011-05-09,7.3,7.5,7.2,7.4,96270.0
2011-05-10,7.4,7.5,7.3,7.3,91100.0
2011-05-11,7.3,7.4,7.2,7.4,46310.0
2011-05-12,7.4,7.4,7.3,7.4,34370.0
2011-05-13,7.4,7.4,7.3,7.3,113550.0
2011-05-16,6.6,6.6,6.3,6.3,80910.0
2011-05-17,6.3,6.3,6.1,6.1,74170.0
2011-05-18,6.1,6.1,5.9,6.0,60670.0
2011-05-19,5.9,6.1,5.9,5.9,60010.0
2011-05-20,5.9,6.0,5.8,5.8,113950.0
2011-05-23,5.8,5.8,5.6,5.6,44670.0
2011-05-24,5.6,5.6,5.4,5.4,126690.0
2011-05-25,5.3,5.3,5.2,5.2,38510.0
2011-05-26,5.1,5.4,5.0,5.4,141900.0
2011-05-27,5.6,5.6,5.4,5.6,272290.0
2011-05-30,5.7,5.7,5.4,5.4,91840.0
2011-05-31,5.5,5.5,5.2,5.3,75030.0
2011-06-01,5.3,5.5,5.3,5.4,91130.0
