date,open,high,low,close,klgdkl
2017-08-17,39.0,39.0,33.0,39.0,58299310.0
2017-08-18,38.0,38.5,37.2,37.2,1092840.0
2017-08-21,35.8,36.8,35.5,35.85,798670.0
2017-08-22,34.8,36.0,34.8,36.0,2295930.0
2017-08-23,36.0,36.8,35.75,36.2,520790.0
2017-08-24,36.35,36.35,35.8,36.25,678690.0
2017-08-25,35.9,36.3,35.8,36.3,615370.0
2017-08-28,36.0,36.3,35.9,36.3,761670.0
2017-08-29,36.1,36.3,35.95,36.3,990000.0
2017-08-30,36.3,36.3,36.0,36.3,830100.0
2017-08-31,36.1,36.3,36.1,36.3,1196380.0
2017-09-01,36.1,36.3,36.1,36.3,978060.0
2017-09-05,36.05,36.4,36.05,36.4,1274130.0
2017-09-06,36.4,38.2,36.3,38.15,1269010.0
2017-09-07,38.2,39.3,38.2,38.55,900290.0
2017-09-08,38.5,38.5,38.15,38.2,339640.0
2017-09-11,38.0,38.1,36.9,37.0,655570.0
2017-09-12,37.0,37.5,36.4,37.35,330150.0
2017-09-13,37.35,37.6,37.1,37.5,312470.0
2017-09-14,37.5,37.6,37.3,37.45,268880.0
2017-09-15,37.45,37.6,37.35,37.4,352480.0
2017-09-18,37.4,37.5,37.25,37.3,323580.0
2017-09-19,37.3,37.3,36.9,36.95,820020.0
2017-09-20,36.95,37.3,36.85,36.9,789670.0
2017-09-21,36.9,36.95,36.75,36.9,535570.0
2017-09-22,36.9,36.9,36.5,36.7,1288830.0
2017-09-25,36.7,36.85,36.65,36.65,504360.0
2017-09-26,36.9,36.9,36.6,36.6,718370.0
2017-09-27,36.6,37.45,36.6,37.25,1473820.0
2017-09-28,37.3,37.8,37.2,37.25,1238590.0
2017-09-29,37.25,37.75,37.25,37.5,752340.0
2017-10-02,37.5,37.6,37.0,37.25,634350.0
2017-10-03,37.2,37.3,36.75,36.9,659660.0
2017-10-04,36.9,37.0,36.75,36.9,457470.0
2017-10-05,37.1,37.15,36.85,36.85,219990.0
2017-10-06,37.05,37.2,36.8,37.2,409110.0
