date,open,high,low,close,klgdkl
2016-04-12,11.5,12.9,11.2,11.2,30900.0
2016-04-13,11.2,11.7,11.2,11.5,66000.0
2016-04-14,11.5,11.5,11.3,11.4,20100.0
2016-04-15,11.3,11.5,11.0,11.4,51630.0
2016-04-19,11.4,11.4,11.2,11.2,56100.0
2016-04-20,11.2,11.8,11.1,11.5,85130.0
2016-04-21,11.3,11.3,11.2,11.2,1609.0
2016-04-22,11.2,11.2,11.1,11.1,16500.0
2016-04-25,11.2,11.2,11.1,11.2,44200.0
2016-04-26,11.2,11.2,11.1,11.2,17800.0
2016-04-27,11.2,11.2,11.1,11.2,35900.0
2016-04-28,11.2,11.2,11.2,11.2,10300.0
2016-04-29,11.1,11.3,11.1,11.3,32700.0
2016-05-04,11.1,11.3,11.1,11.3,43500.0
2016-05-05,11.3,11.3,11.2,11.2,35700.0
2016-05-06,11.3,11.4,11.2,11.2,30350.0
2016-05-09,11.3,11.3,11.2,11.3,35700.0
2016-05-10,11.2,11.2,11.2,11.2,142.0
2016-05-11,11.2,11.3,11.2,11.3,41856.0
2016-05-12,11.2,11.2,11.2,11.2,38159.0
2016-05-13,11.2,11.2,11.2,11.2,26600.0
2016-05-16,11.0,11.2,11.0,11.0,24178.0
2016-05-17,11.0,11.0,11.0,11.0,79850.0
2016-05-18,11.0,11.0,11.0,11.0,156600.0
2016-05-19,11.0,11.0,11.0,11.0,72100.0
2016-05-20,11.0,11.2,11.0,11.2,14200.0
2016-05-23,11.1,11.1,11.1,11.1,320.0
2016-05-24,11.1,11.3,11.1,11.3,25000.0
2016-05-25,11.2,11.3,11.2,11.2,55100.0
2016-05-26,11.2,11.5,11.0,11.5,43520.0
2016-05-27,11.3,11.3,11.3,11.5,31.0
2016-05-30,11.1,11.3,11.1,11.3,31000.0
2016-05-31,11.2,11.2,11.2,11.2,7000.0
2016-06-01,11.2,11.2,11.1,11.2,39998.0
2016-06-02,11.2,11.2,11.2,11.2,8400.0
2016-06-03,11.2,11.5,11.2,11.3,36200.0
2016-06-06,11.2,11.5,11.2,11.5,80500.0
2016-06-07,11.3,11.3,11.3,11.3,24000.0
2016-06-08,11.3,11.6,11.3,11.5,58400.0
2016-06-09,11.5,11.7,11.5,11.7,65080.0
2016-06-10,11.7,11.7,11.7,11.7,65.0
2016-06-13,11.6,11.6,11.6,11.6,2375.0
2016-06-14,11.4,11.6,11.4,11.4,8100.0
2016-06-15,11.4,11.5,11.4,11.5,7000.0
2016-06-16,11.3,11.5,11.3,11.5,5400.0
2016-06-17,11.2,11.2,11.1,11.1,3500.0
2016-06-20,11.2,11.3,11.2,11.3,3462.0
2016-06-21,11.3,11.4,11.3,11.4,2037.0
2016-06-22,11.4,11.4,11.3,11.3,2400.0
2016-06-23,11.3,11.3,11.3,11.3,100.0
2016-06-24,11.3,11.3,11.2,11.2,13931.0
2016-06-27,11.2,11.2,11.2,11.2,3542.0
2016-06-28,11.2,11.2,11.2,11.2,126.0
2016-06-29,11.2,11.2,11.2,11.2,3814.0
2016-06-30,11.2,11.2,11.2,11.2,15000.0
2016-07-01,11.2,11.2,11.2,11.2,18400.0
2016-07-04,11.2,11.2,11.2,11.2,4689.0
2016-07-05,11.0,11.0,11.0,11.0,3976.0
2016-07-06,11.0,11.2,11.0,11.2,23700.0
2016-07-07,11.1,11.1,11.1,11.2,0.0
2016-07-08,10.0,10.0,10.0,10.0,154.0
2016-07-11,11.0,11.0,11.0,11.0,8611.0
2016-07-12,11.0,11.0,11.0,11.0,600.0
2016-07-13,10.5,10.5,10.0,10.5,9400.0
2016-07-14,11.0,11.0,11.0,11.0,3609.0
2016-07-15,11.0,11.5,11.0,11.2,54600.0
2016-07-18,11.2,11.2,11.1,11.1,15456.0
2016-07-19,11.2,11.5,11.2,11.5,14000.0
2016-07-20,11.2,11.2,11.2,11.2,2300.0
2016-07-21,11.1,11.2,11.1,11.2,4800.0
2016-07-22,11.1,11.4,11.1,11.4,200.0
2016-07-25,11.1,11.1,11.1,11.1,1300.0
2016-07-26,11.5,11.5,11.5,11.5,10000.0
2016-07-27,11.0,11.5,11.0,11.5,36530.0
2016-07-28,11.0,11.3,11.0,11.2,8620.0
2016-07-29,11.2,11.2,11.2,11.2,0.0
2016-08-01,11.2,11.2,11.2,11.2,0.0
2016-08-02,11.0,11.0,11.0,11.0,5200.0
2016-08-03,11.0,11.5,11.0,11.4,274170.0
2016-08-04,11.4,11.4,11.4,11.4,14200.0
2016-08-05,11.4,11.4,11.4,11.4,10500.0
2016-08-08,11.3,11.3,11.3,11.3,20000.0
2016-08-09,11.3,11.3,11.3,11.3,0.0
2016-08-10,11.3,11.3,11.3,11.3,5200.0
2016-08-11,11.2,11.2,11.2,11.2,7600.0
2016-08-12,11.1,11.2,11.1,11.1,500.0
2016-08-15,11.2,11.3,11.1,11.3,8600.0
2016-08-16,11.1,11.2,11.1,11.2,11500.0
2016-08-17,11.1,11.3,11.1,11.3,50152.0
2016-08-18,11.1,11.4,11.1,11.4,18700.0
2016-08-19,11.3,11.4,11.3,11.3,23355.0
2016-08-22,11.3,11.4,11.3,11.4,10000.0
2016-08-23,11.3,11.3,11.3,11.3,1600.0
2016-08-24,11.2,11.2,11.2,11.2,2200.0
2016-08-25,11.2,11.2,11.2,11.2,2700.0
2016-08-26,11.2,11.2,11.2,11.2,0.0
2016-08-29,11.2,11.2,11.2,11.2,6300.0
2016-08-30,11.3,11.5,11.3,11.4,46800.0
2016-08-31,11.4,11.4,11.4,11.4,1600.0
2016-09-01,11.4,11.4,11.4,11.4,4200.0
2016-09-05,11.4,11.4,11.4,11.4,21600.0
2016-09-06,11.4,11.4,11.4,11.4,0.0
2016-09-07,11.3,11.3,11.3,11.3,10000.0
2016-09-08,11.4,11.4,11.3,11.4,25900.0
2016-09-09,11.4,11.5,11.3,11.3,32262.0
2016-09-12,11.4,11.5,11.4,11.5,16300.0
2016-09-13,11.4,11.5,11.4,11.5,19800.0
2016-09-14,11.6,11.6,11.5,11.5,26000.0
2016-09-15,11.5,11.5,11.5,11.5,8922.0
2016-09-16,11.5,11.6,11.5,11.6,14500.0
2016-09-19,11.5,11.6,11.5,11.5,41300.0
2016-09-20,11.5,11.5,11.5,11.5,0.0
2016-09-21,11.5,11.5,11.4,11.5,18800.0
2016-09-22,11.5,11.5,11.5,11.5,7200.0
2016-09-23,11.5,11.5,11.5,11.5,6400.0
2016-09-26,11.5,11.5,11.5,11.5,1054.0
2016-09-27,11.5,11.5,11.5,11.5,7300.0
2016-09-28,11.5,11.5,11.5,11.5,13300.0
2016-09-29,11.0,11.5,11.0,11.5,10500.0
2016-09-30,11.5,11.6,11.5,11.6,2200.0
2016-10-03,11.5,11.5,11.5,11.5,1500.0
2016-10-04,11.5,11.5,11.5,11.5,8800.0
2016-10-05,11.5,11.5,11.5,11.5,14541.0
2016-10-06,11.5,11.5,11.5,11.5,7300.0
2016-10-07,11.5,11.5,11.5,11.5,30600.0
2016-10-10,11.5,11.6,11.5,11.6,12405.0
2016-10-11,11.6,11.6,11.6,11.6,100.0
2016-10-12,11.5,11.6,11.5,11.6,34200.0
2016-10-13,11.5,11.6,11.5,11.5,21422.0
2016-10-14,11.5,11.5,11.0,11.5,20673.0
2016-10-17,11.5,11.5,11.5,11.5,2400.0
2016-10-18,11.5,11.5,11.5,11.5,0.0
2016-10-19,10.6,10.6,10.6,10.6,3728.0
2016-10-20,11.0,11.6,11.0,11.6,56867.0
2016-10-21,10.7,11.5,10.7,11.5,6700.0
2016-10-24,11.3,11.3,11.3,11.3,29900.0
2016-10-25,11.3,11.3,11.3,11.3,100.0
2016-10-26,11.5,11.5,11.5,11.5,9700.0
2016-10-27,11.5,11.5,11.5,11.5,100.0
2016-10-28,11.0,11.5,11.0,11.5,3500.0
2016-10-31,11.3,11.3,11.3,11.3,147.0
2016-11-01,11.5,11.6,11.5,11.6,77600.0
2016-11-02,11.3,11.3,11.0,11.0,8000.0
2016-11-03,11.2,11.6,11.2,11.5,17500.0
2016-11-04,11.7,11.7,11.0,11.0,3700.0
2016-11-07,11.5,11.5,11.0,11.2,21456.0
2016-11-08,11.2,11.2,11.2,11.2,7500.0
2016-11-09,11.2,11.2,11.2,11.2,1700.0
2016-11-10,11.4,11.6,11.4,11.6,53000.0
2016-11-11,11.3,11.3,11.3,11.3,4000.0
2016-11-14,11.6,11.6,11.6,11.6,100.0
2016-11-15,11.6,11.6,11.6,11.6,0.0
2016-11-16,11.2,11.6,11.2,11.6,3900.0
2016-11-17,11.3,11.3,11.2,11.3,23965.0
2016-11-18,11.5,11.5,11.5,11.5,100.0
2016-11-21,11.3,11.3,11.3,11.3,500.0
2016-11-22,11.3,11.3,11.3,11.3,35000.0
2016-11-23,11.3,11.3,11.3,11.3,6500.0
2016-11-24,11.7,11.7,11.7,11.7,100.0
2016-11-25,11.3,11.3,11.3,11.3,1100.0
2016-11-28,11.3,11.3,11.3,11.3,24900.0
2016-11-29,11.3,11.3,11.3,11.3,8900.0
2016-11-30,11.3,11.4,11.3,11.3,34800.0
2016-12-01,11.4,11.4,11.4,11.4,0.0
2016-12-02,11.3,11.4,11.2,11.3,10716.0
2016-12-05,11.3,11.3,11.3,11.3,9660.0
2016-12-06,11.4,11.8,11.3,11.8,7707.0
2016-12-07,11.5,11.7,11.5,11.7,37200.0
2016-12-08,11.5,11.6,11.5,11.5,6800.0
2016-12-09,11.3,11.5,11.3,11.5,3051.0
2016-12-12,11.0,11.6,11.0,11.6,68984.0
2016-12-13,11.5,11.6,11.4,11.6,24900.0
2016-12-14,11.5,11.5,11.5,11.5,14900.0
2016-12-15,11.6,11.6,11.5,11.5,26087.0
2016-12-16,11.6,11.7,11.6,11.6,11005.0
2016-12-19,11.5,11.7,11.5,11.7,11151.0
2016-12-20,11.6,11.6,11.6,11.6,12085.0
2016-12-21,11.2,11.6,11.2,11.5,19300.0
2016-12-22,11.2,11.5,11.2,11.5,15184.0
2016-12-23,11.2,11.9,11.2,11.9,2900.0
2016-12-26,11.8,11.8,11.3,11.3,1100.0
2016-12-27,11.7,11.7,11.7,11.7,182.0
2016-12-28,11.7,11.7,11.7,11.7,110.0
2016-12-29,11.6,11.6,11.4,11.4,6983.0
2016-12-30,11.5,11.5,11.3,11.5,13500.0
2017-01-03,11.4,11.5,11.2,11.2,23400.0
2017-01-04,11.5,11.5,11.3,11.3,8994.0
2017-01-05,11.4,11.4,11.4,11.4,11328.0
2017-01-06,11.5,11.6,11.5,11.6,22700.0
2017-01-09,11.4,11.6,11.4,11.6,9100.0
2017-01-10,11.5,11.5,11.5,11.5,0.0
2017-01-11,11.5,11.6,11.4,11.6,25282.0
2017-01-12,11.4,11.4,11.3,11.3,18400.0
2017-01-13,11.4,11.5,11.4,11.4,12277.0
2017-01-16,11.4,11.5,11.4,11.5,48400.0
2017-01-17,11.4,11.5,11.4,11.5,72900.0
2017-01-18,11.5,11.6,11.5,11.6,8700.0
2017-01-19,11.5,11.5,11.5,11.5,22800.0
2017-01-20,11.5,11.6,11.5,11.6,14600.0
2017-01-23,11.5,11.5,11.5,11.5,2300.0
2017-01-24,11.7,12.0,11.7,12.0,300.0
2017-01-25,11.8,11.9,11.0,11.8,2721.0
2017-02-02,11.8,12.0,11.8,12.0,3200.0
2017-02-03,11.4,12.0,11.4,12.0,2683.0
2017-02-06,11.3,11.5,11.3,11.5,1140.0
2017-02-07,11.7,11.7,11.6,11.6,1400.0
2017-02-08,11.8,11.8,11.8,11.8,19500.0
2017-02-09,11.8,11.8,11.8,11.8,186.0
2017-02-10,11.8,11.8,11.5,11.5,6700.0
2017-02-13,11.5,11.6,11.5,11.5,5647.0
2017-02-14,11.5,11.5,11.5,11.5,3211.0
2017-02-15,11.6,11.6,11.6,11.6,67015.0
2017-02-16,11.7,11.7,11.7,11.7,1200.0
2017-02-17,11.4,11.7,11.2,11.7,9800.0
2017-02-20,11.7,11.7,11.7,11.7,7000.0
2017-02-21,11.7,12.0,11.7,12.0,12200.0
2017-02-22,11.9,11.9,11.9,11.9,10145.0
2017-02-23,11.9,11.9,11.9,11.9,21400.0
2017-02-24,11.9,11.9,11.9,11.9,163853.0
2017-02-27,11.6,11.9,11.6,11.7,80000.0
2017-02-28,11.9,11.9,11.9,11.9,13055.0
2017-03-01,11.9,11.9,11.9,11.9,19180.0
2017-03-02,11.7,11.7,11.7,11.7,3860.0
2017-03-03,11.9,11.9,11.9,11.9,11000.0
2017-03-06,12.0,12.0,11.9,12.0,49300.0
2017-03-07,11.9,12.0,11.9,12.0,45746.0
2017-03-08,11.9,11.9,11.8,11.9,22605.0
2017-03-09,12.0,12.0,11.9,12.0,31168.0
2017-03-10,11.6,12.0,11.6,12.0,16067.0
2017-03-13,11.9,11.9,11.9,11.9,6000.0
2017-03-14,12.0,12.0,11.9,11.9,79622.0
2017-03-15,11.9,12.1,11.9,12.0,67052.0
2017-03-16,12.0,12.0,12.0,12.0,10.0
