date,open,high,low,close,klgdkl
2018-01-18,13.8,13.8,13.8,13.8,5000.0
2018-01-19,14.75,14.75,14.75,14.75,2200.0
2018-01-22,15.75,15.75,15.75,15.75,3400.0
2018-01-25,16.85,16.85,16.85,16.85,1000.0
2018-01-26,18.0,18.0,18.0,18.0,9900.0
2018-01-29,19.25,19.25,19.25,19.25,7000.0
2018-01-30,20.55,20.55,19.25,20.55,291600.0
2018-01-31,19.5,21.95,19.5,21.9,240700.0
2018-02-01,22.5,22.5,20.4,20.4,214680.0
2018-02-02,20.0,20.4,19.0,20.4,154050.0
2018-02-05,19.1,20.0,19.0,20.0,165240.0
2018-02-06,18.6,20.0,18.6,18.6,182810.0
2018-02-07,18.95,19.9,18.6,19.9,166790.0
2018-02-08,21.0,21.0,19.9,20.0,108730.0
2018-02-09,20.0,20.9,19.8,20.3,101080.0
2018-02-12,20.3,21.0,20.0,20.4,128290.0
2018-02-13,21.0,21.0,20.0,20.5,130330.0
2018-02-21,20.5,20.5,19.5,19.5,76550.0
2018-02-22,19.5,20.0,19.0,19.0,115010.0
2018-02-23,18.6,19.5,18.6,18.6,151990.0
2018-02-26,19.0,19.9,19.0,19.9,114390.0
2018-02-27,19.9,21.0,19.5,21.0,106990.0
2018-02-28,20.9,20.9,20.0,20.3,108870.0
2018-03-01,20.8,20.8,19.5,20.0,105870.0
2018-03-02,19.7,20.0,19.5,19.5,113140.0
2018-03-05,19.6,19.7,19.3,19.6,102060.0
2018-03-06,19.6,20.0,19.6,20.0,95930.0
2018-03-07,19.6,20.3,19.5,20.0,88030.0
2018-03-08,19.5,20.0,19.0,19.0,94850.0
2018-03-09,19.3,19.8,19.1,19.7,71230.0
2018-03-12,19.7,19.9,19.5,19.7,57800.0
2018-03-13,19.7,19.9,19.5,19.7,44830.0
2018-03-14,19.7,19.9,19.5,19.6,33400.0
2018-03-15,19.6,19.7,19.5,19.6,40180.0
2018-03-16,19.5,19.5,19.0,19.5,34770.0
2018-03-19,19.3,19.5,19.0,19.3,40660.0
2018-03-20,19.0,19.0,18.8,19.0,44830.0
2018-03-21,19.0,19.0,18.7,19.0,39310.0
2018-03-22,19.0,19.0,18.6,18.8,27640.0
2018-03-23,18.6,18.8,18.4,18.5,25380.0
2018-03-26,18.5,18.5,18.0,18.0,28350.0
2018-03-27,17.7,18.0,17.7,18.0,26550.0
2018-03-28,18.0,18.0,17.7,18.0,17500.0
2018-03-29,18.0,18.0,17.7,18.0,17130.0
2018-03-30,18.0,18.0,17.9,18.0,16910.0
2018-04-02,18.0,18.0,17.9,18.0,12590.0
2018-04-03,18.0,18.0,17.5,17.9,17040.0
2018-04-04,17.9,17.9,17.8,17.85,10090.0
2018-04-05,17.85,17.9,17.7,17.85,11490.0
2018-04-06,17.85,17.85,17.5,17.5,8200.0
2018-04-09,17.5,18.0,17.5,17.9,10550.0
2018-04-10,17.9,17.9,17.0,17.8,5250.0
2018-04-11,17.8,17.8,16.6,16.6,11840.0
2018-04-12,17.0,17.0,16.6,16.8,6440.0
2018-04-13,16.8,17.95,16.0,17.95,108550.0
2018-04-16,17.95,18.5,17.95,18.5,41750.0
2018-04-17,18.6,18.8,18.5,18.8,20380.0
2018-04-18,18.8,18.9,18.4,18.9,33730.0
2018-04-19,18.9,18.9,18.4,18.7,33300.0
2018-04-20,18.7,18.8,18.4,18.8,29340.0
2018-04-23,18.4,18.8,18.0,18.4,10000.0
2018-04-24,18.4,18.5,18.1,18.4,9230.0
2018-04-26,18.4,18.4,18.0,18.0,4500.0
2018-04-27,18.0,18.5,18.0,18.35,4720.0
2018-05-02,18.35,18.35,18.0,18.35,5160.0
2018-05-03,18.0,18.3,18.0,18.0,8380.0
2018-05-04,18.0,18.3,18.0,18.0,7460.0
2018-05-07,18.0,18.2,17.8,18.0,6500.0
2018-05-08,18.0,18.1,17.6,17.9,10700.0
2018-05-09,17.9,17.9,17.5,17.9,5640.0
2018-05-10,17.5,17.9,17.4,17.7,43860.0
2018-05-11,17.7,17.7,17.3,17.7,67550.0
2018-05-14,17.65,17.7,17.4,17.7,45050.0
2018-05-15,17.7,17.7,17.2,17.35,41430.0
2018-05-16,17.2,17.7,17.2,17.7,19760.0
2018-05-17,17.7,17.9,17.5,17.9,21500.0
2018-05-18,17.9,17.9,17.6,17.8,20820.0
2018-05-21,17.8,17.8,17.5,17.8,23420.0
2018-05-22,17.8,17.8,17.4,17.7,18510.0
2018-05-23,17.7,17.7,17.5,17.7,19760.0
2018-05-24,17.7,17.7,17.5,17.55,18030.0
2018-05-25,17.55,17.6,17.3,17.45,27800.0
2018-05-28,17.45,17.45,17.3,17.35,6210.0
2018-05-29,17.0,17.4,17.0,17.4,8110.0
2018-05-30,17.4,17.5,17.2,17.3,9740.0
2018-05-31,17.3,17.3,17.0,17.3,9500.0
2018-06-01,17.0,17.3,16.8,17.2,7600.0
2018-06-04,17.2,17.2,17.0,17.2,1980.0
2018-06-05,17.2,17.2,16.9,17.0,1590.0
2018-06-06,16.1,17.3,16.1,16.5,5220.0
2018-06-07,16.5,16.5,15.5,15.5,22540.0
2018-06-08,15.0,16.55,15.0,16.4,31290.0
2018-06-11,16.4,16.9,16.4,16.9,27050.0
2018-06-12,16.9,16.9,16.4,16.5,34850.0
2018-06-13,16.5,16.7,16.0,16.0,22560.0
2018-06-14,16.0,16.4,16.0,16.4,17370.0
2018-06-15,16.3,16.7,16.0,16.7,22280.0
2018-06-18,16.7,16.7,16.4,16.5,10870.0
2018-06-19,16.5,16.5,16.2,16.3,4260.0
2018-06-20,16.4,16.4,16.2,16.4,8620.0
2018-06-21,16.4,16.4,16.3,16.4,3450.0
2018-06-22,16.0,16.5,16.0,16.5,83500.0
2018-06-25,16.5,16.6,16.3,16.6,75030.0
2018-06-26,16.5,16.6,16.0,16.5,74410.0
2018-06-27,16.0,16.5,16.0,16.5,39000.0
2018-06-28,16.5,16.5,16.2,16.5,7790.0
2018-06-29,16.5,16.8,16.1,16.8,42430.0
2018-07-02,15.0,15.6,14.8,15.6,137950.0
2018-07-03,15.6,16.65,15.3,16.3,137010.0
2018-07-04,16.0,16.9,16.0,16.5,122910.0
2018-07-05,16.5,17.0,16.3,17.0,116400.0
2018-07-06,16.9,17.3,16.8,16.9,57640.0
2018-07-09,16.9,16.9,16.5,16.7,22050.0
2018-07-10,16.7,16.9,16.6,16.6,28000.0
2018-07-11,16.6,16.6,16.3,16.5,79680.0
2018-07-12,16.9,17.0,16.3,16.9,119550.0
2018-07-13,16.9,17.3,16.9,17.1,82410.0
2018-07-16,17.3,17.3,16.9,17.1,104960.0
2018-07-17,17.1,17.7,17.1,17.3,92860.0
2018-07-18,17.3,17.6,16.2,17.0,76250.0
2018-07-19,17.0,17.0,16.6,17.0,47590.0
2018-07-20,17.5,17.7,17.0,17.5,88890.0
2018-07-23,17.6,17.8,17.45,17.6,62510.0
2018-07-24,17.6,17.8,17.5,17.5,57250.0
2018-07-25,17.5,17.6,17.1,17.3,47560.0
2018-07-26,17.3,17.4,17.0,17.2,45160.0
2018-07-27,17.0,17.4,16.9,17.1,43550.0
2018-07-30,17.1,17.4,16.8,17.3,58540.0
2018-07-31,17.3,17.5,17.3,17.4,31260.0
2018-08-01,17.4,17.9,17.4,17.6,54550.0
2018-08-02,17.6,17.7,17.5,17.6,56340.0
2018-08-03,17.6,17.9,17.35,17.6,52980.0
2018-08-06,17.6,17.6,17.3,17.6,51050.0
2018-08-07,17.6,17.6,17.3,17.3,45330.0
2018-08-08,17.3,17.5,17.0,17.3,51210.0
2018-08-09,17.3,17.4,17.0,17.0,99020.0
2018-08-10,16.5,17.5,16.1,17.0,107150.0
2018-08-13,17.1,17.5,16.9,17.3,128140.0
2018-08-14,17.3,17.3,16.9,17.3,117760.0
2018-08-15,17.3,17.9,17.3,17.7,112140.0
2018-08-16,17.7,18.1,17.5,18.0,105470.0
2018-08-17,18.0,18.5,18.0,18.4,105770.0
2018-08-20,18.4,18.9,18.4,18.7,119460.0
2018-08-21,18.7,18.7,18.0,18.5,108160.0
2018-08-22,18.5,18.7,18.2,18.3,97070.0
2018-08-23,18.3,18.5,18.0,18.0,110470.0
2018-08-24,17.7,18.4,17.7,18.3,118630.0
2018-08-27,18.3,18.9,18.2,18.8,108310.0
2018-08-28,18.7,19.0,18.5,18.9,112560.0
2018-08-29,18.9,19.2,18.8,19.0,96250.0
2018-08-30,19.0,19.3,18.2,18.7,110170.0
2018-08-31,18.7,19.0,18.4,18.9,101440.0
2018-09-04,18.9,18.9,18.4,18.7,104420.0
2018-09-05,18.7,18.7,18.0,18.6,117540.0
2018-09-06,18.6,18.6,18.0,18.5,112670.0
2018-09-07,18.5,18.5,18.0,18.5,99720.0
2018-09-10,18.5,18.5,18.0,18.0,84060.0
2018-09-11,17.8,18.6,17.8,18.3,208170.0
2018-09-12,18.1,18.7,18.0,18.6,202410.0
2018-09-13,18.3,19.0,18.2,18.7,201560.0
2018-09-14,18.9,19.0,18.4,18.9,200610.0
2018-09-17,18.8,18.9,18.4,18.6,240250.0
2018-09-18,18.6,19.0,18.5,19.0,320900.0
2018-09-19,19.0,20.3,18.9,20.3,314760.0
2018-09-20,20.3,20.7,20.2,20.5,98090.0
2018-09-21,20.2,20.6,20.2,20.3,233900.0
2018-09-24,20.3,20.6,20.0,20.2,203870.0
2018-09-25,20.3,20.7,19.3,20.3,203930.0
2018-09-26,20.5,20.6,20.3,20.4,191890.0
2018-09-27,20.4,20.6,20.0,20.4,203650.0
2018-09-28,20.5,20.8,20.3,20.7,188500.0
2018-10-01,20.7,21.1,20.6,21.1,172060.0
2018-10-02,21.1,21.8,21.1,21.8,205110.0
2018-10-03,21.8,22.2,21.8,22.0,195700.0
2018-10-04,22.0,22.5,21.95,22.2,213470.0
2018-10-05,22.5,22.6,20.65,21.5,203450.0
2018-10-08,21.6,21.8,21.0,21.3,203950.0
2018-10-09,21.5,21.5,20.8,20.8,201130.0
2018-10-10,20.6,21.0,20.6,20.8,178820.0
2018-10-11,21.0,21.0,20.1,21.0,237590.0
2018-10-12,21.0,22.0,21.0,22.0,197000.0
2018-10-15,22.0,22.6,22.0,22.4,199820.0
2018-10-16,22.5,23.5,22.5,23.0,174450.0
2018-10-17,24.0,24.1,22.8,24.0,198810.0
2018-10-18,23.8,24.1,23.1,23.1,162540.0
2018-10-19,23.1,23.1,21.6,21.6,161810.0
2018-10-22,21.6,22.3,21.5,22.0,192170.0
2018-10-23,22.1,22.1,21.0,21.5,180310.0
2018-10-24,20.5,21.2,20.5,21.2,154290.0
2018-10-25,21.0,21.5,21.0,21.3,175690.0
2018-10-26,21.3,21.7,21.1,21.4,161310.0
2018-10-29,21.4,21.8,21.1,21.7,181000.0
2018-10-30,21.7,21.8,21.3,21.8,161280.0
2018-10-31,21.8,22.0,21.5,21.5,162270.0
2018-11-01,21.7,22.6,21.7,22.5,144440.0
2018-11-02,21.3,23.6,21.3,23.6,276240.0
2018-11-05,23.6,24.5,23.4,24.0,204390.0
2018-11-06,23.7,24.0,23.5,23.7,174700.0
2018-11-07,23.7,24.0,23.5,23.5,173550.0
2018-11-08,23.5,24.0,23.5,23.7,158150.0
2018-11-09,23.7,23.9,23.0,23.5,163030.0
2018-11-12,23.5,23.6,23.0,23.6,239440.0
2018-11-13,23.6,23.7,22.8,23.5,199410.0
2018-11-14,23.5,24.0,23.5,23.8,196190.0
2018-11-15,23.8,24.0,23.5,23.7,189010.0
2018-11-16,23.7,23.8,22.6,23.5,231070.0
2018-11-19,23.5,24.1,23.4,23.7,228560.0
2018-11-20,23.7,24.0,23.5,23.8,236200.0
2018-11-21,23.8,23.8,23.3,23.3,246950.0
2018-11-22,23.3,23.6,22.1,22.3,272390.0
2018-11-23,22.3,22.5,22.0,22.0,268920.0
2018-11-26,21.5,22.1,21.4,22.1,234880.0
2018-11-27,21.8,22.3,21.8,22.2,229730.0
2018-11-28,22.0,22.5,21.8,22.3,261430.0
2018-11-29,22.1,22.5,22.0,22.4,225190.0
2018-11-30,22.4,22.7,22.3,22.7,215950.0
2018-12-03,22.4,23.5,22.4,23.3,248850.0
2018-12-04,23.1,23.4,22.8,23.0,218060.0
