date,open,high,low,close,klgdkl
2017-11-28,35.8,35.8,35.8,35.8,5000.0
2017-11-29,39.3,39.3,39.3,39.3,193600.0
2017-11-30,43.2,43.2,40.5,41.4,542500.0
2017-12-01,44.0,44.0,40.0,41.4,62300.0
2017-12-04,41.4,41.4,40.0,40.0,139600.0
2017-12-05,39.7,40.0,39.0,39.4,49900.0
2017-12-06,40.0,40.0,38.6,38.6,57000.0
2017-12-07,39.1,39.1,38.7,39.0,21300.0
2017-12-08,39.0,39.0,38.0,38.2,100300.0
2017-12-11,38.2,38.5,37.5,38.3,91400.0
2017-12-12,38.0,38.3,37.0,38.0,101200.0
2017-12-13,38.2,38.2,37.0,37.8,76900.0
2017-12-14,37.8,37.8,36.8,36.8,115900.0
2017-12-15,37.0,37.0,35.2,35.2,116400.0
2017-12-18,35.1,38.0,35.0,37.5,198030.0
2017-12-19,37.5,37.6,36.7,36.7,203900.0
2017-12-20,36.8,36.9,36.3,36.9,110200.0
2017-12-21,36.8,36.8,35.6,36.0,181200.0
2017-12-22,36.0,36.2,35.7,36.2,161500.0
2017-12-25,36.2,36.3,35.3,36.3,187500.0
2017-12-26,35.8,36.0,35.2,36.0,219400.0
2017-12-27,35.5,36.0,35.4,36.0,96100.0
2017-12-28,36.0,36.1,35.1,36.1,79000.0
2017-12-29,36.0,38.0,35.0,38.0,216600.0
2018-01-02,38.0,38.0,36.2,36.2,212200.0
2018-01-03,36.2,36.2,35.5,36.0,193330.0
2018-01-04,36.0,36.0,35.6,36.0,259600.0
2018-01-05,35.7,36.1,35.7,36.1,202700.0
2018-01-08,36.0,36.1,35.8,36.1,237900.0
2018-01-09,35.8,36.0,35.8,35.8,97200.0
2018-01-10,35.9,36.0,35.8,35.9,132400.0
2018-01-11,35.9,36.0,35.9,36.0,92900.0
2018-01-12,35.9,36.0,35.9,36.0,123400.0
2018-01-15,36.0,36.8,36.0,36.6,125130.0
2018-01-16,36.6,36.7,36.3,36.6,69900.0
2018-01-17,36.6,37.2,36.6,36.9,182800.0
2018-01-18,36.9,37.6,36.9,37.2,87900.0
2018-01-19,37.2,37.9,37.2,37.7,193700.0
2018-01-22,37.7,37.9,37.5,37.8,138500.0
2018-01-23,37.7,37.9,37.4,37.9,78400.0
2018-01-24,37.9,38.0,37.7,38.0,73300.0
2018-01-25,37.9,38.2,37.6,38.2,119800.0
2018-01-26,38.3,38.3,37.5,38.2,80000.0
2018-01-29,38.0,38.2,37.5,37.9,145800.0
2018-01-30,37.7,37.7,36.9,37.0,157800.0
2018-01-31,37.8,37.9,36.8,37.5,96800.0
2018-02-01,37.8,37.9,37.4,37.7,78800.0
2018-02-02,37.6,37.7,37.3,37.7,134400.0
2018-02-05,37.5,37.5,36.3,37.0,59200.0
2018-02-06,34.0,36.9,34.0,35.8,73300.0
2018-02-07,35.6,36.5,35.5,36.1,143400.0
2018-02-08,37.0,37.0,35.9,36.2,127200.0
2018-02-09,35.0,36.5,35.0,36.5,141500.0
2018-02-12,36.3,37.5,36.0,37.0,169600.0
2018-02-13,37.0,37.4,35.8,37.4,172000.0
2018-02-21,37.6,37.8,37.3,37.8,203000.0
2018-02-22,37.8,37.9,37.4,37.5,209100.0
2018-02-23,37.5,37.8,37.0,37.8,204700.0
2018-02-26,37.7,38.4,37.5,38.0,226600.0
2018-02-27,37.8,38.1,37.5,38.0,233440.0
2018-02-28,37.8,38.0,37.4,38.0,174300.0
2018-03-01,37.8,37.9,37.5,37.5,180700.0
2018-03-02,37.9,37.9,37.7,37.9,208630.0
2018-03-05,37.6,38.0,37.6,37.9,155500.0
2018-03-06,37.8,38.0,37.6,37.9,117000.0
2018-03-07,37.9,38.0,37.6,37.8,144400.0
2018-03-08,37.6,37.9,37.5,37.8,137409.0
2018-03-09,37.8,37.9,37.3,37.5,123600.0
2018-03-12,37.5,37.5,37.3,37.5,100700.0
2018-03-13,37.4,37.5,37.3,37.5,89000.0
2018-03-14,37.4,37.8,37.1,37.8,82100.0
2018-03-15,37.9,38.0,37.4,37.9,82300.0
2018-03-16,37.6,37.9,37.4,37.9,119000.0
2018-03-19,37.7,37.9,37.5,37.9,152431.0
2018-03-20,37.9,37.9,37.4,37.9,101900.0
2018-03-21,37.9,37.9,37.3,37.7,84300.0
2018-03-22,37.5,37.8,37.5,37.6,96200.0
2018-03-23,37.2,37.6,37.2,37.6,96200.0
2018-03-26,37.3,37.5,37.0,37.5,82400.0
2018-03-27,37.5,38.7,37.2,38.6,175600.0
2018-03-28,38.8,39.0,38.3,38.9,126700.0
2018-03-29,40.0,40.0,38.4,39.0,176000.0
2018-03-30,38.9,39.5,38.4,39.5,136700.0
2018-04-02,39.5,40.6,39.4,40.6,200400.0
2018-04-03,40.0,40.7,39.7,40.7,137700.0
2018-04-04,40.1,41.0,40.1,40.7,123500.0
2018-04-05,40.8,40.9,40.3,40.9,127230.0
2018-04-06,40.8,42.5,40.8,42.5,172530.0
2018-04-09,42.3,42.9,42.1,42.5,151000.0
2018-04-10,42.5,42.8,41.1,42.7,198600.0
2018-04-11,42.5,42.8,41.5,41.5,195221.0
2018-04-12,42.1,42.1,41.5,41.9,230800.0
2018-04-13,41.9,42.0,41.7,42.0,139200.0
2018-04-16,42.0,42.4,41.8,42.2,154800.0
