date,open,high,low,close,klgdkl
2010-01-04,8.6,8.8,8.6,8.8,10460.0
2010-01-05,9.2,9.2,9.2,9.2,41300.0
2010-01-06,9.2,9.6,9.2,9.6,43770.0
2010-01-07,9.8,9.8,9.4,9.8,7150.0
2010-01-08,10.0,10.0,9.8,9.9,25460.0
2010-01-11,9.6,9.6,9.5,9.5,9410.0
2010-01-12,9.3,9.5,9.2,9.2,12910.0
2010-01-13,9.2,9.4,9.0,9.3,1270.0
2010-01-14,9.5,9.5,9.3,9.3,4610.0
2010-01-15,9.3,9.4,9.0,9.1,4710.0
2010-01-18,9.0,9.2,8.8,8.8,8630.0
2010-01-19,8.6,9.2,8.6,8.8,9810.0
2010-01-20,9.0,9.0,8.9,9.0,180.0
2010-01-21,8.7,9.0,8.6,9.0,2170.0
2010-01-22,8.6,9.0,8.6,9.0,2240.0
2010-01-25,9.0,9.1,8.6,9.1,11620.0
2010-01-26,8.8,9.3,8.8,9.3,12710.0
2010-01-27,9.1,9.2,9.0,9.1,4270.0
2010-01-28,9.1,9.1,8.7,8.7,10110.0
2010-01-29,8.5,9.0,8.5,8.9,1840.0
2010-02-01,9.1,9.1,9.0,9.1,120.0
2010-02-02,9.2,9.2,8.8,8.8,1120.0
2010-02-03,8.7,8.9,8.7,8.9,2180.0
2010-02-04,8.8,9.0,8.8,8.9,9370.0
2010-02-05,8.8,8.9,8.7,8.8,4500.0
2010-02-08,8.8,8.8,8.4,8.7,11140.0
2010-02-09,8.7,8.7,8.7,8.7,430.0
2010-02-10,8.3,8.9,8.3,8.7,4730.0
2010-02-11,8.6,8.7,8.6,8.7,540.0
2010-02-12,8.8,8.8,8.8,8.8,1880.0
2010-02-22,8.6,9.0,8.6,9.0,190.0
2010-02-23,8.7,8.7,8.6,8.7,420.0
2010-02-24,8.5,8.8,8.5,8.7,1010.0
2010-02-25,8.8,8.8,8.7,8.8,320.0
2010-02-26,8.5,8.7,8.5,8.6,4100.0
2010-03-01,8.4,8.8,8.4,8.8,6320.0
2010-03-02,8.6,8.8,8.6,8.8,1790.0
2010-03-03,8.6,8.8,8.5,8.8,1840.0
2010-03-04,8.8,8.9,8.5,8.8,8590.0
2010-03-05,8.9,8.9,8.8,8.8,1880.0
2010-03-08,8.9,9.0,8.8,9.0,6070.0
2010-03-09,9.4,9.4,8.7,9.0,29460.0
2010-03-10,9.0,9.2,8.9,9.1,25850.0
2010-03-11,9.2,9.4,9.1,9.1,32500.0
2010-03-12,9.3,9.3,9.1,9.3,5990.0
2010-03-15,9.5,9.5,9.2,9.3,12300.0
2010-03-16,9.3,9.3,9.0,9.1,12960.0
2010-03-17,9.2,9.2,8.7,8.7,13340.0
2010-03-18,9.0,9.0,8.7,8.9,7070.0
2010-03-19,9.0,9.0,8.9,8.9,8340.0
2010-03-22,8.8,8.9,8.8,8.9,3660.0
2010-03-23,8.9,9.2,8.8,9.0,3830.0
2010-03-24,9.0,9.1,8.9,9.1,1330.0
2010-03-25,9.2,9.2,8.7,8.7,12810.0
2010-03-26,8.5,8.9,8.5,8.9,8020.0
2010-03-29,8.9,9.0,8.6,9.0,1650.0
2010-03-30,8.8,9.1,8.6,8.6,4920.0
2010-03-31,8.6,9.0,8.6,9.0,9740.0
2010-04-01,8.8,9.0,8.8,9.0,2530.0
2010-04-02,8.8,9.1,8.8,9.0,4320.0
2010-04-05,9.0,9.1,8.9,8.9,25820.0
2010-04-06,9.0,9.1,8.7,8.7,19520.0
2010-04-07,9.0,9.0,8.7,8.7,3920.0
2010-04-08,8.7,9.0,8.7,9.0,1870.0
2010-04-09,8.9,9.1,8.9,9.0,10550.0
2010-04-12,9.1,9.1,8.9,8.9,14440.0
2010-04-13,9.0,9.0,8.8,9.0,3490.0
2010-04-14,9.0,9.0,8.8,8.9,6790.0
2010-04-15,8.9,9.0,8.7,9.0,12040.0
2010-04-16,8.9,9.1,8.9,9.1,14520.0
2010-04-19,9.0,9.2,9.0,9.2,23910.0
2010-04-20,9.2,9.2,9.0,9.2,16920.0
2010-04-21,9.3,9.3,9.2,9.2,30450.0
2010-04-22,9.6,9.6,9.5,9.6,123900.0
2010-04-26,10.0,10.0,9.9,10.0,89010.0
2010-04-27,10.5,10.5,10.3,10.5,103170.0
2010-04-28,11.0,11.0,10.6,11.0,121640.0
2010-04-29,11.4,11.4,10.6,10.6,124490.0
2010-05-04,11.0,11.0,10.7,10.7,25920.0
2010-05-05,10.4,10.6,10.2,10.6,67230.0
2010-05-06,11.1,11.1,11.1,11.1,107770.0
2010-05-07,11.6,11.6,11.2,11.6,243130.0
2010-05-10,12.1,12.1,12.1,12.1,129430.0
2010-05-11,12.7,12.7,12.7,12.7,29420.0
2010-05-12,12.1,12.1,12.1,12.1,52590.0
2010-05-13,11.5,11.5,11.5,11.5,21420.0
2010-05-14,11.0,11.0,11.0,11.0,11120.0
2010-05-17,10.5,10.5,10.5,10.5,36800.0
2010-05-18,10.0,10.0,10.0,10.0,3600.0
2010-05-19,9.5,9.5,9.5,9.5,6330.0
2010-05-20,9.1,9.1,9.1,9.1,17310.0
2010-05-21,8.7,8.7,8.7,8.7,20400.0
2010-05-24,8.4,9.1,8.3,9.0,149480.0
2010-05-25,8.6,9.0,8.6,8.6,45550.0
2010-05-26,8.9,9.0,8.7,9.0,48200.0
2010-05-27,8.8,9.4,8.6,9.4,76470.0
2010-05-28,9.8,9.8,9.6,9.8,129070.0
2010-05-31,9.5,9.7,9.4,9.4,36340.0
2010-06-01,9.7,9.7,9.1,9.2,19110.0
2010-06-02,9.0,9.6,9.0,9.6,68150.0
2010-06-03,9.7,9.7,9.2,9.2,38130.0
2010-06-04,9.1,9.5,9.1,9.3,34600.0
2010-06-07,8.9,9.1,8.9,8.9,40840.0
2010-06-08,8.5,8.9,8.5,8.7,33420.0
2010-06-09,9.0,9.1,8.8,9.0,14010.0
2010-06-10,9.1,9.2,9.0,9.2,19260.0
2010-06-11,9.0,9.5,9.0,9.4,44240.0
2010-06-14,9.5,9.8,9.4,9.6,84640.0
2010-06-15,9.8,9.8,9.3,9.5,36690.0
2010-06-16,9.5,9.6,9.4,9.5,30510.0
2010-06-17,9.6,9.6,9.4,9.5,9910.0
2010-06-18,9.4,9.8,9.4,9.6,64200.0
2010-06-21,9.5,10.0,9.5,10.0,54500.0
2010-06-22,9.8,10.5,9.8,10.3,97750.0
2010-06-23,10.0,10.3,10.0,10.3,41100.0
2010-06-24,10.7,10.8,10.7,10.8,181490.0
2010-06-25,10.3,11.3,10.3,11.3,170550.0
2010-06-28,11.3,11.3,10.8,11.2,55550.0
2010-06-29,10.9,11.2,10.7,10.8,70060.0
2010-06-30,10.5,10.9,10.5,10.9,71030.0
2010-07-01,11.0,11.0,10.5,10.6,33730.0
2010-07-02,10.4,10.9,10.1,10.3,123690.0
2010-07-05,10.5,10.8,10.5,10.8,58280.0
2010-07-06,10.8,10.9,10.3,10.6,29550.0
2010-07-07,11.0,11.0,10.3,10.3,49500.0
2010-07-08,10.4,10.6,10.3,10.6,44250.0
2010-07-09,10.6,10.7,10.3,10.4,7790.0
2010-07-12,10.4,10.5,10.4,10.5,15830.0
2010-07-13,10.7,11.0,10.5,10.8,46840.0
2010-07-14,11.0,11.0,10.4,10.7,28910.0
2010-07-15,10.5,10.8,10.5,10.5,15260.0
2010-07-16,10.5,10.5,10.3,10.5,16430.0
2010-07-19,10.3,10.7,10.3,10.6,27690.0
2010-07-20,10.6,10.7,10.5,10.6,33470.0
