date,open,high,low,close,klgdkl
2017-11-06,40.55,40.55,40.55,40.55,800.0
2017-11-07,40.55,40.55,40.55,40.55,0.0
2017-11-08,40.55,40.55,40.55,40.55,0.0
2017-11-09,40.55,40.55,40.55,40.55,0.0
2017-11-10,43.35,43.35,43.35,43.35,31030.0
2017-11-13,46.35,46.35,46.35,46.35,132380.0
2017-11-14,49.55,49.55,46.35,47.0,15464870.0
2017-11-15,44.5,47.0,43.8,44.5,6550260.0
2017-11-16,44.5,44.5,42.75,44.0,5521990.0
2017-11-17,44.0,45.5,43.3,44.6,10742380.0
2017-11-20,45.6,47.7,45.0,47.7,3176670.0
2017-11-21,49.9,51.0,49.0,51.0,8062730.0
2017-11-22,51.5,54.0,50.4,51.6,7455670.0
2017-11-23,51.6,52.8,50.5,52.0,2316540.0
2017-11-24,51.5,52.1,50.5,50.6,2384820.0
2017-11-27,50.6,52.0,49.0,51.1,3451040.0
2017-11-28,51.9,51.9,49.5,49.8,2811900.0
2017-11-29,49.5,50.2,48.85,49.4,1595900.0
2017-11-30,49.0,49.0,47.85,49.0,3235960.0
2017-12-01,49.2,49.9,48.5,49.5,1312140.0
2017-12-04,49.9,50.0,48.85,49.5,1584010.0
2017-12-05,50.0,50.0,47.9,48.0,1980030.0
2017-12-06,48.0,48.5,46.7,47.1,1834150.0
2017-12-07,47.7,47.9,46.0,46.0,1067350.0
2017-12-08,46.0,47.65,44.4,47.0,1558790.0
2017-12-11,45.0,46.5,45.0,45.0,943290.0
2017-12-12,45.2,46.1,43.1,46.0,1598220.0
2017-12-13,46.0,46.1,45.4,45.85,883220.0
2017-12-14,45.7,45.8,44.9,45.2,1424710.0
2017-12-15,45.1,46.4,45.1,45.9,1761240.0
2017-12-18,46.6,46.9,45.9,46.3,2414320.0
2017-12-19,46.65,46.95,45.4,46.3,1297970.0
2017-12-20,45.7,46.2,45.6,45.8,1430200.0
2017-12-21,46.0,48.3,45.8,48.2,2896650.0
2017-12-22,48.2,48.85,47.8,47.8,962890.0
2017-12-25,47.8,48.0,47.0,47.0,881540.0
2017-12-26,47.2,48.45,46.8,48.0,1555640.0
2017-12-27,47.8,48.2,47.35,47.45,1103520.0
2017-12-28,47.7,47.7,46.9,46.9,940350.0
2017-12-29,46.8,47.75,46.2,47.15,2825760.0
2018-01-02,47.1,47.7,47.1,47.35,596280.0
2018-01-03,47.5,48.45,47.4,47.4,1663590.0
2018-01-04,47.85,48.0,46.9,47.2,935370.0
2018-01-05,47.2,47.5,46.95,47.0,1664520.0
2018-01-08,47.0,47.15,46.2,46.4,1708070.0
2018-01-09,46.5,47.3,46.4,47.0,1945080.0
2018-01-10,47.0,50.2,47.0,49.8,3018830.0
2018-01-11,49.7,52.2,49.0,51.9,2676140.0
2018-01-12,52.2,55.5,52.1,55.0,4587910.0
2018-01-15,55.0,55.6,53.7,54.6,2874160.0
2018-01-16,54.9,54.9,53.8,53.9,2440360.0
2018-01-17,54.3,57.3,54.0,55.0,3459330.0
2018-01-18,54.6,58.8,54.5,57.5,2999350.0
2018-01-19,58.7,61.5,58.5,61.0,3426360.0
2018-01-22,60.1,61.0,58.5,59.5,3749050.0
2018-01-25,59.0,61.4,56.0,56.0,7105690.0
2018-01-26,57.0,58.5,55.0,55.0,4619400.0
2018-01-29,56.9,57.9,54.9,55.0,4390910.0
2018-01-30,55.0,56.3,54.5,55.2,2951010.0
2018-01-31,55.9,58.7,55.4,55.4,6251570.0
2018-02-01,55.5,55.5,53.0,55.0,3912850.0
2018-02-02,54.9,55.1,54.4,55.1,1375890.0
2018-02-05,54.0,54.5,51.3,51.3,3142830.0
2018-02-06,47.75,51.0,47.75,47.75,9071240.0
2018-02-07,50.4,51.0,49.1,51.0,3212830.0
2018-02-08,50.0,51.5,49.0,49.0,1062120.0
2018-02-09,45.8,47.75,45.6,47.75,3215790.0
2018-02-12,47.9,48.45,45.5,47.75,3845820.0
2018-02-13,47.9,48.2,47.7,48.05,3305870.0
2018-02-21,50.0,50.0,48.7,49.5,2928020.0
2018-02-22,49.0,49.9,49.0,49.9,3575630.0
2018-02-23,50.0,51.6,49.8,51.6,3430070.0
2018-02-26,54.0,55.2,52.7,55.0,5377610.0
2018-02-27,55.2,56.8,53.8,54.9,3097420.0
2018-02-28,54.0,55.9,53.8,53.8,5531320.0
2018-03-01,54.5,55.5,54.0,55.4,3196120.0
2018-03-02,54.4,55.5,54.4,55.2,3044310.0
2018-03-05,55.9,56.4,51.4,51.4,4686530.0
2018-03-06,52.9,54.9,52.1,54.9,3849780.0
2018-03-07,55.5,56.1,54.0,54.6,2847760.0
2018-03-08,55.0,56.0,54.5,55.7,2586890.0
2018-03-09,56.2,57.0,55.0,55.7,3884030.0
2018-03-12,55.8,57.6,55.8,55.8,5799900.0
2018-03-13,56.0,56.0,54.9,55.8,5678180.0
2018-03-14,55.9,56.2,53.3,53.5,4665300.0
2018-03-15,53.2,54.5,51.5,53.0,6265540.0
2018-03-16,52.2,54.1,52.2,52.2,15641390.0
2018-03-19,53.0,53.6,52.2,53.0,1745990.0
2018-03-20,53.0,53.3,52.5,52.8,1240830.0
2018-03-21,52.8,52.9,50.7,51.5,3173550.0
2018-03-22,51.5,52.5,51.5,51.8,1412140.0
2018-03-23,50.2,50.8,49.2,49.9,2521210.0
2018-03-26,49.5,50.0,48.5,48.6,2399520.0
2018-03-27,50.0,50.9,49.5,50.3,1625420.0
2018-03-28,50.7,51.5,50.3,50.8,710900.0
2018-03-29,51.4,51.4,49.6,51.0,1549830.0
2018-03-30,50.8,51.4,50.3,51.2,1682610.0
2018-04-02,51.2,51.4,49.85,49.9,2006810.0
2018-04-03,50.0,50.4,48.9,49.9,2078100.0
2018-04-04,50.0,50.3,49.3,49.5,1132560.0
2018-04-05,49.5,50.0,49.2,49.2,1075160.0
2018-04-06,49.0,52.6,49.0,52.5,3742930.0
2018-04-09,53.5,54.3,53.1,53.5,3921740.0
2018-04-10,53.5,54.0,52.6,53.0,2853710.0
2018-04-11,53.0,53.0,51.0,51.0,2465650.0
2018-04-12,51.0,52.5,50.7,51.8,2250890.0
2018-04-13,52.3,52.4,50.8,50.8,789100.0
2018-04-16,50.2,51.2,49.9,50.7,665980.0
2018-04-17,50.7,51.0,49.95,50.0,1233470.0
2018-04-18,50.2,50.5,48.0,48.0,2055070.0
2018-04-19,48.2,48.9,46.8,46.8,2471560.0
2018-04-20,46.8,48.0,46.5,48.0,1434640.0
2018-04-23,45.5,48.6,45.0,45.5,1661040.0
2018-04-24,44.8,48.3,44.7,48.0,1978120.0
