date,open,high,low,close,klgdkl
2010-12-24,24.0,24.0,24.0,24.0,3040.0
2010-12-27,24.0,24.0,23.5,23.5,2500.0
2010-12-28,22.4,22.4,22.4,22.4,1070.0
2010-12-29,21.3,21.3,21.3,21.3,450.0
2010-12-30,20.3,20.3,20.3,20.3,190.0
2010-12-31,19.3,19.3,19.3,19.3,80.0
2011-01-04,18.4,18.4,18.4,18.4,170.0
2011-01-05,17.5,17.5,17.5,17.5,3860.0
2011-01-06,16.7,16.7,16.7,16.7,4690.0
2011-01-07,15.9,17.0,15.9,17.0,37770.0
2011-01-10,16.4,17.8,16.2,16.2,10250.0
2011-01-11,17.0,17.0,15.4,15.4,6540.0
2011-01-12,16.1,16.1,14.8,16.1,2660.0
2011-01-13,16.1,16.1,15.3,15.3,9980.0
2011-01-14,15.7,16.0,15.7,16.0,510.0
2011-01-17,15.3,16.7,15.3,16.7,640.0
2011-01-18,15.9,16.6,15.9,16.6,5200.0
2011-01-19,15.8,15.8,15.8,15.8,16400.0
2011-01-20,16.0,16.0,15.2,15.3,3150.0
2011-01-21,14.7,15.8,14.6,14.6,19260.0
2011-01-24,15.2,15.2,14.0,14.0,2090.0
2011-01-25,14.5,14.5,14.4,14.5,830.0
2011-01-26,15.0,15.0,15.0,15.0,600.0
2011-01-27,15.6,15.6,14.9,14.9,1550.0
2011-01-28,14.9,15.6,14.9,15.0,3790.0
2011-02-08,15.0,15.0,15.0,15.0,0.0
2011-02-09,15.0,15.0,14.3,14.3,2220.0
2011-02-10,15.0,15.0,15.0,15.0,130.0
2011-02-11,14.8,15.5,14.6,15.5,1470.0
2011-02-14,14.9,15.5,14.9,15.4,540.0
2011-02-15,15.0,15.4,15.0,15.0,6920.0
2011-02-16,14.8,14.8,14.8,14.8,300.0
2011-02-17,14.6,15.2,14.6,15.2,630.0
2011-02-18,14.8,14.8,14.8,14.8,1060.0
2011-02-21,14.5,14.5,14.5,14.5,710.0
2011-02-22,14.0,14.0,14.0,14.0,1800.0
2011-02-23,14.0,14.0,14.0,14.0,1820.0
2011-02-24,13.8,13.8,13.8,13.8,500.0
2011-02-25,14.2,14.2,14.2,14.2,1010.0
2011-02-28,14.7,14.7,14.7,14.7,20.0
2011-03-01,14.6,14.6,14.6,14.6,20.0
2011-03-02,14.1,14.6,14.1,14.6,520.0
2011-03-03,14.1,14.1,13.9,13.9,570.0
2011-03-04,13.9,13.9,13.9,13.9,510.0
2011-03-07,13.9,13.9,13.9,13.9,0.0
2011-03-08,14.4,14.4,14.4,14.4,10.0
2011-03-09,14.4,14.4,14.4,14.4,0.0
2011-03-10,14.6,14.6,13.7,13.7,160.0
2011-03-11,13.9,13.9,13.9,13.9,250.0
2011-03-14,13.5,13.5,13.5,13.5,500.0
2011-03-15,14.0,14.0,12.9,12.9,740.0
2011-03-16,12.4,13.3,12.3,12.3,5640.0
2011-03-17,11.7,12.9,11.7,11.9,11340.0
2011-03-18,11.4,11.4,11.4,11.4,6340.0
2011-03-21,10.9,11.0,10.9,10.9,12830.0
2011-03-22,10.5,11.2,10.4,10.4,9550.0
2011-03-23,10.9,10.9,10.0,10.9,290.0
2011-03-24,11.4,11.4,10.4,10.4,21100.0
2011-03-25,10.9,10.9,10.9,10.9,220.0
2011-03-28,11.3,11.4,11.0,11.0,8190.0
2011-03-29,11.1,11.3,11.1,11.3,40.0
2011-03-30,11.3,11.3,11.0,11.3,130.0
2011-03-31,11.0,11.3,11.0,11.3,1040.0
2011-04-01,10.8,11.3,10.8,11.3,1300.0
2011-04-04,11.0,11.2,10.8,11.2,1110.0
2011-04-05,10.7,10.7,10.7,10.7,310.0
2011-04-06,10.2,10.9,10.2,10.9,4310.0
