date,open,high,low,close,klgdkl
2010-01-04,17.0,17.0,17.0,17.0,18880.0
2010-01-05,17.8,17.8,17.1,17.8,15090.0
2010-01-06,17.8,17.8,17.5,17.6,1970.0
2010-01-07,17.9,17.9,17.7,17.7,2120.0
2010-01-08,17.1,18.0,17.1,17.7,24400.0
2010-01-11,17.7,17.7,17.0,17.2,3420.0
2010-01-12,17.2,17.2,16.5,16.5,13900.0
2010-01-13,16.0,17.0,16.0,16.0,11560.0
2010-01-14,16.0,16.8,16.0,16.8,3710.0
2010-01-15,17.3,17.3,16.2,16.2,7060.0
2010-01-18,15.8,16.5,15.4,15.4,35490.0
2010-01-19,16.1,16.1,15.4,16.0,7980.0
2010-01-20,16.6,16.6,15.5,16.5,5380.0
2010-01-21,16.0,16.0,15.7,15.8,10120.0
2010-01-22,16.0,16.0,15.2,15.3,10330.0
2010-01-25,16.0,16.0,15.8,16.0,11330.0
2010-01-26,16.0,16.5,16.0,16.2,3240.0
2010-01-27,16.2,16.2,15.5,15.5,8400.0
2010-01-28,15.7,15.7,15.0,15.0,9480.0
2010-01-29,15.0,15.5,14.9,14.9,13080.0
2010-02-01,15.1,15.2,14.5,15.2,3350.0
2010-02-02,15.4,15.4,14.8,15.3,2100.0
2010-02-03,15.5,15.5,15.5,15.5,340.0
2010-02-04,15.8,15.8,15.7,15.7,3550.0
2010-02-05,15.7,15.7,15.6,15.7,1180.0
2010-02-08,16.2,16.2,15.0,15.9,1650.0
2010-02-09,15.7,16.0,15.5,16.0,3080.0
2010-02-10,16.2,16.2,16.2,16.2,210.0
2010-02-11,16.3,16.4,16.3,16.4,540.0
2010-02-12,16.5,16.5,16.0,16.4,580.0
2010-02-22,16.4,17.0,16.2,16.8,3740.0
2010-02-23,16.8,16.8,16.0,16.0,2550.0
2010-02-24,15.5,15.8,15.3,15.8,4810.0
2010-02-25,15.8,15.8,15.5,15.8,3550.0
2010-02-26,15.8,16.0,15.5,16.0,4000.0
2010-03-01,16.6,16.6,15.4,16.4,500.0
2010-03-02,15.6,16.5,15.6,16.2,5700.0
2010-03-03,15.7,16.2,15.7,16.2,3380.0
2010-03-04,15.7,16.5,15.7,15.7,3970.0
2010-03-05,16.2,16.2,15.4,16.1,4450.0
2010-03-08,16.3,16.3,16.0,16.2,10440.0
2010-03-09,16.3,16.3,16.2,16.3,6340.0
2010-03-10,16.4,16.5,16.0,16.3,13750.0
2010-03-11,16.0,16.3,16.0,16.0,8730.0
2010-03-12,15.7,16.0,15.7,16.0,13580.0
2010-03-15,16.3,16.3,16.0,16.2,11280.0
2010-03-16,16.2,16.2,15.7,16.2,3640.0
2010-03-17,16.2,16.2,15.5,16.0,4690.0
2010-03-18,16.1,16.2,15.6,16.0,12850.0
2010-03-19,16.0,16.0,15.7,16.0,2090.0
2010-03-22,15.8,16.1,15.8,16.0,27520.0
2010-03-23,16.0,16.2,15.9,16.2,14920.0
2010-03-24,16.2,17.0,16.0,16.7,30370.0
2010-03-25,16.7,17.1,16.2,16.7,17030.0
2010-03-26,16.7,16.7,16.2,16.5,13880.0
2010-03-29,16.7,16.7,16.3,16.5,18630.0
2010-03-30,16.4,16.7,16.1,16.5,19040.0
2010-03-31,16.5,16.8,16.4,16.5,22680.0
2010-04-01,16.5,16.6,16.5,16.6,13000.0
2010-04-02,16.9,17.0,16.5,16.9,17560.0
2010-04-05,17.2,17.2,16.7,17.0,23340.0
2010-04-06,17.2,17.2,16.7,17.0,19850.0
2010-04-07,17.0,17.0,16.6,17.0,16410.0
2010-04-08,16.6,17.5,16.4,17.5,42170.0
2010-04-09,17.2,17.8,17.0,17.8,17100.0
2010-04-12,18.0,18.5,17.1,18.5,25430.0
2010-04-13,18.6,18.8,18.0,18.7,17660.0
2010-04-14,17.9,18.5,17.8,17.8,32950.0
2010-04-15,18.0,18.2,17.3,17.9,1550.0
2010-04-16,18.1,18.1,17.5,17.5,16320.0
2010-04-19,17.5,18.0,17.4,17.9,25580.0
2010-04-20,18.4,18.7,18.0,18.7,104860.0
2010-04-21,19.6,19.6,19.6,19.6,28480.0
2010-04-22,20.4,20.5,18.7,19.3,45720.0
2010-04-26,18.6,19.0,18.4,19.0,19110.0
2010-04-27,19.4,19.4,18.2,18.2,41450.0
2010-04-28,17.9,19.1,17.9,19.1,13650.0
2010-04-29,18.5,19.7,18.5,18.5,6560.0
2010-05-04,19.0,19.1,18.5,18.6,15790.0
2010-05-05,18.6,19.5,18.5,19.5,180490.0
2010-05-06,20.4,20.4,20.4,20.4,64800.0
2010-05-07,19.5,21.0,19.4,20.0,112650.0
2010-05-10,20.0,20.0,19.2,19.3,18670.0
2010-05-11,19.8,19.8,18.6,19.5,18870.0
2010-05-12,19.5,19.5,18.6,19.4,28060.0
2010-05-13,19.4,19.4,18.5,18.5,27190.0
2010-05-14,19.0,19.0,17.6,17.6,96130.0
2010-05-17,17.5,18.4,17.4,18.3,20060.0
2010-05-18,18.5,18.6,17.5,18.3,12190.0
2010-05-19,18.3,18.3,17.6,18.2,12020.0
2010-05-20,18.0,18.0,17.3,17.7,14620.0
2010-05-21,16.9,18.0,16.9,16.9,23600.0
2010-05-24,17.0,17.0,16.3,16.8,14140.0
2010-05-25,16.7,16.8,16.5,16.8,6640.0
2010-05-26,17.4,17.4,17.4,17.4,5510.0
2010-05-27,16.7,17.4,16.6,17.4,17030.0
2010-05-28,17.6,17.6,17.0,17.4,16460.0
2010-05-31,17.2,17.2,16.6,16.6,84950.0
2010-06-01,16.9,17.0,16.7,16.7,960.0
2010-06-02,16.8,16.8,16.8,16.8,3710.0
2010-06-03,17.1,17.1,16.6,16.8,17300.0
2010-06-04,17.0,17.0,16.3,16.8,8230.0
2010-06-07,16.4,16.6,16.0,16.6,15270.0
2010-06-08,16.6,16.6,16.0,16.1,30970.0
2010-06-09,16.4,16.5,16.1,16.5,4430.0
2010-06-10,16.7,16.7,16.0,16.7,6550.0
2010-06-11,16.7,16.8,16.5,16.7,16180.0
2010-06-14,16.9,16.9,16.1,16.8,12450.0
2010-06-15,16.2,17.0,16.2,16.6,6660.0
2010-06-16,16.8,16.8,16.0,16.6,16980.0
2010-06-17,16.8,16.8,15.9,16.4,16210.0
2010-06-18,16.6,16.7,16.3,16.3,25130.0
2010-06-21,16.5,17.1,16.5,17.0,61450.0
2010-06-22,16.9,17.8,16.9,17.8,85540.0
2010-06-23,18.6,18.6,18.5,18.6,124410.0
2010-06-24,18.5,19.5,18.2,19.5,118260.0
2010-06-25,18.8,20.4,18.8,19.9,191710.0
2010-06-28,19.1,19.9,19.0,19.5,95190.0
2010-06-29,19.8,19.8,18.7,19.0,29350.0
2010-06-30,18.5,19.1,18.5,18.7,25170.0
2010-07-01,18.2,18.8,17.9,18.3,46360.0
2010-07-02,18.1,19.2,18.1,18.9,54170.0
2010-07-05,19.6,19.8,18.8,19.8,125210.0
2010-07-06,20.0,20.3,19.0,19.0,9270.0
2010-07-07,19.0,19.0,18.1,18.1,56940.0
2010-07-08,18.9,18.9,17.8,17.8,43690.0
2010-07-09,18.3,18.3,17.6,17.7,28200.0
2010-07-12,18.5,18.5,17.8,18.4,830.0
2010-07-13,18.1,19.0,17.9,18.1,27850.0
2010-07-14,18.1,18.1,17.8,17.9,70730.0
2010-07-15,17.6,18.1,17.6,17.8,39700.0
2010-07-16,18.2,18.2,17.4,18.0,18610.0
2010-07-19,18.0,18.9,17.5,18.9,94990.0
2010-07-20,19.2,19.8,18.6,19.8,154770.0
2010-07-21,20.4,20.4,19.6,20.1,79510.0
2010-07-22,20.1,20.1,19.4,19.9,60950.0
2010-07-23,19.6,19.9,19.4,19.8,129210.0
2010-07-26,19.5,19.5,19.1,19.4,35390.0
2010-07-27,19.0,20.3,19.0,20.3,75980.0
2010-07-28,20.3,20.3,19.5,19.8,54240.0
2010-07-29,19.8,20.0,19.7,20.0,30520.0
2010-07-30,20.3,21.0,19.9,21.0,128420.0
2010-08-02,20.2,22.0,20.2,22.0,202820.0
2010-08-03,22.0,22.0,21.0,21.0,30230.0
2010-08-04,20.6,21.2,20.6,21.0,81620.0
2010-08-05,21.0,22.0,20.9,22.0,81920.0
2010-08-06,22.0,22.5,22.0,22.0,64760.0
2010-08-09,22.0,22.0,20.9,21.0,45640.0
