date,open,high,low,close,klgdkl
2010-09-24,17.5,19.0,17.5,18.1,37700.0
2010-09-27,17.2,17.2,17.2,17.2,3720.0
2010-09-28,16.4,16.4,16.4,16.4,1530.0
2010-09-29,15.6,16.0,15.6,15.6,97720.0
2010-09-30,15.6,15.6,15.6,15.6,3300.0
2010-10-01,15.6,15.6,15.0,15.0,42510.0
2010-10-04,15.2,15.2,14.3,14.3,12110.0
2010-10-05,13.6,14.3,13.6,14.3,19890.0
2010-10-06,15.0,15.0,14.0,15.0,14700.0
2010-10-07,15.7,15.7,15.2,15.7,11360.0
2010-10-08,15.0,16.2,15.0,16.2,11010.0
2010-10-11,16.0,16.2,15.7,15.7,8170.0
2010-10-12,16.3,16.3,15.3,15.8,16200.0
2010-10-13,15.8,15.8,15.8,15.8,5100.0
2010-10-14,15.8,16.1,15.8,15.9,16100.0
2010-10-15,15.6,15.6,15.6,15.6,2000.0
2010-10-18,15.6,15.6,15.6,15.6,0.0
2010-10-19,15.6,15.6,15.4,15.6,14000.0
2010-10-20,15.6,15.6,15.0,15.5,41000.0
2010-10-21,16.1,16.1,16.1,16.1,1000.0
2010-10-22,15.5,16.0,15.4,16.0,14300.0
2010-10-25,16.0,16.0,16.0,16.0,0.0
2010-10-26,16.0,16.2,16.0,16.2,90.0
2010-10-27,15.6,16.0,15.6,16.0,23000.0
2010-10-28,16.0,16.0,16.0,16.0,2000.0
2010-10-29,16.0,16.3,16.0,16.0,11600.0
2010-11-01,15.8,16.5,15.8,16.5,10100.0
2010-11-02,15.8,15.9,15.8,15.9,24450.0
2010-11-03,15.5,16.5,15.5,16.5,1100.0
2010-11-04,16.5,16.5,16.5,16.5,0.0
2010-11-05,17.0,17.0,17.0,17.0,10.0
2010-11-08,17.0,17.0,17.0,17.0,0.0
2010-11-09,17.8,17.8,17.8,17.8,100.0
2010-11-10,18.6,18.6,18.6,18.6,100.0
2010-11-11,18.6,18.6,18.6,18.6,100.0
2010-11-12,18.6,18.6,18.6,18.6,0.0
2010-11-15,18.6,18.6,18.6,18.6,0.0
2010-11-16,18.6,18.6,18.6,18.6,0.0
2010-11-17,18.6,18.6,18.6,18.6,100.0
2010-11-18,18.6,18.6,18.6,18.6,0.0
2010-11-19,18.6,18.6,18.6,18.6,10.0
2010-11-22,18.6,18.6,18.6,18.6,0.0
2010-11-23,18.6,18.6,18.6,18.6,0.0
2010-11-24,18.6,18.6,18.6,18.6,0.0
2010-11-25,18.6,18.6,18.6,18.6,0.0
2010-11-26,18.5,18.5,18.5,18.5,100.0
2010-11-29,19.4,19.4,19.4,19.4,100.0
2010-11-30,18.5,18.5,18.5,18.5,1000.0
2010-12-01,17.6,17.6,17.6,17.6,300.0
2010-12-02,16.8,18.0,16.8,18.0,110.0
2010-12-03,17.1,17.1,17.1,17.1,10.0
2010-12-06,16.3,16.3,16.3,16.3,3520.0
2010-12-07,16.2,17.1,16.2,17.1,510.0
2010-12-08,16.3,16.3,16.3,16.3,560.0
2010-12-09,15.5,15.5,15.5,15.5,1760.0
2010-12-10,14.8,15.5,14.8,15.0,5990.0
2010-12-13,15.2,15.2,14.3,14.3,4310.0
