date,open,high,low,close,klgdkl
2018-08-21,17.85,17.85,17.85,17.85,33580.0
2018-08-22,19.05,19.05,19.05,19.05,42250.0
2018-08-23,20.35,20.35,20.35,20.35,207920.0
2018-08-24,21.75,21.75,21.0,21.75,544430.0
2018-08-27,22.1,23.25,22.0,23.25,634360.0
2018-08-28,24.15,24.25,21.65,23.0,213750.0
2018-08-29,21.5,22.5,21.4,22.0,776680.0
2018-08-30,21.9,22.25,21.85,22.05,125770.0
2018-08-31,22.05,22.1,20.55,21.8,135030.0
2018-09-04,21.7,22.0,20.3,21.5,227150.0
2018-09-05,21.5,23.0,20.0,23.0,709490.0
2018-09-06,24.0,24.6,21.4,24.6,496490.0
2018-09-07,24.6,26.3,24.6,26.3,413000.0
2018-09-10,26.3,26.7,24.5,26.25,760650.0
2018-09-11,26.25,28.05,24.45,28.05,825810.0
2018-09-12,28.1,29.0,26.1,29.0,281970.0
2018-09-13,28.85,29.0,27.0,27.0,507160.0
2018-09-14,27.0,27.0,25.15,25.15,271130.0
2018-09-17,23.4,25.0,23.4,23.4,334760.0
2018-09-18,22.0,23.5,21.8,23.5,558590.0
2018-09-19,23.5,25.1,21.9,24.9,656810.0
2018-09-20,24.9,24.9,23.2,23.2,337610.0
2018-09-21,21.6,22.0,21.6,21.6,588800.0
2018-09-24,20.1,21.25,20.1,20.1,566510.0
2018-09-25,20.75,21.0,18.7,20.75,380100.0
2018-09-26,20.5,20.5,19.6,20.0,76950.0
2018-09-27,20.2,20.2,19.3,20.2,90590.0
2018-09-28,20.0,20.55,19.0,20.2,170250.0
2018-10-01,20.7,20.7,19.45,20.1,62870.0
2018-10-02,19.2,19.9,19.2,19.9,207180.0
2018-10-03,19.9,19.9,19.1,19.9,70060.0
2018-10-04,20.0,20.25,19.2,20.2,113560.0
2018-10-05,19.5,19.5,18.8,18.8,654370.0
2018-10-08,18.6,19.1,18.2,19.1,128990.0
2018-10-09,19.1,19.9,18.4,19.9,117820.0
2018-10-10,20.1,20.1,19.0,19.5,116750.0
2018-10-11,18.15,18.6,18.15,18.15,62900.0
2018-10-12,18.0,19.4,18.0,19.4,214310.0
2018-10-15,19.8,20.1,19.3,19.3,44840.0
2018-10-16,18.7,19.7,18.7,19.4,71690.0
2018-10-17,19.4,19.4,18.65,19.4,54080.0
2018-10-18,19.4,19.8,19.2,19.8,72760.0
2018-10-19,19.3,19.8,18.45,19.6,52070.0
2018-10-22,19.65,19.65,18.95,19.45,33380.0
2018-10-23,19.45,20.0,18.55,20.0,83680.0
2018-10-24,20.0,20.0,18.65,19.75,37190.0
2018-10-25,19.75,19.75,18.5,19.3,8340.0
2018-10-26,19.6,19.6,18.95,19.3,24920.0
2018-10-29,19.4,19.4,17.95,18.95,82340.0
2018-10-30,17.7,18.95,17.7,18.4,23860.0
2018-10-31,19.0,19.0,17.85,18.3,22000.0
2018-11-01,18.3,18.75,17.7,17.7,26010.0
2018-11-02,17.7,18.3,17.7,18.2,29070.0
2018-11-05,18.5,18.5,17.8,18.2,29560.0
2018-11-06,18.35,18.9,18.2,18.85,45290.0
2018-11-07,18.9,19.5,18.9,19.3,164250.0
2018-11-08,19.3,19.5,19.2,19.5,28570.0
2018-11-09,19.5,19.5,18.6,19.05,23810.0
2018-11-12,19.15,19.15,18.5,19.0,20760.0
2018-11-13,18.05,18.8,18.05,18.6,29410.0
2018-11-14,18.1,18.7,17.35,18.55,50860.0
2018-11-15,18.55,18.55,17.4,18.25,35300.0
2018-11-16,17.45,18.8,17.4,18.3,22190.0
2018-11-19,18.3,18.3,17.3,18.1,55660.0
2018-11-20,18.3,18.3,18.2,18.2,31690.0
2018-11-21,17.25,18.0,17.25,17.95,39800.0
2018-11-22,17.95,19.2,17.9,19.2,639410.0
2018-11-23,19.7,19.9,19.2,19.5,77540.0
2018-11-26,19.5,19.5,18.7,18.8,25500.0
2018-11-27,18.55,18.95,18.0,18.0,23600.0
2018-11-28,18.2,18.25,17.8,17.9,17920.0
2018-11-29,17.9,18.0,17.7,17.75,21530.0
2018-11-30,17.9,17.9,17.7,17.7,18130.0
2018-12-03,17.8,18.0,17.8,18.0,12750.0
2018-12-04,17.7,18.15,17.7,17.75,16790.0
2018-12-05,18.0,18.15,17.8,17.8,13550.0
2018-12-06,17.55,18.2,17.55,18.05,12710.0
2018-12-07,18.05,18.05,17.8,17.8,13590.0
2018-12-10,17.9,17.9,17.6,17.6,13660.0
2018-12-11,17.8,17.9,17.4,17.8,38650.0
2018-12-12,17.55,17.9,17.55,17.9,16900.0
2018-12-13,17.45,17.9,17.45,17.8,2320.0
2018-12-14,17.6,17.85,17.5,17.75,18530.0
2018-12-17,17.85,17.85,17.55,17.55,19610.0
2018-12-18,17.55,17.8,17.4,17.4,21700.0
2018-12-19,17.75,17.75,17.75,17.75,15310.0
2018-12-20,17.0,17.85,17.0,17.8,25950.0
2018-12-21,16.8,17.45,16.8,17.0,2860.0
2018-12-24,17.45,17.85,16.8,17.0,2680.0
2018-12-25,17.0,17.0,15.85,16.95,57680.0
2018-12-26,15.85,17.25,15.8,15.8,20550.0
2018-12-27,16.0,16.45,16.0,16.45,22020.0
2018-12-28,15.7,15.7,15.3,15.3,7000.0
2019-01-02,15.4,15.95,14.8,15.4,6680.0
2019-01-03,15.6,15.6,14.35,15.1,24880.0
2019-01-04,15.0,15.0,14.7,14.8,9920.0
2019-01-07,13.95,15.2,13.95,15.1,13230.0
2019-01-08,15.3,15.3,14.5,15.0,1820.0
2019-01-09,15.0,15.0,14.45,15.0,8590.0
2019-01-10,14.7,15.3,14.7,15.3,5130.0
2019-01-11,15.2,15.4,14.5,14.5,1950.0
2019-01-14,14.4,14.95,14.4,14.4,21680.0
2019-01-15,14.4,14.95,14.4,14.85,30560.0
2019-01-16,15.15,15.2,14.85,15.15,68130.0
2019-01-17,15.8,15.8,14.45,15.55,34280.0
2019-01-18,15.6,16.6,15.55,16.6,559750.0
2019-01-21,16.7,16.9,16.45,16.6,253800.0
2019-01-22,15.5,16.75,15.5,16.6,102690.0
2019-01-23,16.55,16.55,16.3,16.3,89690.0
2019-01-24,16.3,16.4,15.9,15.9,265290.0
2019-01-25,16.0,16.3,15.85,16.0,246280.0
2019-01-28,16.05,16.25,15.85,16.0,122040.0
2019-01-29,16.0,16.35,15.95,16.25,179650.0
2019-01-30,16.1,16.2,16.0,16.0,42540.0
2019-01-31,16.05,16.3,16.05,16.3,19600.0
2019-02-01,16.3,16.45,15.95,16.35,39090.0
2019-02-11,16.4,16.5,16.35,16.4,56860.0
2019-02-12,16.4,16.5,16.0,16.0,72640.0
2019-02-13,16.05,16.15,15.95,16.1,56570.0
2019-02-14,16.1,16.4,16.05,16.2,211280.0
2019-02-15,16.25,16.5,16.15,16.2,98730.0
2019-02-18,16.25,16.4,16.1,16.1,154770.0
2019-02-19,16.15,16.2,15.95,15.95,141880.0
2019-02-20,15.95,16.05,15.9,15.9,80260.0
2019-02-21,16.0,16.2,16.0,16.15,100920.0
2019-02-22,16.3,16.3,15.2,16.1,46330.0
2019-02-25,16.15,16.4,15.9,16.1,17380.0
2019-02-26,16.15,16.35,15.85,16.0,15240.0
2019-02-27,16.15,16.15,14.9,15.95,39150.0
2019-02-28,16.0,16.0,14.95,15.95,9200.0
2019-03-01,15.8,16.15,14.85,15.5,655570.0
2019-03-04,15.45,16.55,14.55,16.5,375880.0
2019-03-05,16.4,17.6,15.35,17.0,670530.0
2019-03-06,16.8,16.8,15.85,16.2,837990.0
2019-03-07,15.5,16.1,15.1,15.5,348260.0
2019-03-08,15.35,15.35,14.45,14.8,498610.0
2019-03-11,14.7,14.7,13.8,13.8,1060020.0
2019-03-12,13.7,13.7,12.85,12.85,480880.0
2019-03-13,12.7,12.7,12.0,12.0,348220.0
2019-03-14,11.85,12.8,11.25,12.8,311810.0
2019-03-15,13.1,13.65,13.0,13.6,227070.0
2019-03-18,13.45,13.45,12.65,12.65,349210.0
2019-03-19,11.9,12.55,11.85,12.2,36750.0
2019-03-20,12.0,12.4,11.35,12.05,291100.0
2019-03-21,12.3,12.3,11.3,11.45,36100.0
2019-03-22,11.6,12.25,11.45,12.1,369890.0
2019-03-25,11.9,11.9,11.3,11.7,239730.0
2019-03-26,11.3,11.9,11.0,11.7,151390.0
2019-03-27,11.7,11.7,11.35,11.6,19440.0
2019-03-28,11.2,11.6,11.2,11.5,28830.0
2019-03-29,11.25,11.5,11.2,11.3,46750.0
2019-04-01,11.2,12.05,11.2,11.7,340140.0
2019-04-02,11.7,11.75,11.2,11.7,45650.0
2019-04-03,11.3,11.6,11.2,11.55,63890.0
2019-04-04,11.4,11.5,11.0,11.4,43450.0
2019-04-05,11.4,11.5,11.4,11.5,48630.0
2019-04-08,11.5,11.5,11.0,11.35,39430.0
2019-04-09,11.35,11.35,11.0,11.35,48780.0
2019-04-10,11.3,11.4,11.15,11.3,49860.0
2019-04-11,11.35,11.35,11.1,11.3,165910.0
2019-04-12,11.35,11.4,10.9,11.25,98810.0
2019-04-16,11.25,11.25,10.7,11.0,65110.0
2019-04-17,11.1,11.25,11.0,11.0,111350.0
2019-04-18,11.1,11.15,10.85,11.1,70820.0
2019-04-19,11.15,11.2,11.1,11.15,69420.0
2019-04-22,11.15,11.9,11.15,11.75,391690.0
2019-04-23,11.8,11.9,11.55,11.75,105120.0
2019-04-24,11.8,11.85,11.5,11.7,56620.0
2019-04-25,11.7,11.8,11.2,11.5,67310.0
2019-04-26,11.5,11.5,11.0,11.3,64990.0
2019-05-02,11.5,11.5,11.15,11.3,27320.0
2019-05-03,11.2,11.35,10.9,11.15,21230.0
2019-05-06,11.15,11.15,10.85,10.9,77330.0
2019-05-07,11.15,11.65,10.9,11.0,197660.0
2019-05-08,10.7,11.4,10.65,11.2,28420.0
2019-05-09,11.0,11.85,10.45,11.0,583740.0
2019-05-10,11.0,11.75,10.25,11.0,407890.0
2019-05-13,11.35,11.35,10.3,11.25,36120.0
2019-05-14,11.25,11.25,10.5,10.85,672230.0
2019-05-15,10.85,10.85,10.1,10.5,360820.0
2019-05-16,10.5,10.5,10.1,10.35,442980.0
2019-05-17,10.35,10.55,10.2,10.5,277670.0
2019-05-20,10.5,10.6,10.3,10.5,399670.0
2019-05-21,10.55,10.65,10.4,10.5,350270.0
2019-05-22,10.25,10.6,10.25,10.25,315330.0
2019-05-23,10.3,10.65,10.3,10.4,225570.0
2019-05-24,10.4,10.7,10.35,10.55,168550.0
2019-05-27,10.5,10.65,10.4,10.5,185120.0
2019-05-28,10.5,10.65,10.45,10.55,173950.0
2019-05-29,10.55,10.6,10.35,10.6,177650.0
2019-05-30,10.55,10.6,10.3,10.5,56700.0
2019-05-31,10.45,10.6,10.4,10.55,104240.0
2019-06-03,10.5,10.5,10.2,10.35,145550.0
2019-06-04,10.35,10.45,10.0,10.3,140180.0
2019-06-05,10.3,10.3,10.0,10.2,282500.0
2019-06-06,10.2,10.4,10.0,10.35,258540.0
2019-06-07,10.3,10.5,10.05,10.4,296970.0
2019-06-10,10.4,10.5,10.1,10.4,304400.0
2019-06-11,10.4,10.7,10.35,10.6,507110.0
2019-06-12,10.6,10.7,10.5,10.6,387690.0
2019-06-13,10.6,10.8,10.55,10.75,351610.0
2019-06-14,10.65,10.8,10.0,10.5,529540.0
2019-06-17,10.5,10.6,9.91,10.2,102270.0
2019-06-18,10.2,10.2,9.8,9.8,222620.0
2019-06-19,10.45,10.45,9.7,10.45,325270.0
2019-06-20,10.45,10.55,10.4,10.45,149740.0
2019-06-21,10.4,10.5,10.4,10.4,76010.0
2019-06-24,10.45,10.5,10.3,10.4,155450.0
2019-06-25,10.4,10.5,10.35,10.4,110870.0
2019-06-26,10.3,10.35,10.0,10.3,78020.0
2019-06-27,10.3,10.4,9.9,10.3,46210.0
2019-06-28,10.3,10.35,10.0,10.3,70850.0
2019-07-01,10.25,10.35,10.0,10.25,91130.0
2019-07-02,10.2,10.3,10.0,10.2,155510.0
2019-07-03,10.2,10.3,9.96,10.2,149280.0
2019-07-04,10.2,10.2,9.96,10.15,280820.0
2019-07-05,10.2,10.2,10.0,10.1,177890.0
2019-07-08,10.1,10.15,10.0,10.1,297430.0
2019-07-09,10.05,10.1,10.0,10.1,270500.0
2019-07-10,10.15,10.4,10.15,10.3,348780.0
2019-07-11,10.3,10.4,10.2,10.3,301740.0
2019-07-12,10.35,10.35,10.15,10.2,232040.0
2019-07-15,10.35,10.25,9.99,10.05,199230.0
2019-07-16,10.1,10.2,9.94,10.05,165390.0
2019-07-17,10.0,10.2,9.99,10.2,187620.0
2019-07-18,10.2,10.3,10.1,10.1,131730.0
2019-07-19,10.2,10.35,10.0,10.25,418340.0
2019-07-22,10.3,10.95,10.0,10.95,1226220.0
2019-07-23,10.7,11.7,10.55,11.7,1427890.0
2019-07-24,11.95,12.5,11.9,12.45,1377370.0
2019-07-25,12.3,12.5,11.6,11.95,406770.0
2019-07-26,11.8,12.75,11.15,12.0,945970.0
2019-07-29,11.9,12.15,11.3,11.8,326950.0
2019-07-30,11.8,11.85,11.0,11.6,585140.0
2019-07-31,11.45,11.5,10.8,10.8,292500.0
2019-08-01,10.75,11.35,10.05,10.05,688130.0
2019-08-02,10.15,10.4,9.5,10.15,415480.0
2019-08-05,10.05,10.5,9.71,10.2,68060.0
2019-08-06,10.2,10.2,9.7,10.05,217360.0
2019-08-07,10.0,10.3,10.0,10.2,275840.0
2019-08-08,10.1,10.25,10.0,10.15,288200.0
2019-08-09,10.1,10.25,10.05,10.15,211740.0
2019-08-12,10.2,10.2,10.0,10.1,219190.0
2019-08-13,10.05,10.05,9.9,10.0,144270.0
2019-08-14,10.05,10.2,9.95,10.05,204680.0
2019-08-15,10.0,10.05,9.9,10.05,156030.0
2019-08-16,10.1,10.2,10.0,10.0,163480.0
2019-08-19,10.05,10.2,9.9,10.15,376640.0
2019-08-20,9.9,10.15,9.9,10.0,26750.0
2019-08-21,9.95,10.05,9.9,10.0,25660.0
2019-08-22,10.0,10.0,9.8,9.98,199730.0
2019-08-23,9.99,10.0,9.86,9.86,7000.0
2019-08-26,9.75,9.99,9.7,9.89,12470.0
2019-08-27,9.89,10.15,9.89,10.1,53970.0
2019-08-28,10.15,10.2,9.94,10.05,22690.0
2019-08-29,9.9,9.99,9.35,9.6,19420.0
2019-08-30,9.9,9.89,8.93,9.6,38120.0
2019-09-03,9.6,9.72,9.4,9.72,2100.0
2019-09-04,9.68,9.75,9.42,9.75,17630.0
2019-09-05,9.43,9.75,9.43,9.73,25700.0
2019-09-06,9.74,9.87,9.61,9.7,22580.0
2019-09-09,9.74,9.99,9.69,9.76,26450.0
2019-09-10,9.73,9.89,9.7,9.88,38950.0
2019-09-11,9.9,10.0,9.84,9.88,45940.0
2019-09-12,9.85,9.96,9.85,9.88,20190.0
2019-09-13,9.86,9.9,9.6,9.7,12700.0
2019-09-16,9.85,10.05,9.76,9.81,34240.0
2019-09-17,9.85,8.56,8.54,8.56,29810.0
2019-09-18,9.13,9.13,8.62,8.99,7570.0
2019-09-19,9.1,9.1,8.67,8.67,6430.0
2019-09-20,8.51,8.66,8.07,8.11,17560.0
2019-09-23,8.35,8.35,7.7,8.0,12450.0
2019-09-24,8.09,8.09,7.78,7.96,5630.0
2019-09-25,7.96,7.96,7.6,7.7,13080.0
2019-09-26,7.7,7.7,7.17,7.17,62110.0
2019-09-27,7.25,7.3,7.0,7.1,9240.0
2019-09-30,7.1,7.1,6.7,6.92,18570.0
2019-10-01,6.61,6.8,6.44,6.8,98480.0
2019-10-02,6.99,6.99,6.8,6.8,7350.0
2019-10-03,6.65,6.89,6.65,6.65,1540.0
2019-10-04,6.76,6.76,6.6,6.65,10790.0
2019-10-07,6.76,6.68,6.25,6.59,4020.0
2019-10-08,6.59,6.6,6.34,6.58,10050.0
2019-10-09,6.41,6.55,6.4,6.43,6490.0
2019-10-10,6.01,6.3,6.01,6.18,17790.0
2019-10-11,6.18,6.2,5.75,5.75,52560.0
